Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1928-S PEACE DOLLAR,117250600522,"Jun 16, 2026",$55.00,$5.50,,,Fixed price,https://www.ebay.com/itm/117250600522,1
"1928-S, Peace Dollar, circ, $6 over spot for this date ? yep",117228573881,"Jun 9, 2026",$65.00,$5.17,,,Auction,https://www.ebay.com/itm/117228573881,1
AU / UNC 1928-S PEACE SILVER DOLLAR LOWEST PRICES ON THE BAY,358639669816,"Jun 7, 2026",$75.00,$8.88,,,Fixed price,https://www.ebay.com/itm/358639669816,2
1928 S US Peace Silver Dollar $1 - AU,376974104821,"Jun 6, 2026",$72.88,$0.00,,,Fixed price,https://www.ebay.com/itm/376974104821,5
1928 S Peace Silver Dollar ~ 90% Silver $1 ~ Estate Sale Coin,117220271880,"Jun 4, 2026",$61.00,$6.75,,,Auction,https://www.ebay.com/itm/117220271880,1
ROLL 1928-S PEACE SILVER DOLLARS.. AU/BU (UP TO 2 ROLLS AVAILABLE),206301084680,"Jun 2, 2026","$1,875.00",$9.95,,,Fixed price,https://www.ebay.com/itm/206301084680,2
1928 S Silver PEACE DoLLAR GORGEOUS BRILLIANT UNC 90% SILVER US COIN,117210249563,"Jun 1, 2026",$81.00,$6.00,,,Auction,https://www.ebay.com/itm/117210249563,1
AU / UNC 1928-S PEACE SILVER DOLLAR LOWEST PRICES ON THE BAY,224630268532,"May 29, 2026",$135.67,$15.00,,,Fixed price,https://www.ebay.com/itm/224630268532,3
1928 S Peace Silver Dollar,117200933270,"May 27, 2026",$84.00,$5.25,,,Auction,https://www.ebay.com/itm/117200933270,1
1928-S $1 Peace Silver Dollar AU~,117181937683,"May 26, 2026",$95.00,$6.24,,,Fixed price,https://www.ebay.com/itm/117181937683,1
1928 S Silver Peace Dollar,117213152434,"May 24, 2026",$98.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117213152434,1
(1) 1928-S Choice AU Peace Silver Dollar 90% - CH AU Almost Unc - San Fran,137191504732,"May 20, 2026",$172.48,$0.00,,,Fixed price,https://www.ebay.com/itm/137191504732,2
1928 S Peace Silver Dollar ~ CIRCULATED BUT RARE ~ 90% Silver $1,117192240496,"May 17, 2026",$83.75,$1.49,,,Auction,https://www.ebay.com/itm/117192240496,1
1928 S U.S. Peace 90% Silver Dollar,117190225703,"May 16, 2026",$82.95,$4.95,,,Fixed price,https://www.ebay.com/itm/117190225703,1
1928 S Peace Silver Dollar - Nice AU !!,117086097138,"May 14, 2026",$119.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117086097138,1
1928 Liberty Peace Silver Dollar (S) - Real Silver Coin in Collector Case!!,336550324131,"May 8, 2026",$67.79,$5.94,,,Fixed price,https://www.ebay.com/itm/336550324131,19
ROLL 1928-S PEACE SILVER DOLLARS.. AU/BU (UP TO 5 ROLLS AVAILABLE),206083309131,"May 6, 2026","$1,875.00",$9.95,,,Fixed price,https://www.ebay.com/itm/206083309131,2
"Gorgeous Half Roll Lot 1928 S Peace Dollars, Exceptional Luster, CH/AU/BU Set",117021021399,"Apr 26, 2026","$1,249.99",$9.95,,,Fixed price,https://www.ebay.com/itm/117021021399,1
(1) XF 1928-S Peace Silver Dollar 90% - Extra Fine - San Francisco,365921556210,"Apr 22, 2026",$93.10,$0.00,,,Fixed price,https://www.ebay.com/itm/365921556210,64
1928 S Peace Dollar $1 Silver San Francisco mint,198287378104,"Apr 18, 2026",$99.00,$5.52,,,Fixed price,https://www.ebay.com/itm/198287378104,2
1928-S Peace Silver Dollar $1 *PCGS XF45 Choice Extremely Fine* Gold Shield,117116982880,"Apr 6, 2026",$124.95,$4.99,,,Fixed price,https://www.ebay.com/itm/117116982880,1
1928-S Peace Silver Dollar Nice Details Semi-Key *** 90% Silver Coin,117128124009,"Apr 6, 2026",$68.50,$4.95,,,Fixed price,https://www.ebay.com/itm/117128124009,1
1928-S Peace Dollar PCGS MS63 Rim Toning,117091543244,"Apr 5, 2026",$520.00,$5.00,,,Auction,https://www.ebay.com/itm/117091543244,1
1928 S PEACE SILVER DOLLAR $1 US COIN SEMI KEY DATE LUSTER AU BU,117126327629,"Apr 5, 2026",$160.00,$10.00,,,Fixed price,https://www.ebay.com/itm/117126327629,1
1928 S Peace Dollar From OBW Roll Estate Sale CHO-GEM BU Uncirculated 90% Silver,267101769286,"Mar 20, 2026",$656.59,$0.00,,,Fixed price,https://www.ebay.com/itm/267101769286,3
1928-S Peace Dollar Cull,114651751561,"Mar 20, 2026",$77.53,$0.00,,,Fixed price,https://www.ebay.com/itm/114651751561,2
1928 S Peace Dollar $1 Silver Coin ANACS VF35 San Francisco Cleaned,117085579070,"Mar 13, 2026",$75.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117085579070,1
,,"Mar 13, 2026",$75.00,$0.00,,,Fixed price,,1
1928 S PEACE SILVER DOLLAR PCGS MS63 SAN FRANCISCO MINT UNCIRCULATED COIN,126680930952,"Mar 12, 2026",$569.99,$0.00,,,Fixed price,https://www.ebay.com/itm/126680930952,1
,,"Mar 12, 2026",$569.99,$0.00,,,Fixed price,,1
1928 S Peace Silver Dollar NGC XF 45,116816069602,"Mar 8, 2026",$130.00,$4.00,,,Fixed price,https://www.ebay.com/itm/116816069602,1
,,"Mar 8, 2026",$130.00,$4.00,,,Fixed price,,1
"1928-S Peace Dollar, Uncertified, NR",117054414620,"Mar 7, 2026",$82.20,$4.95,,,Auction,https://www.ebay.com/itm/117054414620,1
1928 S Peace Silver Dollar (P123),117066816258,"Mar 7, 2026",$56.55,$5.52,,,Auction,https://www.ebay.com/itm/117066816258,1
,,"Mar 7, 2026",$82.20,$4.95,,,Auction,,1
,,"Mar 7, 2026",$56.55,$5.52,,,Auction,,1
1928-S Peace Silver Dollar (cn16329),117042751950,"Mar 2, 2026",$85.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117042751950,1
,,"Mar 2, 2026",$85.00,$4.00,,,Fixed price,,1
1928 S Peace Silver Dollar Cleaned? (M505),117046473664,"Mar 1, 2026",$114.38,$5.56,,,Auction,https://www.ebay.com/itm/117046473664,1
,,"Mar 1, 2026",$114.38,$5.56,,,Auction,,1
1928-S Peace Silver Dollar XF++ (cn16293),117041259808,"Feb 28, 2026",$90.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117041259808,1
,,"Feb 28, 2026",$90.00,$4.00,,,Fixed price,,1
RARE DATE! 1928 S Peace Silver Dollar ~ FROM MS PEACE Set ~ 90% Silver $1,117039540668,"Feb 22, 2026",$187.00,$6.50,,,Auction,https://www.ebay.com/itm/117039540668,1
,,"Feb 22, 2026",$187.00,$6.50,,,Auction,,1
1928-S Silver Peace Dollar NGC AU53,117045024573,"Feb 21, 2026",$92.98,$5.00,,,Auction,https://www.ebay.com/itm/117045024573,1
,,"Feb 21, 2026",$92.98,$5.00,,,Auction,,1
1928-S Peace Silver Dollar $1 *PCGS AU55 About Uncirculated* Solid Original Coin,116534715501,"Feb 18, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116534715501,1
,,"Feb 18, 2026",$175.00,$0.00,,,Fixed price,,1
1928-s PEACE DOLLAR NGC MS61 (lower mint),117033824125,"Feb 13, 2026",$277.00,$7.00,,,Auction,https://www.ebay.com/itm/117033824125,1
,,"Feb 13, 2026",$277.00,$7.00,,,Auction,,1
1928-S Peace Silver Dollar $1 *PCGS AU58 Choice About Uncirculated* White Coin,116886492742,"Feb 11, 2026",$239.95,$4.99,,,Fixed price,https://www.ebay.com/itm/116886492742,1
,,"Feb 11, 2026",$239.95,$4.99,,,Fixed price,,1
,,"Feb 3, 2026",$85.00,$5.00,,,Fixed price,,1
,,"Jan 28, 2026",$180.00,$0.00,,,Fixed price,,1
,,"Jan 27, 2026",$64.97,$0.00,,,Fixed price,,1
,,"Jan 26, 2026",$85.00,$5.75,,,Auction,,1
,,"Jan 13, 2026",$139.00,$0.00,,,Fixed price,,1
,,"Jan 11, 2026",$110.00,$0.00,,,Fixed price,,1
,,"Jan 11, 2026",$217.49,$5.95,,,Fixed price,,1
,,"Jan 9, 2026",$67.00,$4.00,,,Auction,,1
,,"Jan 6, 2026",$255.00,$4.65,,,Auction,,1
,,"Jan 3, 2026",$53.00,$5.15,,,Fixed price,,1
,,"Dec 26, 2025",$295.00,$4.99,,,Fixed price,,1
,,"Dec 24, 2025",$60.00,$0.00,,,Fixed price,,1
,,"Dec 22, 2025",$60.00,$4.00,,,Fixed price,,1
,,"Dec 19, 2025",$111.50,$5.00,,,Auction,,1
,,"Dec 18, 2025",$55.00,$0.00,,,Fixed price,,1
,,"Dec 10, 2025",$280.00,$7.00,,,Fixed price,,1
,,"Dec 10, 2025",$39.00,$7.49,,,Auction,,1
,,"Dec 8, 2025",$56.06,$7.49,,,Auction,,1
,,"Dec 1, 2025",$69.00,$5.25,,,Auction,,1
,,"Nov 22, 2025",$49.99,$5.99,,,Fixed price,,1
,,"Nov 21, 2025",$50.00,$3.07,,,Auction,,1
,,"Nov 20, 2025",$69.00,$5.95,,,Auction,,1
,,"Nov 17, 2025",$52.51,$5.99,,,Auction,,1
,,"Nov 16, 2025",$65.00,$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$75.00,$0.00,,,Fixed price,,1
,,"Nov 15, 2025",$62.20,$5.72,,,Auction,,1
