Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1930 S 25C Standing Liberty Quarter NGC Au Details,115852170206,"Jun 17, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/115852170206,1
1930-S Standing Liberty Quarter - Actual Coin Shown - Free Shipping INV#810,358436146963,"Jun 16, 2026",$18.98,$0.00,,,Fixed price,https://www.ebay.com/itm/358436146963,2
1930-s 25C Standing Liberty Quarter 90% SILVER,117216880273,"Jun 2, 2026",$31.50,$1.32,,,Auction,https://www.ebay.com/itm/117216880273,1
"Standing Liberty Quarters, Lot of 13, 90% Silver, 1926 P -- 1930 S",117215080235,"Jun 1, 2026",$145.56,$8.30,,,Auction,https://www.ebay.com/itm/117215080235,1
Better 1930-S US Standing Liberty 90% Silver Quarter Coin Set Break *454,127883265418,"May 31, 2026",$15.50,$0.00,,,Auction,https://www.ebay.com/itm/127883265418,1
Better 1930-S US Standing Liberty 90% Silver Quarter Coin Set Break *461,127881640621,"May 30, 2026",$15.50,$0.00,,,Auction,https://www.ebay.com/itm/127881640621,1
Better 1930-S US Standing Liberty 90% Silver Quarter Coin Set Break *410,127878015340,"May 28, 2026",$14.01,$0.00,,,Auction,https://www.ebay.com/itm/127878015340,1
1930 S 25c Cents Standing Liberty 90% Silver Quarter Key Date,117200693339,"May 24, 2026",$8.50,$3.41,,,Auction,https://www.ebay.com/itm/117200693339,1
"1930-S Standing Liberty Quarter, Choice AU Tougher Date",298287270612,"May 10, 2026",$65.44,$3.25,,,Auction,https://www.ebay.com/itm/298287270612,1
1930 & 1930 S Standing Liberty Quarters VF+ or XF. True Auction.,178102781996,"May 10, 2026",$42.00,$0.00,,,Auction,https://www.ebay.com/itm/178102781996,1
* 1930-S * NEAR+ GEM BU MS STANDING LIBERTY QUARTER * FROM ORIGINAL COLLECTION,168350654771,"May 10, 2026",$152.50,$4.99,,,Auction,https://www.ebay.com/itm/168350654771,1
1930-S Standing Liberty Quarter 0.25 cent piece,277894966332,"May 10, 2026",$16.00,$0.99,,,Fixed price,https://www.ebay.com/itm/277894966332,1
U.S. Standing Liberty Quarter XF 1930-S,286082683543,"May 9, 2026",$29.95,$5.40,,,Fixed price,https://www.ebay.com/itm/286082683543,1
1930-S Standing Liberty Quarter. Free Shipping,277971508464,"May 9, 2026",$17.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277971508464,1
1930-S 25c Standing Liberty Silver Quarter,267654447341,"May 9, 2026",$31.00,$4.25,,,Auction,https://www.ebay.com/itm/267654447341,1
UNITED STATES 1930 - S STANDING LIBERTY QUARTER VF TO XF COND.NICE EYE APPEAL*,226458692022,"May 9, 2026",$28.95,$4.25,,,Fixed price,https://www.ebay.com/itm/226458692022,1
1930 S STANDING LIBERTY QUARTER FROM AN OLD COLLECTION | LOT BB-144,206169005717,"May 9, 2026",$37.99,$0.00,,,Fixed price,https://www.ebay.com/itm/206169005717,1
"1930-S Standing Liberty Quarter, Choice AU++/Unc Better Date",358509724218,"May 8, 2026",$137.50,$3.25,,,Auction,https://www.ebay.com/itm/358509724218,1
1930-S Standing Liberty Quarter - 90% Silver 25C US Coin - Very Fine Details,406882968050,"May 8, 2026",$18.95,$5.00,,,Fixed price,https://www.ebay.com/itm/406882968050,1
1930 S Standing Liberty Quarter 90% Silver US Coin San Francisco Mint,336554286744,"May 8, 2026",$26.24,$0.00,,,Fixed price,https://www.ebay.com/itm/336554286744,1
1930-S San Francisco Mint Silver Standing Liberty Quarter,366380381653,"May 7, 2026",$19.50,$4.65,,,Auction,https://www.ebay.com/itm/366380381653,1
"1930-S Standing Liberty Quarter, Better San Francisco Date",377151471991,"May 6, 2026",$40.01,$0.00,,,Auction,https://www.ebay.com/itm/377151471991,1
Splendid 1930-S Standing Liberty Quarter One Cent Auction,157858878452,"May 4, 2026",$12.00,$0.74,,,Auction,https://www.ebay.com/itm/157858878452,1
1930-S Standing Liberty Quarter PCGS MS66 CAC 25C,277951283513,"May 3, 2026","$1,150.00",$0.00,,,Fixed price,https://www.ebay.com/itm/277951283513,1
"1930 S STANDING LIBERTY QUARTER NGC AU 58 LOVELY CREAMY VANILLA PATINA, DEEPER",137173604508,"May 3, 2026",$225.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137173604508,1
1930-S Standing Liberty Quarter,206233403352,"May 2, 2026",$16.50,$1.50,,,Auction,https://www.ebay.com/itm/206233403352,1
05/00000002 L#3510 1930 S Standing Liberty Silver Quarter,389965487392,"May 2, 2026",$450.00,$0.00,,,Auction,https://www.ebay.com/itm/389965487392,1
Uncirculated 1930-S San Francisco Mint Silver Standing Liberty Quarter,236779461591,"May 2, 2026",$42.00,$4.65,,,Auction,https://www.ebay.com/itm/236779461591,1
1930-S Standing Liberty Quarter,146937982544,"May 2, 2026",$52.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146937982544,1
1930-s Standing liberty quarter,327123540344,"May 2, 2026",$35.00,$2.50,,,Auction,https://www.ebay.com/itm/327123540344,1
1930 s Mint 90% Silver Standing Liberty Quarter,198314532532,"May 1, 2026",$14.00,$4.00,,,Fixed price,https://www.ebay.com/itm/198314532532,1
1930 S Standing Liberty Quarter,127828436431,"May 1, 2026",$6.50,$9.45,,,Auction,https://www.ebay.com/itm/127828436431,1
