Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
5 Buffalo Nickel Rolls 100 Coins Pre WWII Mixed Dates Unsearched Lot,318109599684,"Apr 25, 2026",$124.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318109599684,2
"Lot Of 9 High Grade Buffalo Nickels Coins - 1920's , 1930's - P,D,S Mints W/Horn",168321332985,"Apr 25, 2026",$28.00,$5.95,,,Auction,https://www.ebay.com/itm/168321332985,1
1930 Buffalo Nickel,127816652284,"Apr 25, 2026",$1.33,$0.80,,,Auction,https://www.ebay.com/itm/127816652284,1
1930 BUFFALO NICKEL - FULL HORN - EXTRA FINE - LOT OF 2,276710536724,"Apr 25, 2026",$17.95,$1.00,,,Fixed price,https://www.ebay.com/itm/276710536724,2
1930-P Buffalo Nickel Very Fine Condition Partial Horns Exact Coin Imaged #E95,287170821583,"Apr 25, 2026",$3.99,$0.00,,,Fixed price,https://www.ebay.com/itm/287170821583,1
"Buffalo Nickels Lot - 1920's to 1930's - No Culls, Above Average (2 nice coins)",206218519360,"Apr 25, 2026",$2.99,$1.50,,,Auction,https://www.ebay.com/itm/206218519360,1
1930 Buffalo Nickel NGC AU 58,157843537778,"Apr 25, 2026",$45.00,$5.89,,,Auction,https://www.ebay.com/itm/157843537778,1
Buffalo Nickel Display Sculpture with 1915 to 1938 Circulated US Coins,389872003764,"Apr 25, 2026",$135.00,$8.44,,,Fixed price,https://www.ebay.com/itm/389872003764,1
Quick Sale 1930/1930S Buffalo nickel Actual Coin. Get Your Buffalo At My Store,406438024462,"Apr 25, 2026",$5.75,$0.00,,,Fixed price,https://www.ebay.com/itm/406438024462,1
"1930 Buffalo Nickel AU Full Date, Actual Coin ,Checkout All My Buffalo Nickels",406874397626,"Apr 24, 2026",$10.20,$0.00,,,Fixed price,https://www.ebay.com/itm/406874397626,1
1930 S Buffalo Nickel 5c VF Very Fine Better Date Coin (Raw12488),146017432186,"Apr 24, 2026",$3.99,$0.00,,,Fixed price,https://www.ebay.com/itm/146017432186,1
VINTAGE United States Coin Lot of 15 Buffalo Nickels 1913-1938 Dateless Fast Sh,315388317553,"Apr 24, 2026",$11.31,$11.10,,,Fixed price,https://www.ebay.com/itm/315388317553,84
