Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1934-S Peace US Silver Dollar - 90% San Francisco Minted,125930577507,"Mar 21, 2026",$58.68,$0.00,,,Fixed price,https://www.ebay.com/itm/125930577507
(1) XF 1934-S Peace Silver Dollar 90% - Extra Fine - San Francisco,127431031817,"Mar 23, 2026",$169.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127431031817
,,"Dec 21, 2025",$50.00,$4.95,,,Fixed price,
,,"Oct 18, 2025",$44.00,$4.87,,,Fixed price,
,,"Dec 27, 2025",$59.00,$0.00,,,Fixed price,
1934-S Peace Dollar - VG #W11,116766487012,"Jan 24, 2026",$70.00,$8.10,,,Fixed price,https://www.ebay.com/itm/116766487012
"1924 S, 1928 S, 1934 S Semi-Key Date Peace Silver Dollars, Nice Assorted Lot",116796886733,"Jan 11, 2026",$217.49,$5.95,,,Fixed price,https://www.ebay.com/itm/116796886733
,,"Oct 15, 2025",$41.00,$4.84,,,Fixed price,
,,"Oct 25, 2025",$185.00,$7.35,,,Fixed price,
,,"Oct 28, 2025",$165.20,$0.00,,,Fixed price,
,,"Jan 6, 2026",$70.00,$0.00,,,Fixed price,
,,"Nov 30, 2025",$52.00,$0.00,,,Auction,
,,"Dec 20, 2025",$59.88,$5.00,,,Auction,
,,"Jan 5, 2026",$57.50,$0.25,,,Fixed price,
Two Key Date 1934-s Peace Silver Dollars United States Mint Coin,116978093724,"Jan 16, 2026",$184.52,$7.00,,,Auction,https://www.ebay.com/itm/116978093724
1934 S NGC VF20 Peace Silver Dollar $1 US Mint Rare Key Date Coin 1934-S VF-20,117018980491,"Feb 14, 2026",$111.50,$7.45,,,Auction,https://www.ebay.com/itm/117018980491
1934-S Peace Silver Dollar (cn16075),117019178661,"Feb 4, 2026",$75.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117019178661
1934-S Silver Peace Dollar,117024853801,"Feb 14, 2026",$63.00,$5.25,,,Auction,https://www.ebay.com/itm/117024853801
1934-S $1 Peace Silver Dollar AU53 PCGS,117027472845,"Feb 9, 2026",$550.00,$5.27,,,Fixed price,https://www.ebay.com/itm/117027472845
1934-S Peace Silver Dollar * AU Details/Cull Obverse *90% Silver Coin,117052518056,"Mar 1, 2026",$198.50,$5.00,,,Auction,https://www.ebay.com/itm/117052518056
1934 S Peace Dollar VF Key Date,117068968492,"Mar 15, 2026",$149.00,$8.00,,,Fixed price,https://www.ebay.com/itm/117068968492
1934 S $1 PEACE SILVER DOLLAR PCGS AU DETAILS-COLORFUL TONING-KEY DATE-!!!!!!!,117075467894,"Mar 12, 2026",$299.99,$0.00,,,Auction,https://www.ebay.com/itm/117075467894
1934-S Peace Dollar MS-61 NGC,117078466798,"Apr 5, 2026","$4,486.63",$0.00,,,Fixed price,https://www.ebay.com/itm/117078466798
1934-S Peace Dollar “Key Date” RARE Looks AU 1934-S,117094729799,"Mar 23, 2026",$90.98,$6.99,,,Auction,https://www.ebay.com/itm/117094729799
1934-S Peace Dollar “Key Date” RARE 1934-S,117099063444,"Mar 25, 2026",$62.00,$6.99,,,Auction,https://www.ebay.com/itm/117099063444
Set Of 2 1934 1935-S Peace Silver Dollars,117104435414,"Mar 24, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117104435414
1934 S Peace Silver Dollar NGC AU 50 Super Nice And GREAT PRICE 032607,117108455025,"Mar 29, 2026",$499.95,$8.10,,,Fixed price,https://www.ebay.com/itm/117108455025
XF 1934-S Peace Silver Dollar 90% - Extra Fine - San Francisco,117126301429,"Apr 6, 2026",$140.00,$10.00,,,Fixed price,https://www.ebay.com/itm/117126301429
,,"Nov 10, 2025",$274.99,$4.00,,,Fixed price,
,,"Jan 2, 2026","$3,700.00",$0.00,,,Fixed price,
,,"Dec 20, 2025",$50.00,$4.95,,,Fixed price,
,,"Oct 23, 2025",$50.00,$5.00,,,Fixed price,
1934-S PCGS VF35 Peace Silver Dollar $1 US Mint Rare Key Date Coin 1934-S VF-35,127202347005,"Jan 24, 2026",$140.00,$7.00,,,Fixed price,https://www.ebay.com/itm/127202347005
,,"Oct 18, 2025",$40.00,$4.99,,,Fixed price,
"1934-S ""Semi-Key"" Peace Silver Dollar $1 *PCGS F15 Choice Fine*",127302658466,"Jan 26, 2026",$89.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127302658466
1934-S Peace Silver Dollar *4660,127381903647,"Feb 27, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127381903647
,,"Nov 1, 2025",$52.95,$0.00,,,Auction,
1934-S Peace Silver Dollar VF25 ANACS Beautiful Tone *7417,127463162428,"Feb 23, 2026",$93.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127463162428
"1934-S ""Semi-Key"" Peace Silver Dollar $1 *PCGS VF30 Very Fine* Lower Mintage",127470274990,"Mar 18, 2026",$119.95,$4.99,,,Fixed price,https://www.ebay.com/itm/127470274990
,,"Nov 16, 2025",$66.00,$5.15,,,Auction,
,,"Nov 11, 2025",$46.25,$0.00,,,Auction,
,,"Nov 26, 2025",$495.00,$14.95,,,Auction,
,,"Dec 2, 2025",$119.99,$4.80,,,Fixed price,
,,"Dec 3, 2025",$48.53,$0.00,,,Auction,
,,"Dec 4, 2025",$41.01,$0.00,,,Auction,
,,"Dec 7, 2025",$62.00,$6.00,,,Auction,
,,"Dec 7, 2025",$45.00,$1.91,,,Auction,
