Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1934 S Peace Dollar VF Key Date,117068968492,"Mar 15, 2026",$149.00,$8.00,,,Fixed price,https://www.ebay.com/itm/117068968492
1934 S $1 PEACE SILVER DOLLAR PCGS AU DETAILS-COLORFUL TONING-KEY DATE-!!!!!!!,117075467894,"Mar 12, 2026",$299.99,$0.00,,,Auction,https://www.ebay.com/itm/117075467894
1934-S Peace Dollar “Key Date” RARE Looks AU 1934-S,117094729799,"Mar 23, 2026",$90.98,$6.99,,,Auction,https://www.ebay.com/itm/117094729799
1934-S Peace Dollar “Key Date” RARE 1934-S,117099063444,"Mar 25, 2026",$62.00,$6.99,,,Auction,https://www.ebay.com/itm/117099063444
Set Of 2 1934 1935-S Peace Silver Dollars,117104435414,"Mar 24, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117104435414
1934 S Peace Silver Dollar NGC AU 50 Super Nice And GREAT PRICE 032607,117108455025,"Mar 29, 2026",$499.95,$8.10,,,Fixed price,https://www.ebay.com/itm/117108455025
1934-S Peace US Silver Dollar - 90% San Francisco Minted,125930577507,"Mar 21, 2026",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/125930577507
(1) XF 1934-S Peace Silver Dollar 90% - Extra Fine - San Francisco,127431031817,"Mar 23, 2026",$169.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127431031817
"1934-S ""Semi-Key"" Peace Silver Dollar $1 *PCGS VF30 Very Fine* Lower Mintage",127470274990,"Mar 18, 2026",$119.95,$4.99,,,Fixed price,https://www.ebay.com/itm/127470274990
1934-S Peace Dollar $1 US 90% Silver Coin Semi Key Date XF/AU,127712397011,"Mar 8, 2026",$79.00,$5.99,,,Auction,https://www.ebay.com/itm/127712397011
Choice AU/UNC 1934-S Peace Silver Dollar - 90% Silver *959,127713265563,"Mar 6, 2026",$87.00,$0.00,,,Auction,https://www.ebay.com/itm/127713265563
1934-S Peace US Silver Dollar - 90% San Francisco Minted *2624,127717235786,"Mar 10, 2026",$79.95,$0.00,,,Auction,https://www.ebay.com/itm/127717235786
1934-S $1 Peace Silver Dollar PCGS VF 20,127762085706,"Mar 31, 2026",$89.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127762085706
1934-S PEACE SILVER DOLLAR GRADES VF ACTUAL COIN #8833,137057819731,"Mar 12, 2026",$84.55,$5.25,,,Fixed price,https://www.ebay.com/itm/137057819731
1934 S Peace Dollar San Francisco Minted $1 90% Silver Key Date,137081038653,"Mar 7, 2026",$80.00,$5.07,,,Auction,https://www.ebay.com/itm/137081038653
1934-S Peace Silver Dollar $1 - .9 / Original / Semi-Key Date - Buy-It-Now!,137169040847,"Mar 31, 2026",$62.00,$1.00,,,Auction,https://www.ebay.com/itm/137169040847
