Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
(1) XF 1934 (P) Peace Silver Dollar 90% - Extra Fine - Philadelphia Mint,136592465752,"Dec 31, 2025",$60.29,$0.00,,,Fixed price,https://www.ebay.com/itm/136592465752
(1) AU 1934 (P) Peace Silver Dollar 90% - Almost Unc - Philadelphia Mint,134712843300,"Apr 2, 2026",$94.68,$0.00,,,Fixed price,https://www.ebay.com/itm/134712843300
1934 Peace US Silver Dollar - 90% Philadelphia Minted,365020693529,"Oct 31, 2025",$51.80,$0.00,,,Fixed price,https://www.ebay.com/itm/365020693529
[Removed] Item 397333024391,397333024391,"Dec 3, 2025",$25.85,$0.00,,,Fixed price,
,,"Nov 5, 2025",$21.72,$0.00,,,Fixed price,
"Peace Silver Dollar Coin PCGS or NGC MS65 (1922-26, 1934-35)",156757719519,"Feb 19, 2026",$137.20,$0.00,,,Fixed price,https://www.ebay.com/itm/156757719519
,,"Jan 4, 2026",$12.99,$15.21,,,Fixed price,
[Removed] Item 389062205798,389062205798,"Dec 1, 2025",$27.71,$0.00,,,Fixed price,
"Peace Silver Dollar Coin (1922-26, 1934-35, BU)",389360245039,"Feb 16, 2026",$74.19,$0.00,,,Fixed price,https://www.ebay.com/itm/389360245039
1923 & 1934 PHILADELPHIA PEACE DOLLAR NO MINT MARK+1904 MORGAN DOLLAR-CIRCULATED,116525518889,"Jan 14, 2026",$158.95,$15.35,,,Fixed price,https://www.ebay.com/itm/116525518889
,,"Oct 12, 2025",$75.00,$0.00,,,Auction,
,,"Oct 12, 2025",$44.20,$7.90,,,Auction,
,,"Oct 15, 2025",$39.99,$4.95,,,Fixed price,
,,"Oct 20, 2025",$42.00,$5.50,,,Fixed price,
,,"Nov 7, 2025",$45.00,$8.10,,,Auction,
,,"Nov 29, 2025",$36.00,$5.00,,,Auction,
,,"Jan 3, 2026",$300.00,$4.76,,,Fixed price,
,,"Dec 9, 2025",$78.00,$0.00,,,Auction,
,,"Dec 4, 2025",$56.00,$0.00,,,Fixed price,
,,"Dec 4, 2025",$58.00,$0.00,,,Fixed price,
,,"Dec 4, 2025",$101.00,$17.15,,,Auction,
,,"Dec 29, 2025",$71.00,$0.00,,,Auction,
1934 Peace Dollar Silver - Absolutely Beautiful Coin,116950285210,"Jan 30, 2026",$149.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116950285210
,,"Jan 6, 2026",$395.00,$5.09,,,Auction,
,,"Jan 4, 2026",$53.03,$3.68,,,Auction,
1934 P Silver Peace Dollar Ungraded 90% Silver MS BU UNC Uncirculated 7774,116998137093,"Jan 30, 2026",$75.00,$5.00,,,Auction,https://www.ebay.com/itm/116998137093
1934 Peace Dollar Red Paramout Holder RARE,117004423671,"Feb 3, 2026",$146.50,$7.49,,,Auction,https://www.ebay.com/itm/117004423671
Peace Silver Dollar $1 Collection 1921-1934 Silver Coins,117027264934,"Feb 15, 2026",$299.00,$7.70,,,Auction,https://www.ebay.com/itm/117027264934
1934 Peace Dollar AU 58 NGC,117028997451,"Feb 14, 2026",$117.50,$4.88,,,Auction,https://www.ebay.com/itm/117028997451
1934 PEACE FINE SILVER DOLLAR CIRCULATED COIN,117084039500,"Mar 13, 2026",$68.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117084039500
1934-P Peace Silver Dollar AU Almost Uncirculated Nice Coin See Pics 7869,117088512702,"Mar 21, 2026",$59.99,$5.00,,,Auction,https://www.ebay.com/itm/117088512702
1934 Liberty Peace Silver US $1 Dollar,125298717593,"Jan 23, 2026",$66.49,$0.00,,,Fixed price,https://www.ebay.com/itm/125298717593
,,"Jan 4, 2026",$90.00,$4.25,,,Fixed price,
(1) BU 1934 (P) Peace Silver Dollar $1 Unc MS 90% - Philadelphia Mint,126076636834,"Dec 24, 2025",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126076636834
,,"Dec 25, 2025",$49.00,$0.00,,,Fixed price,
,,"Dec 23, 2025",$217.55,$0.00,,,Fixed price,
,,"Dec 23, 2025",$217.55,$0.00,,,Fixed price,
"1934-P Peace Silver Dollar Mintage Only 954,057 Better Date",126688979466,"Apr 3, 2026",$90.00,$5.29,,,Fixed price,https://www.ebay.com/itm/126688979466
1934 PEACE DOLLAR INCREDIBLE SUPERB GEM QUALITY (PD151),126690784813,"Mar 16, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126690784813
,,"Dec 3, 2025",$720.00,$0.00,,,Fixed price,
,,"Jan 5, 2026",$157.00,$0.00,,,Fixed price,
,,"Nov 4, 2025",$51.95,$4.95,,,Fixed price,
1934 P Peace Silver Dollar AU,127268253528,"Jan 27, 2026",$85.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127268253528
,,"Dec 30, 2025",$75.00,$5.00,,,Fixed price,
,,"Oct 13, 2025",$225.00,$0.00,,,Fixed price,
,,"Oct 26, 2025",$89.20,$1.32,,,Auction,
,,"Oct 26, 2025",$33.00,$2.99,,,Fixed price,
,,"Nov 9, 2025",$49.95,$0.00,,,Auction,
,,"Nov 8, 2025",$40.00,$4.52,,,Auction,
,,"Dec 18, 2025",$48.00,$4.54,,,Fixed price,
