Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1935-S Buffalo Nickel - Actual Coin Shown - Free Shipping & Tracking INV#45,357791024196,"Apr 25, 2026",$2.94,$0.00,,,Fixed price,https://www.ebay.com/itm/357791024196,37
1935-S Buffalo Nickel ~ Borderline Uncirculated (AU++),294925055397,"Apr 11, 2026",$22.34,$3.69,,,Fixed price,https://www.ebay.com/itm/294925055397,11
SET OF 3 COINS 1935 P D S Buffalo Nickel G / VG FREE SHIPPING,323764870068,"Apr 25, 2026",$9.74,$0.00,,,Fixed price,https://www.ebay.com/itm/323764870068,10
1935-S Buffalo Nickel 5c - Good/Very Good (G/VG),396972546199,"Apr 22, 2026",$3.10,$0.00,,,Fixed price,https://www.ebay.com/itm/396972546199,16
ALL 12 NICE Coins 1934 - 1938 P D S BUFFALO NICKELS 5c! Short Set! FREE SHIP,326898749778,"Mar 13, 2026",$19.80,$0.00,,,Fixed price,https://www.ebay.com/itm/326898749778,5
1935 S Buffalo Nickel Fine FN,143699036758,"Apr 20, 2026",$3.29,$3.95,,,Fixed price,https://www.ebay.com/itm/143699036758,4
"1935-s buffalo nickels ms63 pcgs, 1 Coin Per Bid",204410414932,"Mar 2, 2026",$79.33,$9.43,,,Fixed price,https://www.ebay.com/itm/204410414932,6
1936-S Buffalo Nickel Full Date FREE SHIPPING,226249918144,"Mar 8, 2026",$6.95,$0.00,,,Fixed price,https://www.ebay.com/itm/226249918144,7
1935-S Buffalo Nickel ~ BU/Uncirculated ~ Better Date!,306205480261,"Apr 9, 2026",$41.50,$3.66,,,Fixed price,https://www.ebay.com/itm/306205480261,7
1935 S Indian Head Buffalo Nickel Circulated 5c Coin Collectible,365846496034,"Mar 6, 2026",$3.49,$0.00,,,Fixed price,https://www.ebay.com/itm/365846496034,4
1935-S BUFFALO NICKEL,167670018785,"Jan 26, 2026",$3.44,$0.00,,,Fixed price,https://www.ebay.com/itm/167670018785,3
12 COIN SHORT SET 1934-1938 P D S BUFFALO NICKELS AFFORDABLE STARTER COLLECTION!,227116242927,"Jan 28, 2026",$20.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227116242927,3
1935 S Indian Head Buffalo Nickel G Good 5c Coin,365978726407,"Mar 4, 2026",$3.86,$0.00,,,Fixed price,https://www.ebay.com/itm/365978726407,3
