Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1922 - 1935 $1 Peace Dollar Silver Brilliant Uncirculated,135357704718,"Jun 24, 2026",$71.99,$0.00,,,Fixed price,https://www.ebay.com/itm/135357704718,13
1922-1935 $1 Peace Silver Dollar AU,134659293009,"Jun 10, 2026",$60.75,$0.00,,,Fixed price,https://www.ebay.com/itm/134659293009,5
[Removed] Item 377234749822,377234749822,"Jun 9, 2026",$49.13,$5.66,,,Fixed price,,6
U.S. Peace Silver Dollars: 1921-1935 - H.E. Harris Coin Folder,204657976186,"May 26, 2026",$7.53,$5.95,,,Fixed price,https://www.ebay.com/itm/204657976186,8
Coin Collector Gift Album For US Peace Dollars 1921 1935 Not Dansco Free S&H New,272365196419,"May 23, 2026",$22.61,$0.00,,,Fixed price,https://www.ebay.com/itm/272365196419,9
1935-P $1 PEACE SILVER ONE DOLLAR XF Details (cleaned) B04,336574272875,"May 11, 2026",$37.14,$0.00,,,Fixed price,https://www.ebay.com/itm/336574272875,9
1922 - 1935 $1 Peace Silver Dollar Fine+ F+,175909866204,"May 10, 2026",$67.47,$0.00,,,Fixed price,https://www.ebay.com/itm/175909866204,565
1922 - 1935 $1 Peace Silver Dollar Brilliant Uncirculated,176171420698,"May 10, 2026",$72.53,$0.00,,,Fixed price,https://www.ebay.com/itm/176171420698,432
1922 - 1935 $1 Peace Silver Dollar About Uncirculated AU,176171423743,"May 10, 2026",$65.96,$0.00,,,Fixed price,https://www.ebay.com/itm/176171423743,468
Album For US Peace Dollar Coins Collection 1921-1935 New Collector Gift Whitman,115926318139,"May 10, 2026",$31.23,$4.50,,,Fixed price,https://www.ebay.com/itm/115926318139,76
1922-1935 - 90% Silver Peace Dollar Extra Fine,397046808948,"May 10, 2026",$109.20,$0.00,,,Fixed price,https://www.ebay.com/itm/397046808948,21
DANSCO COIN ALBUM #7175 PEACE DOLLARS 1921-1935,317314762617,"May 9, 2026",$23.88,$5.99,,,Fixed price,https://www.ebay.com/itm/317314762617,9
Dansco Coin Album #7175 Peace Dollars 1921-1935 No Proofs 2-Page Album,225696214078,"May 8, 2026",$38.45,$0.00,,,Fixed price,https://www.ebay.com/itm/225696214078,20
Random Date 1922-1935 Silver Peace Dollar Cull,134661671904,"May 7, 2026",$59.64,$0.00,,,Fixed price,https://www.ebay.com/itm/134661671904,225
AU / UNC 1935 PEACE SILVER DOLLAR LOWEST PRICES ON THE BAY,324810345843,"May 7, 2026",$118.97,$0.00,,,Fixed price,https://www.ebay.com/itm/324810345843,15
H E HARRIS 2709 Coin Folder Peace Type Dollar $1 1921-1935 Album / Book,331185873871,"May 5, 2026",$5.97,$5.13,,,Fixed price,https://www.ebay.com/itm/331185873871,21
1922-1935 Peace Silver Dollar Cull (Random Year),141850625144,"May 5, 2026",$64.70,$21.80,,,Fixed price,https://www.ebay.com/itm/141850625144,32
Dansco Coin Album 7175 US Peace Dollar $1 1921-1935 (2 Pages) Book,334923288871,"May 5, 2026",$35.96,$10.00,,,Fixed price,https://www.ebay.com/itm/334923288871,11
He Harris Peace Dollar Coin Folder 1921-1935 Album Book 2709,353937805134,"May 3, 2026",$10.90,$0.00,,,Fixed price,https://www.ebay.com/itm/353937805134,21
"H.E. Harris Peace Silver Dollar 1921 - 1935 Coin Folder, Album Book #2709",161659759847,"May 1, 2026",$11.28,$0.00,,,Fixed price,https://www.ebay.com/itm/161659759847,16
1922-1935 Cull Peace Silver Dollar Random Year & Mint 90% Silver Coin,333887902172,"Apr 30, 2026",$52.12,$0.00,,,Fixed price,https://www.ebay.com/itm/333887902172,238
Dansco Album For US Peace Dollars 1921-1935 Coins New 7175 Free US Shipping,115875974720,"Apr 30, 2026",$38.39,$0.00,,,Fixed price,https://www.ebay.com/itm/115875974720,51
1922-1935 - 90% Silver Peace Dollar Circulated,397260599326,"Apr 28, 2026",$93.14,$0.00,,,Fixed price,https://www.ebay.com/itm/397260599326,19
1921-1935 Peace Dollar Album,387445111463,"Apr 24, 2026",$27.50,$0.00,,,Fixed price,https://www.ebay.com/itm/387445111463,20
Intercept Shield Coin Album For US Peace Dollars $ 1921-1935 Collection Slipcase,112942585398,"Apr 24, 2026",$28.79,$0.00,,,Fixed price,https://www.ebay.com/itm/112942585398,14
1922 - 1935 $1 Peace Silver Dollar Fine+ F+,145655222517,"Apr 23, 2026",$67.21,$0.00,,,Fixed price,https://www.ebay.com/itm/145655222517,37
GEM BU Peace Dollars From OBW Roll Estate Sale Silver Hoard ~ UNC BU MS,276022706064,"Apr 22, 2026",$95.21,$13.38,,,Fixed price,https://www.ebay.com/itm/276022706064,56
Cull Morgan and Peace Dollars LISTING IS PER COIN! 1878-1935 SILVER DOLLARS,178065973360,"Apr 22, 2026",$55.06,$6.54,,,Fixed price,https://www.ebay.com/itm/178065973360,18
💥Morgan or Peace Silver Dollar US Coins 💥1878-1935 💥 Cull Bullion Grade💥,297764028527,"Apr 21, 2026",$61.96,$0.00,,,Fixed price,https://www.ebay.com/itm/297764028527,60
"Whitman Classic Album #9130 Peace Dollars 1921-1935, New (book, folder)",151852503872,"Apr 20, 2026",$34.54,$0.00,,,Fixed price,https://www.ebay.com/itm/151852503872,12
(1) XF 1935-S Peace Silver Dollar 90% - Extra Fine - San Francisco Mint,136592464332,"Apr 18, 2026",$98.70,$0.00,,,Fixed price,https://www.ebay.com/itm/136592464332,44
"Lot of 5 Cull 1922-1935 US $1 Silver Peace Dollars, Mixed Dates & Mint Marks",274668272962,"Apr 17, 2026",$298.49,$34.15,,,Fixed price,https://www.ebay.com/itm/274668272962,47
1922-1935 Silver Peace Dollar Culls Mixed Dates Lot of 5 Coins Free Shipping!,393576627746,"Apr 17, 2026",$283.25,$0.00,,,Fixed price,https://www.ebay.com/itm/393576627746,18
1921-1935 Roll of 20 Peace Dollars - Uncirculated Gem BU - Bullion Silver,365208936047,"Apr 15, 2026","$1,498.67",$0.00,,,Fixed price,https://www.ebay.com/itm/365208936047,9
U.S. Peace Silver Dollars: 1921-1935 - Whitman Classic Coin Album,204656762403,"Apr 11, 2026",$36.71,$5.95,,,Fixed price,https://www.ebay.com/itm/204656762403,12
(1) BU 1935 (P) Peace Silver Dollar $1 Unc MS 90% - Philadelphia Mint,134712782702,"Apr 10, 2026",$153.09,$0.00,,,Fixed price,https://www.ebay.com/itm/134712782702,8
Silver Peace Dollar Cull 1922-1935 Lot of 5 S$1 Coins %90 Constitutional Silver,392424781542,"Apr 9, 2026",$318.13,$0.00,,,Fixed price,https://www.ebay.com/itm/392424781542,15
1922-1935 - 90% Silver Peace Dollar Cull,197965050416,"Apr 7, 2026",$91.52,$0.00,,,Fixed price,https://www.ebay.com/itm/197965050416,8
1922-1935 - 90% Silver Peace Dollar Brilliant Uncirculated BU,397253810401,"Apr 5, 2026",$118.25,$0.00,,,Fixed price,https://www.ebay.com/itm/397253810401,10
Lot Of 5 Coins - 1922-1935 Cull Peace Silver Dollar 90% US Silver Coin,335608897281,"Mar 28, 2026",$290.25,$0.00,,,Fixed price,https://www.ebay.com/itm/335608897281,69
GEM BU Peace Dollars From OBW Roll Estate Sale Silver Hoard ~ UNC BU MS,297595712113,"Mar 14, 2026",$98.45,$0.00,,,Fixed price,https://www.ebay.com/itm/297595712113,10
Whitman Prestige™ Coin Album-Peace Dollars: 1921-1935 Date & Mintmark Set,205497310869,"Feb 27, 2026",$55.96,$5.95,,,Fixed price,https://www.ebay.com/itm/205497310869,12
1922 1923 GEM BU Peace Dollars From OBW Roll Estate Sale Silver Hoard UNC BU MS,276026255624,"Feb 24, 2026",$271.80,$0.00,,,Fixed price,https://www.ebay.com/itm/276026255624,5
Circulated 90% Silver Peace Dollar Random Year (1921-1935),327005106868,"Feb 22, 2026",$53.87,$5.47,,,Fixed price,https://www.ebay.com/itm/327005106868,75
,,"Feb 22, 2026",$53.87,$5.47,,,Fixed price,,75
,,"Feb 17, 2026",$76.50,$0.00,,,Fixed price,,6
(1) AU 1935 (P) Peace Silver Dollar 90% - Almost Unc - Philadelphia Mint,364457052767,"Feb 10, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/364457052767,6
Coin Folder For US Peace Dollars 1921 1935 Harris Small Gift Album 2709 New,112958290597,"Feb 9, 2026",$10.89,$0.00,,,Fixed price,https://www.ebay.com/itm/112958290597,11
,,"Feb 9, 2026",$85.98,$0.00,,,Fixed price,,6
