Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1922 - 1935 $1 Peace Silver Dollar Fine+ F+,175909866204,"Apr 14, 2026",$66.26,$0.00,,,Fixed price,https://www.ebay.com/itm/175909866204,501
1922 - 1935 $1 Peace Silver Dollar Brilliant Uncirculated,176171420698,"Apr 14, 2026",$68.97,$0.00,,,Fixed price,https://www.ebay.com/itm/176171420698,425
1922 - 1935 $1 Peace Silver Dollar About Uncirculated AU,176171423743,"Apr 14, 2026",$64.13,$0.00,,,Fixed price,https://www.ebay.com/itm/176171423743,341
1922-1935 Cull Peace Silver Dollar Random Year & Mint 90% Silver Coin,333887902172,"Apr 10, 2026",$50.36,$0.00,,,Fixed price,https://www.ebay.com/itm/333887902172,256
Random Date 1922-1935 Silver Peace Dollar Cull,134661671904,"Apr 12, 2026",$59.14,$0.00,,,Fixed price,https://www.ebay.com/itm/134661671904,175
GEM BU Peace Dollars From OBW Roll Estate Sale Silver Hoard ~ UNC BU MS,276022706064,"Apr 8, 2026",$94.77,$20.32,,,Fixed price,https://www.ebay.com/itm/276022706064,67
Lot Of 5 Coins - 1922-1935 Cull Peace Silver Dollar 90% US Silver Coin,335608897281,"Mar 28, 2026",$275.89,$0.00,,,Fixed price,https://www.ebay.com/itm/335608897281,83
Circulated 90% Silver Peace Dollar Random Year (1921-1935),327005106868,"Feb 22, 2026",$53.87,$5.47,,,Fixed price,https://www.ebay.com/itm/327005106868,75
[Removed] Item 406426702697,406426702697,"Dec 4, 2025",$22.35,$0.00,,,Fixed price,,51
[Removed] Item 177423884510,177423884510,"Nov 24, 2025",$86.15,$0.00,,,Fixed price,,52
(1) XF 1935 (P) Peace Silver Dollar 90% - Extra Fine - Philadelphia Mint,127431031389,"Jan 6, 2026",$62.27,$0.00,,,Fixed price,https://www.ebay.com/itm/127431031389,66
[Removed] Item 357698269770,357698269770,"Dec 8, 2025",$88.21,$0.00,,,Fixed price,,32
[Removed] Item 127325288545,127325288545,"Nov 4, 2025",$83.51,$0.00,,,Fixed price,,32
[Removed] Item 136773020670,136773020670,"Dec 25, 2025",$85.01,$0.00,,,Fixed price,,25
,,"Oct 30, 2025",$87.91,$0.00,,,Fixed price,,22
,,"Nov 19, 2025",$82.34,$0.00,,,Fixed price,,28
,,"Nov 17, 2025",$83.47,$11.99,,,Fixed price,,24
1922 - 1935 $1 Peace Silver Dollar Fine+ F+,145655222517,"Mar 31, 2026",$67.29,$0.00,,,Fixed price,https://www.ebay.com/itm/145655222517,36
"Lot of 5 Cull 1922-1935 US $1 Silver Peace Dollars, Mixed Dates & Mint Marks",274668272962,"Mar 23, 2026",$296.23,$34.15,,,Fixed price,https://www.ebay.com/itm/274668272962,46
💥Morgan or Peace Silver Dollar US Coins 💥1878-1935 💥 Cull Bullion Grade💥,297764028527,"Jan 27, 2026",$61.44,$0.00,,,Fixed price,https://www.ebay.com/itm/297764028527,56
[Removed] Item 406396495260,406396495260,"Dec 3, 2025",$46.07,$0.00,,,Fixed price,,26
"H.E. Harris Peace Silver Dollar 1921 - 1935 Coin Folder, Album Book #2709",161659759847,"Apr 13, 2026",$11.17,$0.00,,,Fixed price,https://www.ebay.com/itm/161659759847,16
U.S. Peace Silver Dollars: 1921-1935 - Whitman Classic Coin Album,204656762403,"Apr 11, 2026",$36.56,$5.95,,,Fixed price,https://www.ebay.com/itm/204656762403,15
[Removed] Item 197901564280,197901564280,"Dec 4, 2025",$46.44,$0.00,,,Fixed price,,16
1922-1935 - 90% Silver Peace Dollar Circulated,397260599326,"Feb 17, 2026",$93.09,$0.00,,,Fixed price,https://www.ebay.com/itm/397260599326,18
[Removed] Item 286944045824,286944045824,"Dec 3, 2025",$78.89,$0.00,,,Fixed price,,12
Silver Peace Dollar Cull 1922-1935 Lot of 5 S$1 Coins %90 Constitutional Silver,392424781542,"Apr 9, 2026",$311.69,$0.00,,,Fixed price,https://www.ebay.com/itm/392424781542,16
,,"Oct 29, 2025",$56.27,$0.00,,,Fixed price,,13
[Removed] Item 406396507922,406396507922,"Dec 3, 2025",$80.26,$0.00,,,Fixed price,,11
(1) BU 1935 (P) Peace Silver Dollar $1 Unc MS 90% - Philadelphia Mint,134712782702,"Apr 10, 2026",$151.47,$0.00,,,Fixed price,https://www.ebay.com/itm/134712782702,10
[Removed] Item 157457587393,157457587393,"Nov 23, 2025",$53.43,$0.00,,,Fixed price,,14
[Removed] Item 365958556982,365958556982,"Dec 10, 2025",$80.54,$0.00,,,Fixed price,,10
1922-1935 Silver Peace Dollar Culls Mixed Dates Lot of 5 Coins Free Shipping!,393576627746,"Apr 14, 2026",$272.38,$0.00,,,Fixed price,https://www.ebay.com/itm/393576627746,17
,,"Jan 8, 2026",$83.50,$6.10,,,Fixed price,,10
[Removed] Item 197839004771,197839004771,"Dec 3, 2025",$73.91,$0.00,,,Fixed price,,11
GEM BU Peace Dollars From OBW Roll Estate Sale Silver Hoard ~ UNC BU MS,297595712113,"Mar 14, 2026",$98.45,$0.00,,,Fixed price,https://www.ebay.com/itm/297595712113,10
[Removed] Item 317249530326,317249530326,"Oct 24, 2025",$87.51,$0.00,,,Fixed price,,9
,,"Jan 8, 2026",$84.70,$0.00,,,Fixed price,,13
[Removed] Item 357772657613,357772657613,"Nov 11, 2025",$84.53,$0.00,,,Fixed price,,16
1921-1935 Roll of 20 Peace Dollars - Uncirculated Gem BU - Bullion Silver,365208936047,"Feb 1, 2026","$1,455.89",$0.00,,,Fixed price,https://www.ebay.com/itm/365208936047,9
[Removed] Item 397310634281,397310634281,"Dec 3, 2025",$55.89,$22.21,,,Fixed price,,10
,,"Nov 9, 2025",$52.66,$0.00,,,Fixed price,,9
AU / UNC 1935 PEACE SILVER DOLLAR LOWEST PRICES ON THE BAY,324810345843,"Apr 13, 2026",$114.88,$0.00,,,Fixed price,https://www.ebay.com/itm/324810345843,8
,,"Nov 13, 2025",$87.04,$0.00,,,Fixed price,,7
1922-1935 Peace Silver Dollar $1 Estate Coin Lot Sale from Roll,284308189834,"Jan 26, 2026",$56.09,$0.00,,,Fixed price,https://www.ebay.com/itm/284308189834,19
GEM BU Peace Dollar From OBW Roll Estate Sale Silver Hoard ~ BU MS UNC,284996578066,"Apr 8, 2026",$98.97,$0.00,,,Fixed price,https://www.ebay.com/itm/284996578066,13
,,"Nov 1, 2025",$94.99,$0.00,,,Fixed price,,16
,,"Dec 26, 2025",$81.11,$4.99,,,Fixed price,,7
(1) AU 1935 (P) Peace Silver Dollar 90% - Almost Unc - Philadelphia Mint,364457052767,"Feb 10, 2026",$94.24,$0.00,,,Fixed price,https://www.ebay.com/itm/364457052767,7
,,"Nov 3, 2025",$85.55,$0.00,,,Fixed price,,9
