Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1935 Peace Dollar NGC MS65 Gem Blast White Well Struck Coin Better Date,188722550222,"Aug 8, 2026",$789.95,$0.00,,,Fixed price,https://www.ebay.com/itm/188722550222,1
1935 Peace Dollar PCGS MS65 - PQ Gem Beauty!!!,147465650534,"Aug 5, 2026",$879.99,$15.60,,,Fixed price,https://www.ebay.com/itm/147465650534,1
1935 Silver Peace Dollar PCGS MS65,205353503238,"Jul 18, 2026",$787.50,$0.00,,,Fixed price,https://www.ebay.com/itm/205353503238,1
1935 Peace Dollar NGC MS65,227420040298,"Jul 12, 2026",$765.00,$5.99,,,Fixed price,https://www.ebay.com/itm/227420040298,1
1935 Peace Dollar - $1 PCGS MS65 - PCGS Gold Shield - Lustrous!,168520168432,"Jul 10, 2026",$849.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168520168432,1
"1935 ""S"" Peace SILVER Dollar $1 NGC MS65 KEY DATE FREE INSURED SHIPPING!",158067227221,"Jul 9, 2026","$2,189.00",$0.00,,,Fixed price,https://www.ebay.com/itm/158067227221,1
1935-S Peace Silver Dollar MS65 PCGS CAC PQ *0168,127855997753,"Jul 5, 2026","$2,100.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127855997753,1
1935-S $1 Silver Peace Dollar Graded by PCGS as MS65 Uncirculated Three Rays,286777586516,"Jul 1, 2026","$1,800.00",$0.00,,,Fixed price,https://www.ebay.com/itm/286777586516,1
1935 PEACE DOLLAR PCGS MS65 OGH,168494275018,"Jun 26, 2026","$1,100.00",$0.00,,,Fixed price,https://www.ebay.com/itm/168494275018,1
1935 MS65 Peace Dollar PCGS Certified Rare- Brilliant White Luster -Gold Shield,158024830200,"Jun 24, 2026",$795.00,$6.36,,,Fixed price,https://www.ebay.com/itm/158024830200,1
1935 MS65 Peace Dollar PCGS Certified Gem - White/Light Gold Hue,317783509620,"Jun 21, 2026",$987.77,$14.99,,,Fixed price,https://www.ebay.com/itm/317783509620,1
1935 MS65 Peace Dollar PCGS Certified Gem - White/Faint Gold Hue,317863114176,"Jun 21, 2026",$712.73,$14.99,,,Fixed price,https://www.ebay.com/itm/317863114176,1
1935 Peace Dollar PCGS MS65 Vintage Holder,178141009458,"May 24, 2026",$132.50,$5.50,,,Auction,https://www.ebay.com/itm/178141009458,1
1935-S PCGS & CAC MS65+ Peace Dollar,358320622430,"May 22, 2026","$2,599.99",$0.00,,,Fixed price,https://www.ebay.com/itm/358320622430,1
,,"May 22, 2026","$2,599.99",$0.00,,,Fixed price,,1
1935 Peace Silver Dollar MS65 PCGS,389957750691,"May 2, 2026","$1,050.00",$0.00,,,Fixed price,https://www.ebay.com/itm/389957750691,1
,,"May 2, 2026","$1,050.00",$0.00,,,Fixed price,,1
1935 Peace Silver Dollar MS65 ICG. LOW SHIPPING!!,178017221126,"Apr 11, 2026",$520.00,$5.99,,,Auction,https://www.ebay.com/itm/178017221126,1
,,"Apr 11, 2026",$520.00,$5.99,,,Auction,,1
1935 Peace Dollar PCGS MS65 in OGH,287259179065,"Apr 10, 2026","$1,200.00",$0.00,,,Fixed price,https://www.ebay.com/itm/287259179065,1
,,"Apr 10, 2026","$1,200.00",$0.00,,,Fixed price,,1
1935 Peace Silver Dollar - NGC MS65 - ✪COINGIANTS✪,297759358877,"Apr 8, 2026","$1,295.00",$0.00,,,Fixed price,https://www.ebay.com/itm/297759358877,1
1935 Peace Dollar. NGC MS65,376957889106,"Feb 21, 2026",$700.00,$0.00,,,Fixed price,https://www.ebay.com/itm/376957889106,1
,,"Feb 21, 2026",$700.00,$0.00,,,Fixed price,,1
,,"Jan 29, 2026",$820.00,$0.00,,,Fixed price,,1
,,"Jan 23, 2026","$2,499.95",$0.00,,,Fixed price,,1
,,"Jan 6, 2026","$1,149.99",$14.99,,,Fixed price,,1
,,"Dec 19, 2025",$775.00,$0.00,,,Fixed price,,1
,,"Dec 19, 2025","$2,250.00",$0.00,,,Fixed price,,1
,,"Dec 2, 2025","$1,615.00",$0.00,,,Fixed price,,1
,,"Nov 27, 2025","$1,370.00",$0.00,,,Fixed price,,1
