Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1940 S Mercury Silver Dime XF EF Extremely Fine 10c Coin Collectible,366402336592,"Aug 15, 2026",$12.91,$0.00,,,Fixed price,https://www.ebay.com/itm/366402336592,6
1940-S Mercury Dime BU Brilliant Uncirculated 90% Silver 10c Sharp Strike White,306994567048,"Aug 15, 2026",$28.88,$6.00,,,Fixed price,https://www.ebay.com/itm/306994567048,4
1940-S Mercury Dime F Fine 90% Silver,178253324983,"Aug 13, 2026",$8.99,$0.00,,,Fixed price,https://www.ebay.com/itm/178253324983,2
1940-S Mercury Dime VG Very Good 90% Silver,178253321090,"Aug 11, 2026",$8.67,$0.00,,,Fixed price,https://www.ebay.com/itm/178253321090,4
"1940 S Mercury Dime 90% Silver EF-XF ""Actual Coin Pictured - Not Cleaned""",127833836059,"Aug 10, 2026",$12.60,$0.00,,,Fixed price,https://www.ebay.com/itm/127833836059,1
1940-S Mercury Dime Good/VF,126893311114,"Aug 6, 2026",$10.46,$0.00,,,Fixed price,https://www.ebay.com/itm/126893311114,2
1940 s mercury dime's lot of 3 coins #721,127991348272,"Jul 30, 2026",$3.25,$0.04,,,Auction,https://www.ebay.com/itm/127991348272,1
ESTATE FIND 1940 S/S Mercury Dime #M4752,127969715666,"Jul 21, 2026",$10.00,$0.50,,,Auction,https://www.ebay.com/itm/127969715666,1
"1940-S Mercury Dime, Really Nice Piece",117296044669,"Jul 17, 2026",$7.51,$0.82,,,Auction,https://www.ebay.com/itm/117296044669,1
"1940-S Mercury Dime, Gem BU, Close to FB #MM",127963198383,"Jul 13, 2026",$19.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127963198383,1
1940-S and 1940-P Silver Mercury Dimes Nice Set of 2 Coins,117215175733,"Jun 29, 2026",$12.33,$1.90,,,Fixed price,https://www.ebay.com/itm/117215175733,1
1940’s MERCURY DIME LOT Of 8 - Selling At SPOT !,117242138768,"Jun 21, 2026",$37.61,$6.29,,,Fixed price,https://www.ebay.com/itm/117242138768,1
1940-S Mercury Dime - Actual Coin Shown - Free Shipping & Tracking INV#207,358362791992,"Jun 19, 2026",$7.65,$0.00,,,Fixed price,https://www.ebay.com/itm/358362791992,2
1940-P-D-S Winged Liberty Mercury Silver dime mint year set of 3 coins,326148354255,"Jun 18, 2026",$18.45,$0.99,,,Fixed price,https://www.ebay.com/itm/326148354255,2
1910’s-1940’s Silver Mercury Dime Set D-S-P,127883019488,"Jun 12, 2026",$35.00,$8.30,,,Fixed price,https://www.ebay.com/itm/127883019488,1
1949-S Mercury Dime 90% Silver Free Shipping,127779845649,"Jun 10, 2026",$9.75,$0.00,,,Fixed price,https://www.ebay.com/itm/127779845649,1
1940 S GEM BU Blazing White Mercury Dime From High Grade Collection. 90% Silver,117207940193,"Jun 8, 2026",$47.00,$5.72,,,Fixed price,https://www.ebay.com/itm/117207940193,1
