Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1940-S Walking Liberty Half Dollar 50c PCGS MS65,800158176576,"Jun 11, 2026",$500.00,$8.05,,,Fixed price,https://www.ebay.com/itm/800158176576,1
1940-S Walking Liberty Half Dollar 50c PCGS MS65,127909440922,"Jun 8, 2026",$525.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127909440922,1
1940 Walking Liberty Half Dollar Graded MS65 by NGC,117117491213,"Jun 7, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117117491213,1
1940-S Liberty Walking Half Dollar PCGS MS65 Silver San Francisco 50C KM#146,318213174060,"May 26, 2026",$329.00,$5.97,,,Fixed price,https://www.ebay.com/itm/318213174060,1
1940 SILVER Walking Liberty Half Dollar 50c NGC MS65 - Beautifully Toned!,366417853982,"May 21, 2026",$177.59,$0.00,,,Fixed price,https://www.ebay.com/itm/366417853982,1
1940 50c Walking Liberty Half Dollar 90% Silver PCGS MS65 WHITE #7357,327145628377,"May 14, 2026",$157.50,$5.28,,,Auction,https://www.ebay.com/itm/327145628377,1
1940-S Walking Liberty Half Dollar PCGS MS65 PQ,198317736824,"May 13, 2026",$450.00,$9.45,,,Fixed price,https://www.ebay.com/itm/198317736824,1
1940 MS65 Walking Liberty Half Dollar PCGS 21434028,336564863259,"May 8, 2026",$239.85,$0.00,,,Fixed price,https://www.ebay.com/itm/336564863259,1
,,"May 8, 2026",$195.00,$0.00,,,Auction,,1
1943 50C Walking Liberty Half Dollar PCGS MS65 Prime 1940s Type Details & Luster,127802554312,"May 7, 2026",$110.00,$5.97,,,Fixed price,https://www.ebay.com/itm/127802554312,1
"1940-P NGC MS65 Walking Liberty Silver Half Dollar, Lustrous 50c U.S. Coin",147241806557,"May 3, 2026",$149.99,$1.74,,,Fixed price,https://www.ebay.com/itm/147241806557,1
1940-S Walking Liberty Half-Dollar - PCGS MS65 - Beautiful Gem Coin,406850064690,"Apr 17, 2026",$375.00,$5.95,,,Fixed price,https://www.ebay.com/itm/406850064690,1
"1940 ""S"" Walking Liberty SILVER Half Dollar 50c PCGS MS65 #633 Gem BU ECC&C, Inc",198126360714,"Apr 8, 2026",$465.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198126360714,1
1940-S WALKING LIBERTY HALF DOLLAR NGC MS65,157556617082,"Mar 29, 2026",$399.99,$4.88,,,Fixed price,https://www.ebay.com/itm/157556617082,1
1940 Walking Liberty Half Dollar PCGS MS65,236690994531,"Mar 22, 2026",$137.57,$0.00,,,Auction,https://www.ebay.com/itm/236690994531,1
,,"Mar 22, 2026",$137.57,$0.00,,,Auction,,1
1940 MS65 NGC 50C Silver Walking Liberty Half PQ BLAST WHITE LUSTER,375471418685,"Mar 10, 2026",$165.00,$7.45,,,Fixed price,https://www.ebay.com/itm/375471418685,1
,,"Mar 10, 2026",$165.00,$7.45,,,Fixed price,,1
1940-P Walking Liberty Half Dollar NGC MS65 Old Fatty Holder! #12FBW,136868885161,"Mar 9, 2026",$170.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136868885161,1
,,"Mar 9, 2026",$170.00,$0.00,,,Fixed price,,1
1940-S Walking Liberty Half Dollar PCGS MS65,327025790049,"Mar 2, 2026",$435.00,$5.00,,,Fixed price,https://www.ebay.com/itm/327025790049,1
"1940-S, 50c Walking Liberty Half-Dollar - PCGS, graded MS65 - bright white !",226947912833,"Mar 2, 2026",$425.00,$0.00,,,Fixed price,https://www.ebay.com/itm/226947912833,1
,,"Mar 2, 2026",$425.00,$0.00,,,Fixed price,,1
,,"Mar 2, 2026",$435.00,$5.00,,,Fixed price,,1
1940 Walking Liberty Half Dollar MS65 PCGS,236498740049,"Mar 1, 2026",$150.00,$5.20,,,Fixed price,https://www.ebay.com/itm/236498740049,1
,,"Mar 1, 2026",$150.00,$5.20,,,Fixed price,,1
1940 Walking Liberty Silver Half Dollar 50c PCGS MS65 12433137,145117055640,"Feb 25, 2026",$180.00,$0.00,,,Fixed price,https://www.ebay.com/itm/145117055640,1
,,"Feb 25, 2026",$180.00,$0.00,,,Fixed price,,1
1940 Liberty Walking 50¢ Half Dollar Silver Dollar Coin PCGS MS65 - Nice Toning,227217338582,"Feb 21, 2026",$152.50,$6.00,,,Auction,https://www.ebay.com/itm/227217338582,1
,,"Feb 21, 2026",$152.50,$6.00,,,Auction,,1
1940 Walking Liberty Silver Half Dollar MS65 NGC,295069813772,"Feb 19, 2026",$236.25,$0.00,,,Fixed price,https://www.ebay.com/itm/295069813772,1
02/0000014 L#1691 1940 Walking Liberty Silver Half Dollar PCGS MS65 (bfk),389608979666,"Feb 14, 2026",$110.00,$0.00,,,Auction,https://www.ebay.com/itm/389608979666,1
,,"Feb 14, 2026",$110.00,$0.00,,,Auction,,1
1940 50C PCGS MS65 Walking Liberty Silver Half Dollar,227207665609,"Feb 10, 2026",$154.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227207665609,1
,,"Feb 10, 2026",$154.99,$0.00,,,Fixed price,,1
1940 Walking Liberty Half Dollar MS65 PCGS *2046,364874508043,"Feb 8, 2026",$187.00,$0.00,,,Fixed price,https://www.ebay.com/itm/364874508043,1
,,"Feb 8, 2026",$187.00,$0.00,,,Fixed price,,1
,,"Jan 30, 2026",$184.99,$5.52,,,Fixed price,,1
,,"Jan 24, 2026",$300.00,$4.88,,,Fixed price,,1
,,"Jan 18, 2026",$400.00,$0.00,,,Auction,,1
,,"Jan 4, 2026",$202.50,$6.15,,,Auction,,1
,,"Dec 29, 2025",$190.00,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$200.99,$0.00,,,Fixed price,,1
,,"Dec 21, 2025",$138.70,$5.95,,,Auction,,1
,,"Dec 20, 2025",$360.00,$0.00,,,Fixed price,,1
,,"Dec 18, 2025",$290.07,$5.00,,,Auction,,1
,,"Dec 7, 2025",$169.99,$0.00,,,Fixed price,,1
,,"Dec 6, 2025",$361.20,$7.50,,,Auction,,1
,,"Nov 10, 2025",$215.00,$0.00,,,Fixed price,,1
,,"Nov 9, 2025",$150.00,$0.00,,,Fixed price,,1
