Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1940 Washington Quarter Better Grade Complete Your Album! SILVER!,226439340902,"Jul 7, 2026",$33.31,$0.00,,,Fixed price,https://www.ebay.com/itm/226439340902,3
1936-D & 1940-D & 1942-S Washington SILVER Quarters! TRIO OF SEMI-KEY DATES!,326070154072,"Jul 7, 2026",$73.55,$0.00,,,Fixed price,https://www.ebay.com/itm/326070154072,4
1930s 1940s USA Washington Quarters Silver LOT OF 10,236898872695,"Jun 30, 2026",$101.25,$5.88,,,Fixed price,https://www.ebay.com/itm/236898872695,4
1940-D Washington Quarter Better Grade Complete Your Album! SILVER,226439340931,"Jun 21, 2026",$59.10,$0.00,,,Fixed price,https://www.ebay.com/itm/226439340931,4
4 Silver Washington Quarter 90% Silver Quarter 1930s 1940s 1950s 1960s,267543901818,"Jun 17, 2026",$70.85,$1.19,,,Fixed price,https://www.ebay.com/itm/267543901818,7
1940 Washington Quarter - Gem Proof - 90% Silver,136733489669,"Jun 16, 2026",$74.15,$4.32,,,Fixed price,https://www.ebay.com/itm/136733489669,6
1941 Washington Quarter - Gem Proof - 90% Silver,136733489994,"Jun 16, 2026",$76.46,$4.49,,,Fixed price,https://www.ebay.com/itm/136733489994,4
1940 Washington Quarter --- Choice Uncirculated,325254919322,"Jun 15, 2026",$39.99,$0.00,,,Fixed price,https://www.ebay.com/itm/325254919322,3
1940-S Washington Quarter --- Almost Uncirculated,225017111878,"Jun 15, 2026",$35.49,$0.00,,,Fixed price,https://www.ebay.com/itm/225017111878,2
1940-S Washington Quarter --- Very Fine +++,225017110026,"Jun 11, 2026",$19.99,$0.00,,,Fixed price,https://www.ebay.com/itm/225017110026,11
1940-D Washington Quarter --- Very Fine +++,225059558123,"Jun 11, 2026",$54.28,$0.00,,,Fixed price,https://www.ebay.com/itm/225059558123,7
1940-d Washington Quarter Average Grade of Coin You Will Receive In The Picture,267660796531,"Jun 8, 2026",$29.40,$0.00,,,Fixed price,https://www.ebay.com/itm/267660796531,5
1940-1949 Washington Silver Quarters ~ Estate Coin Lot ~ UNC+ MS++ BU ~ 90% RARE,257071231917,"Jun 7, 2026",$23.48,$7.26,,,Fixed price,https://www.ebay.com/itm/257071231917,36
1940 & 1940-D 1940-S Washington SILVER Quarter 3 Coin Set! Nice Group!,326071207752,"Jun 6, 2026",$66.81,$0.00,,,Fixed price,https://www.ebay.com/itm/326071207752,6
