Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1942 Mercury Dime – No Mint Mark–90% Silver – 10C F,298306612603,"May 15, 2026",$6.50,$4.99,,,Auction,https://www.ebay.com/itm/298306612603,1
1942 Mercury Silver Dime In EF Condition In My Opinion. #663,358535122450,"May 15, 2026",$4.00,$6.24,,,Auction,https://www.ebay.com/itm/358535122450,1
"1942 D Mercury Dime 10C Cents Coin Silver, XF++",287320630455,"May 15, 2026",$7.50,$0.00,,,Auction,https://www.ebay.com/itm/287320630455,1
1942-S Mercury Silver Dime 90% Silver San Francisco Better Coin VF/XF,306940840855,"May 15, 2026",$5.25,$1.32,,,Fixed price,https://www.ebay.com/itm/306940840855,1
1942 (P) Mercury Dime 90% Silver Very Fine VF,287320482214,"May 15, 2026",$6.10,$0.00,,,Auction,https://www.ebay.com/itm/287320482214,1
1942 D Mercury Dime Listing 1,298301137519,"May 15, 2026",$5.77,$0.00,,,Auction,https://www.ebay.com/itm/298301137519,1
1942 Mercury Dime Listing 1,306926906794,"May 15, 2026",$5.50,$0.00,,,Auction,https://www.ebay.com/itm/306926906794,1
1942-S Mercury Dime (AU/BU) 90% Silver Item # 687\4,127549267532,"May 15, 2026",$8.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127549267532,1
1942 - 10C Mercury Dime / 90% Silver Coin.,188369164744,"May 15, 2026",$6.00,$0.00,,,Auction,https://www.ebay.com/itm/188369164744,1
1942 - 10C Mercury Dime / 90% Silver Coin.,188369156743,"May 15, 2026",$6.00,$0.00,,,Auction,https://www.ebay.com/itm/188369156743,1
1942 - 10C Mercury Dime / 90% Silver Coin.,188369128255,"May 15, 2026",$5.50,$0.00,,,Auction,https://www.ebay.com/itm/188369128255,1
1942 - 10C Mercury Dime / 90% Silver Coin.,188369089178,"May 15, 2026",$6.00,$0.00,,,Auction,https://www.ebay.com/itm/188369089178,1
1942 - 10C Mercury Dime / 90% Silver Coin.,188368939021,"May 15, 2026",$5.50,$0.00,,,Auction,https://www.ebay.com/itm/188368939021,1
1942 10C Mercury Silver Dime - 90% Silver Circulated Coin Free Shipping #8336,336557697698,"May 15, 2026",$6.79,$0.00,,,Fixed price,https://www.ebay.com/itm/336557697698,1
1942 10C Mercury Silver Dime - 90% Silver Circulated Coin Free Shipping #8337,336557698409,"May 15, 2026",$6.79,$0.00,,,Fixed price,https://www.ebay.com/itm/336557698409,1
"1942-D SILVER MERCURY DIME - GRADES ""EXTRRMRLY FINE""",318271532072,"May 15, 2026",$7.50,$2.00,,,Auction,https://www.ebay.com/itm/318271532072,1
"1942 SILVER MERCURY DIME - GRADES ""EXTRRMRLY FINE""",318271515435,"May 15, 2026",$5.50,$2.00,,,Auction,https://www.ebay.com/itm/318271515435,1
ESTATE FIND 1942 D- MERCURY DIME! #K54621,147295396278,"May 15, 2026",$8.00,$4.65,,,Auction,https://www.ebay.com/itm/147295396278,1
1942 Mercury Dime 10C Silver 0.900 Fineness Business Strike Circulated,318289004533,"May 14, 2026",$7.65,$0.74,,,Fixed price,https://www.ebay.com/itm/318289004533,1
Silver 1942 and 1943 Mercury Dimes 90% silver,298303724112,"May 14, 2026",$10.80,$0.84,,,Auction,https://www.ebay.com/itm/298303724112,1
Brittania Mercury Dime 1942 Women's Watch,358531428632,"May 14, 2026",$19.00,$5.97,,,Auction,https://www.ebay.com/itm/358531428632,1
1942-S Mercury Dime Fine San Francisco WWII Era 90% Silver Winged Liberty Coin,306925070037,"May 14, 2026",$7.00,$0.49,,,Auction,https://www.ebay.com/itm/306925070037,1
"1942, 1942-D and 1942-S 10C Mercury Dimes 90% Silver",168352605949,"May 14, 2026",$23.38,$0.00,,,Auction,https://www.ebay.com/itm/168352605949,1
"Silver Mercury dimes 15 Pc Lot. $1.50 Face Value 1942, 1944, 1945",287322392847,"May 14, 2026",$69.60,$5.89,,,Auction,https://www.ebay.com/itm/287322392847,1
"Lot of 5 Mercury Dimes 1942, 1943 P-D, 1944 S, 1945 S 90% Silver.",236758181791,"May 14, 2026",$34.00,$4.90,,,Fixed price,https://www.ebay.com/itm/236758181791,1
1942 Brilliant Uncirculated Dime 90% Silver Blazing Original Luster # 411 ~ 4,306874863351,"May 14, 2026",$12.77,$1.14,,,Fixed price,https://www.ebay.com/itm/306874863351,1
1942 Choice/ Gem BU Dime 90% Silver Blazing Original Luster # 411 ~ 5,306874870508,"May 14, 2026",$13.77,$1.22,,,Fixed price,https://www.ebay.com/itm/306874870508,1
1942 Brilliant Uncirculated Dime 90% Silver Blazing Original Luster # 411 ~ 6,306874873423,"May 14, 2026",$12.77,$1.13,,,Fixed price,https://www.ebay.com/itm/306874873423,1
1942-P Mercury Dime 10c AU About Uncirculated 90% Silver See Pictures,127864628406,"May 14, 2026",$10.50,$0.00,,,Fixed price,https://www.ebay.com/itm/127864628406,1
1942-D MERCURY SILVER DIME **CHOICE BRILLIANT UNCIRCULATED** FREE SHIPPING!!,358556097543,"May 14, 2026",$13.99,$0.00,,,Fixed price,https://www.ebay.com/itm/358556097543,1
1942 d mercury dime,127855867192,"May 14, 2026",$5.75,$0.00,,,Auction,https://www.ebay.com/itm/127855867192,1
1942 D UNC+++ FULL SPLIT BANDS 90% SILVER MERCURY DIME,327030313756,"May 14, 2026",$18.00,$3.99,,,Fixed price,https://www.ebay.com/itm/327030313756,1
1942 S UNC+++ FULL SPLIT BANDS MERCURY DIME RARE,327047388013,"May 14, 2026",$16.00,$3.99,,,Fixed price,https://www.ebay.com/itm/327047388013,1
1943-D MERCURY DIME 10¢ DENVER 90% SILVER COIN UNITED STATES MINT,358530597939,"May 14, 2026",$4.75,$5.99,,,Auction,https://www.ebay.com/itm/358530597939,1
1942-P MERCURY DIME 10¢ PHILADELPHIA 90% SILVER COIN UNITED STATES MINT,298298095588,"May 14, 2026",$4.25,$0.17,,,Auction,https://www.ebay.com/itm/298298095588,1
1942-S MERCURY DIME 10¢ SAN FRANCISCO 90% SILVER COIN UNITED STATES MINT,336572905903,"May 14, 2026",$6.50,$5.99,,,Auction,https://www.ebay.com/itm/336572905903,1
1942-D MERCURY DIME 10¢ DENVER 90% SILVER COIN UNITED STATES MINT,358530571326,"May 14, 2026",$5.00,$5.99,,,Auction,https://www.ebay.com/itm/358530571326,1
