Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Lot of 4 Walking Liberty Half Dollars 50c XF+AU 1942-47,377183719272,"May 15, 2026",$64.00,$0.00,,,Fixed price,https://www.ebay.com/itm/377183719272,1
1942 Walking Liberty Half Dollar...GEM BU...Lustrous...Check it out!!,168366519330,"May 15, 2026",$51.00,$6.00,,,Auction,https://www.ebay.com/itm/168366519330,1
1942 BU UNCIRCULATED WALKING LIBERTY SILVER HALF DOLLAR AUTHENTIC U.S. MINT 6177,277963533860,"May 15, 2026",$41.00,$0.00,,,Auction,https://www.ebay.com/itm/277963533860,1
1942 BU UNCIRCULATED WALKING LIBERTY SILVER HALF DOLLAR AUTHENTIC U.S. MINT 6199,277963532744,"May 15, 2026",$43.00,$0.00,,,Auction,https://www.ebay.com/itm/277963532744,1
90% SILVER WALKING LIBERTY HALF DOLLARS,267599664870,"May 15, 2026",$29.92,$6.23,,,Fixed price,https://www.ebay.com/itm/267599664870,32
Lot of 24 Walking Liberty Silver Half Dollar 1928-1946 Circulated,206262181718,"May 15, 2026",$546.60,$5.72,,,Auction,https://www.ebay.com/itm/206262181718,1
1942 D Walking Liberty Half Dollar Coin,306927061288,"May 15, 2026",$23.99,$9.45,,,Auction,https://www.ebay.com/itm/306927061288,1
Lot of 4 90% Walking Liberty Half Dollars (2) 1942 (2) 1943 Private Collection,206273668792,"May 15, 2026",$70.01,$0.00,,,Fixed price,https://www.ebay.com/itm/206273668792,2
1942 D “ WALKING LIBERTY SILVER HALF DOLLAR “,198331518259,"May 15, 2026",$22.11,$6.50,,,Auction,https://www.ebay.com/itm/198331518259,1
Liberty Half Dollar Coin 1942 -D 90% Silver,298300872789,"May 15, 2026",$20.00,$8.15,,,Auction,https://www.ebay.com/itm/298300872789,1
1942 50c NGC MS 65 CAC ~ PQ SILVER WALKING LIBERTY HALF DOLLAR IN OLD HOLDER,358532215082,"May 15, 2026",$201.74,$0.00,,,Auction,https://www.ebay.com/itm/358532215082,1
1942 WALKING LIBERTY HALF DOLLAR CHOICE ABOUT UNCIRCULATED+ CH. AU+ ORIGINAL,178126856957,"May 15, 2026",$47.00,$4.95,,,Fixed price,https://www.ebay.com/itm/178126856957,1
1941-S Walking Liberty Half Dollar Uncirculated! .90 Silver! We Combine Ship!,257498879521,"May 15, 2026",$32.75,$8.95,,,Auction,https://www.ebay.com/itm/257498879521,1
1942-S Walking Liberty Half Dollar Uncirculated! .90 Silver! We Combine Ship!,298303189909,"May 15, 2026",$38.00,$8.95,,,Auction,https://www.ebay.com/itm/298303189909,1
"Walking Liberty Half Dollar 1942, 1943, 1947. SB$70 PS",318271584499,"May 15, 2026",$70.00,$5.72,,,Auction,https://www.ebay.com/itm/318271584499,1
"BU 1942-D Walking Liberty Half Dollar PCGS MS64 Flashy, Lite Toned Reverse IWFB",147197717156,"May 15, 2026",$117.15,$0.00,,,Fixed price,https://www.ebay.com/itm/147197717156,1
1942-S 50C Walking Liberty Half Dollar,287319792410,"May 15, 2026",$24.01,$8.30,,,Auction,https://www.ebay.com/itm/287319792410,1
1942-D Walking Liberty Half Dollar,178034471146,"May 15, 2026",$26.50,$5.28,,,Fixed price,https://www.ebay.com/itm/178034471146,2
1942 D WALKING LIBERTY HALF DOLLAR ANACS MS-63 - UNCIRCULATED - CERTIFIED - 50C,187395715507,"May 14, 2026",$63.00,$5.00,,,Fixed price,https://www.ebay.com/itm/187395715507,1
1942 WALKING LIBERTY SILVER HALF DOLLAR HI GRADE U.S. MINT RARE COIN 4625,267659423117,"May 14, 2026",$41.00,$0.00,,,Auction,https://www.ebay.com/itm/267659423117,1
"Walking Liberty Half Dollars 90% SILVER US Coins 1942, 1943, 1945 - Lot Of 4",188366255685,"May 14, 2026",$106.50,$5.89,,,Auction,https://www.ebay.com/itm/188366255685,1
"1942 BU, 2 1943 BU AND 1946 BU WALKING LIBERTY HALF DOLLAR LOT / 4 COINS",198334080393,"May 14, 2026",$151.96,$6.25,,,Auction,https://www.ebay.com/itm/198334080393,1
1942 Walking Liberty Silver Half Dollar,206259339375,"May 14, 2026",$26.50,$0.00,,,Auction,https://www.ebay.com/itm/206259339375,1
Lot of 4 Walking Liberty Half Dollars 1941 S 1942 1944 1945,198338792667,"May 14, 2026",$103.50,$5.72,,,Auction,https://www.ebay.com/itm/198338792667,1
1942 S Walking Liberty Half Dollar - 90% Silver - G361,358150733319,"May 14, 2026",$49.99,$0.00,,,Fixed price,https://www.ebay.com/itm/358150733319,1
1942 WALKING LIBERTY HALF DOLLAR SILVER U.S. COIN * GET WHAT U C * SHIPS FREE,389989604406,"May 14, 2026",$35.00,$0.00,,,Auction,https://www.ebay.com/itm/389989604406,1
1942-S Walking Liberty Silver Half Dollar Circulated 50C San Francisco,389989325210,"May 14, 2026",$21.50,$5.99,,,Auction,https://www.ebay.com/itm/389989325210,1
lot of two half dollar coins silver / 1964 - 1942,188359338555,"May 14, 2026",$39.99,$8.75,,,Auction,https://www.ebay.com/itm/188359338555,1
1942 Walking Liberty Half Dollar Silver 90% United States Coin,377168175842,"May 14, 2026",$21.01,$5.99,,,Auction,https://www.ebay.com/itm/377168175842,1
Walking Liberty Half Dollar United States Silver Coins Set of 4 42D 42P 42D 42S,206272128839,"May 14, 2026",$112.50,$5.62,,,Auction,https://www.ebay.com/itm/206272128839,1
Kennedy & Walking Liberty Half Dollars Lot Of 4 90% Constitutional Silver Coins,298289023404,"May 14, 2026",$105.00,$0.00,,,Auction,https://www.ebay.com/itm/298289023404,1
Kennedy & Walking Liberty Half Dollars Lot Of 4 90% Constitutional Silver Coins,298289023405,"May 14, 2026",$102.53,$0.00,,,Auction,https://www.ebay.com/itm/298289023405,1
Kennedy & Walking Liberty Half Dollars Lot Of 4 90% Constitutional Silver Coins,298289023427,"May 14, 2026",$103.01,$0.00,,,Auction,https://www.ebay.com/itm/298289023427,1
Kennedy & Walking Liberty Half Dollars Lot Of 4 90% Constitutional Silver Coins,298289023433,"May 14, 2026",$105.00,$0.00,,,Auction,https://www.ebay.com/itm/298289023433,1
Kennedy & Walking Liberty Half Dollars Lot Of 4 90% Constitutional Silver Coins,298289023449,"May 14, 2026",$99.00,$0.00,,,Auction,https://www.ebay.com/itm/298289023449,1
Walking Liberty Half Dollars Lot Of 4 90% Constitutional Silver Coins,306917810737,"May 14, 2026",$105.50,$0.00,,,Auction,https://www.ebay.com/itm/306917810737,1
Walking Liberty Half Dollars Lot Of 4 90% Constitutional Silver Coins,306917810746,"May 14, 2026",$103.00,$0.00,,,Auction,https://www.ebay.com/itm/306917810746,1
1936 Liberty Walking Half Dollar Silver 50C US Coin,178113715498,"May 14, 2026",$23.00,$5.62,,,Auction,https://www.ebay.com/itm/178113715498,1
half dollar walking liberty / lot of two / 1943 / 1942 silver/with case,188365034945,"May 14, 2026",$42.25,$8.75,,,Auction,https://www.ebay.com/itm/188365034945,1
half dollar silver walking liberty / 1936 / 1942 / lot of two,188365023201,"May 14, 2026",$42.00,$8.75,,,Auction,https://www.ebay.com/itm/188365023201,1
half dollar walking liberty / 1940 / 1942 silver / with cases/no combine shippin,188365008605,"May 14, 2026",$39.99,$8.75,,,Auction,https://www.ebay.com/itm/188365008605,1
1942 walking liberty silver half dollar,389915554538,"May 14, 2026",$24.99,$4.78,,,Fixed price,https://www.ebay.com/itm/389915554538,1
BU 1942-S Walking Liberty Half Dollar PCGS MS64 Frosty! XRBM,147301568516,"May 13, 2026",$137.46,$0.00,,,Fixed price,https://www.ebay.com/itm/147301568516,1
AU 1942 (P) Walking Liberty Half Dollar Almost Unc 90% Silver (1pc),133318703095,"May 13, 2026",$33.93,$0.00,,,Fixed price,https://www.ebay.com/itm/133318703095,47
BU 1942 (P) Walking Liberty Half Dollar Uncirculated 90% Silver,133331296425,"May 13, 2026",$46.59,$9.33,,,Fixed price,https://www.ebay.com/itm/133331296425,283
90% SILVER Walking Liberty Half Dollars 1942-1945 Cull Lot of 4 Coins $2 Face,117170136371,"May 13, 2026",$112.95,$5.97,,,Fixed price,https://www.ebay.com/itm/117170136371,1
Liberty Walking 1942 Half Dollar Silver 50C Coin USA Circulated,377167032313,"May 13, 2026",$26.28,$5.97,,,Auction,https://www.ebay.com/itm/377167032313,1
1942 Walking Liberty Half Dollar,178096567394,"May 13, 2026",$20.00,$9.95,,,Fixed price,https://www.ebay.com/itm/178096567394,1
1942 XF Walking Liberty Half Dollar 90% Silver *5296,127850883238,"May 13, 2026",$39.95,$0.00,,,Auction,https://www.ebay.com/itm/127850883238,1
1942 WALKING LIBERTY SILVER HALF DOLLAR HI GRADE U.S. MINT RARE COIN 4599,267659410830,"May 13, 2026",$38.00,$0.00,,,Auction,https://www.ebay.com/itm/267659410830,1
