Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"1943 P D S **STEEL Wheat Head Lincoln Cent 3 Coin Set,** Penny Lot",375830806084,"Apr 29, 2026",$7.30,$2.13,,,Fixed price,https://www.ebay.com/itm/375830806084,"1,516"
"1943 P+D+S Lincoln Cent Wartime Steel ""Silver"" Cent Set WWII (3 coins)",126204328514,"Apr 27, 2026",$6.89,$14.85,,,Fixed price,https://www.ebay.com/itm/126204328514,591
,,"Jan 24, 2026",$12.28,$1.39,,,Fixed price,,258
ONE HUNDRED 1943 P/D/S STEEL Wheat Pennies CULL/AG TO GOOD OR BETTER,387541676608,"Apr 23, 2026",$26.69,$0.00,,,Fixed price,https://www.ebay.com/itm/387541676608,150
1943 Wheat Lincoln Head 3 Penny Steel P D S 3 Cent Collection AU/BU Detail,376154087122,"Apr 28, 2026",$9.78,$2.17,,,Fixed price,https://www.ebay.com/itm/376154087122,217
1943 P D S Lincoln Steel Wheat Cent Penny Set (3 Coins!) CULLS *FREE SHIPPING*,156134061277,"Apr 26, 2026",$2.11,$0.00,,,Fixed price,https://www.ebay.com/itm/156134061277,152
"Roll of 50 Circulated 1943 Steel Pennies P, D & S Mint Marks WWII Wartime Cents",165941400665,"Apr 29, 2026",$20.40,$0.00,,,Fixed price,https://www.ebay.com/itm/165941400665,143
Roll of (50) Mixed 1943 P-D-S Lincoln Wheat Steel Cents | AVERAGE CIRCULATED,276724429133,"Apr 28, 2026",$15.08,$6.50,,,Fixed price,https://www.ebay.com/itm/276724429133,126
"(1) War (Steel) Penny P, D, or S - Choose How Many",306481446051,"Apr 28, 2026",$0.95,$0.00,,,Fixed price,https://www.ebay.com/itm/306481446051,271
1943 (P/D/S) Lincoln Steel Cent 50 Coin Roll (Avg Circ) | TRULY UNSEARCHED,387302537062,"Apr 27, 2026",$23.26,$0.00,,,Fixed price,https://www.ebay.com/itm/387302537062,91
1943 P D S Lincoln Steel Wheat Cent Penny Set AVE CIRCULATED **FREE SHIPPING*,157614391218,"Feb 9, 2026",$3.05,$0.00,,,Fixed price,https://www.ebay.com/itm/157614391218,79
1943 D Steel Penny WWII Wartime Cent in Brilliant Uncirculated BU Condition,197361790045,"Apr 28, 2026",$11.75,$0.00,,,Fixed price,https://www.ebay.com/itm/197361790045,82
1943 P D & S American Steel AU Cent Lincoln Wheat Beautiful Penny Set,314065064331,"Apr 15, 2026",$14.33,$0.00,,,Fixed price,https://www.ebay.com/itm/314065064331,66
1943 P D S Beautiful Uncirculated Steel Lincoln Wheat 3 Penny Set PDS VHG,165458728708,"Apr 28, 2026",$19.07,$0.00,,,Fixed price,https://www.ebay.com/itm/165458728708,62
1943 Lincoln Wheat Cent D - Uncirculated,374036451212,"Feb 9, 2026",$4.71,$1.34,,,Fixed price,https://www.ebay.com/itm/374036451212,99
"1943 P D S **STEEL Wheat head Lincoln 3 Penny Set,**",233945129379,"Apr 19, 2026",$14.41,$0.00,,,Fixed price,https://www.ebay.com/itm/233945129379,67
1943-P 1943-D 1943-S Lincoln WW2 Steel Cent Set - Reprocessed/Replated (Lot#1),187979084412,"Feb 19, 2026",$5.38,$0.00,,,Fixed price,https://www.ebay.com/itm/187979084412,56
1943 P D S Lincoln Steel Wheat Cent Penny Set of 3 Coins Lot # 10 - 50 - 250,353398868836,"Apr 29, 2026",$5.88,$0.00,,,Fixed price,https://www.ebay.com/itm/353398868836,98
,,"Nov 10, 2025",$2.25,$0.00,,,Fixed price,,69
"Roll of 50 Circulated 1943 Steel Pennies P, D & S Mint Marks WWII Wartime Cents",197931352034,"Apr 29, 2026",$28.10,$0.00,,,Fixed price,https://www.ebay.com/itm/197931352034,43
1943 P D S 1C Lincoln Steel Wheat Cent NGC MS 66 Three Coin Lot,296207476536,"Mar 28, 2026",$125.11,$0.00,,,Fixed price,https://www.ebay.com/itm/296207476536,46
,,"Jan 9, 2026",$25.00,$5.72,,,Fixed price,,44
1943 P D S Lincoln Steel Wheat Cent Penny Set AVE CIRCULATED **FREE SHIPPING*,168313407533,"Apr 27, 2026",$3.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168313407533,39
"1943 D Lincoln, Wheat Ears Reverse Cent Seller Choice Uncirculated",395809894087,"Apr 23, 2026",$11.74,$12.17,,,Fixed price,https://www.ebay.com/itm/395809894087,44
"Cull JUNK Roll of 50 - 1943 Steel Pennies P, D & S Mint Marks Cents WWII Wartime",397306101111,"Mar 15, 2026",$15.23,$0.00,,,Fixed price,https://www.ebay.com/itm/397306101111,48
1943 P/D/S cent set World War 2 Wartime Steel Cents 3 coin set AU/BU Reprocessed,304364672966,"Apr 27, 2026",$9.49,$0.00,,,Fixed price,https://www.ebay.com/itm/304364672966,35
1943 D American Steel Lincoln Wheat Cent Uncirculated Denver Mint Penny,165408000922,"Apr 21, 2026",$9.49,$0.00,,,Fixed price,https://www.ebay.com/itm/165408000922,30
1943 D Lincoln Steel Wheat Cent / Penny Set (2 Coins!) CULLS *FREE SHIPPING*,167592043611,"Feb 24, 2026",$1.49,$0.00,,,Fixed price,https://www.ebay.com/itm/167592043611,43
1943 P D S 1c BU Lincoln Steel Wheat Cent Set,296573004425,"Apr 13, 2026",$10.12,$1.92,,,Fixed price,https://www.ebay.com/itm/296573004425,35
,,"Dec 27, 2025",$2.95,$0.00,,,Fixed price,,35
1943 P D S 1c Lincoln Steel Wheat Cent NGC Graded MS 63 Three Coin Lot,336161411117,"Apr 25, 2026",$49.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336161411117,32
,,"Dec 11, 2025",$2.69,$0.00,,,Fixed price,,46
,,"Jan 4, 2026",$2.75,$0.90,,,Fixed price,,36
1943-D Lincoln Cent - Superb Uncirculated,267514471097,"Apr 29, 2026",$6.99,$1.70,,,Fixed price,https://www.ebay.com/itm/267514471097,29
1943+1943-D+1943-S Steel Lincoln Wheat Penny Cent Lot ~ Gem BU ~ 3 Coin Set,306062406545,"Apr 19, 2026",$14.08,$1.32,,,Fixed price,https://www.ebay.com/itm/306062406545,32
1943-D Lincoln Steel Cent 1c Penny WWII Good-Fine (G-F) Condition Circulated,306607013766,"Apr 18, 2026",$2.87,$1.43,,,Fixed price,https://www.ebay.com/itm/306607013766,37
"(1) Set Of 3 1943 Steel Pennies - One From Each Mint, P D & S",306886720195,"Apr 29, 2026",$4.69,$0.00,,,Fixed price,https://www.ebay.com/itm/306886720195,54
STUNNING NATURAL BU HIGH GRADE 1943-D STEEL PENNY WWII WARTIME CENT FAST S&H,326577158825,"Mar 28, 2026",$6.75,$0.99,,,Fixed price,https://www.ebay.com/itm/326577158825,34
1943 P D S 1c Lincoln Steel Wheat Cent NGC MS 64 Three Coin Lot,305741399441,"Apr 3, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/305741399441,29
