Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"1943 P D S **STEEL Wheat Head Lincoln Cent 3 Coin Set,** Penny Lot",375830806084,"Apr 28, 2026",$7.30,$2.13,,,Fixed price,https://www.ebay.com/itm/375830806084,"1,515"
"1943 P+D+S Lincoln Cent Wartime Steel ""Silver"" Cent Set WWII (3 coins)",126204328514,"Apr 27, 2026",$6.89,$14.85,,,Fixed price,https://www.ebay.com/itm/126204328514,591
"1943 STEEL LINCOLN WHEAT CENT PENNY ROLL (50 coins) STEEL PENNY, good condition",326633569478,"Apr 28, 2026",$30.80,$4.82,,,Fixed price,https://www.ebay.com/itm/326633569478,337
,,"Jan 24, 2026",$12.28,$1.39,,,Fixed price,,258
"1943 PDS Circulated Steel American Lincoln Wheat ""3 Coin Set"" 1 Of Each Mint",167631323018,"Apr 16, 2026",$8.06,$0.00,,,Fixed price,https://www.ebay.com/itm/167631323018,206
ONE HUNDRED 1943 P/D/S STEEL Wheat Pennies CULL/AG TO GOOD OR BETTER,387541676608,"Apr 23, 2026",$26.69,$0.00,,,Fixed price,https://www.ebay.com/itm/387541676608,150
1943 Wheat Lincoln Head 3 Penny Steel P D S 3 Cent Collection AU/BU Detail,376154087122,"Apr 28, 2026",$9.78,$2.17,,,Fixed price,https://www.ebay.com/itm/376154087122,217
1909-1958 Wheat Cent Roll w/ Two 1943 Steel Cent Caps | ACTUALLY UNSEARCHED,387577158750,"Apr 27, 2026",$13.76,$0.00,,,Fixed price,https://www.ebay.com/itm/387577158750,189
1943 P Lincoln Steel Wheat Cent / Penny Set (2 Coins) AVE CIRCULATED *FREE SHIP*,157514385746,"Mar 11, 2026",$1.45,$0.00,,,Fixed price,https://www.ebay.com/itm/157514385746,171
1943 P D S Lincoln Steel Wheat Cent Penny Set (3 Coins!) CULLS *FREE SHIPPING*,156134061277,"Apr 26, 2026",$2.11,$0.00,,,Fixed price,https://www.ebay.com/itm/156134061277,152
