Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1943 P BU Jefferson Nickel - Silver War Nickel From OBW Roll,336409510427,"Jun 26, 2026",$12.55,$0.00,,,Fixed price,https://www.ebay.com/itm/336409510427,30
1943-P Jefferson War Nickel - Actual 35% Silver Coin Shown - Free Shipping INV43,358210199064,"Jun 22, 2026",$5.11,$0.00,,,Fixed price,https://www.ebay.com/itm/358210199064,30
1943 P Jefferson 35% Silver War Nickel BU Silver US Coin,137192853890,"Jun 22, 2026",$20.16,$3.95,,,Fixed price,https://www.ebay.com/itm/137192853890,2
1943 P D S Jefferson Nickel Set (3 Coin Lot) Silver War Nickels Nice GOOD / VG,323759657470,"Jun 21, 2026",$19.87,$0.00,,,Fixed price,https://www.ebay.com/itm/323759657470,13
"1943-P Jefferson Nickel, Silver War Nickel, Gem BU, Raw",257246994895,"Jun 14, 2026",$11.41,$1.22,,,Fixed price,https://www.ebay.com/itm/257246994895,12
Wartime Silver United States War Nickels 35% Mixed 1942 1943 1944 1945 P D S,117238308646,"Jun 10, 2026",$4.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117238308646,3
1943-P Jefferson War Nickel Mint Error Peeled Planchet (bb18275),116633031824,"Jun 7, 2026",$8.00,$1.25,,,Fixed price,https://www.ebay.com/itm/116633031824,1
1943 P Silver War Nickel Jefferson 1943 Philadelphia P Mint Mark,267579849517,"Jun 1, 2026",$6.00,$0.99,,,Fixed price,https://www.ebay.com/itm/267579849517,9
Wartime Silver United States War Nickels 35% Mixed 1942 1943 1944 1945 P D S,318308964554,"May 24, 2026",$5.85,$0.00,,,Fixed price,https://www.ebay.com/itm/318308964554,23
1943-P-D-S Jefferson Silver War Nickel year and mint set of 3 coins,226172694611,"May 20, 2026",$17.95,$0.99,,,Fixed price,https://www.ebay.com/itm/226172694611,3
1943-P Jefferson War Nickel. Gorgeous Luster And Details! NICE!,116306491893,"May 18, 2026",$10.00,$1.23,,,Fixed price,https://www.ebay.com/itm/116306491893,1
"1943-P Silver Jefferson ""War Nickel"" - Free Shipping!",157908148262,"May 14, 2026",$5.25,$0.00,,,Fixed price,https://www.ebay.com/itm/157908148262,1
1943-P Jefferson Silver War Nickel - Scarce High Grade Lustrous #K1319,377166979760,"May 13, 2026",$8.15,$0.14,,,Auction,https://www.ebay.com/itm/377166979760,1
1943-P Jefferson Silver War Nickel - Choice Gem Brilliant Unc Lustrous #K1301,366393217280,"May 13, 2026",$8.12,$0.14,,,Auction,https://www.ebay.com/itm/366393217280,1
JEFFERSON SILVER WAR NICKELS (4) 1943-D 1943-P 1944-P 1945-P CH BU NICE,127850851584,"May 13, 2026",$33.00,$7.50,,,Auction,https://www.ebay.com/itm/127850851584,1
"1943-P Silver Jefferson War Nickel, Brilliant Uncirculated",206268664690,"May 13, 2026",$12.00,$0.51,,,Fixed price,https://www.ebay.com/itm/206268664690,1
1943-P Jefferson War Nickels (2 Coins) – Uncirculated Silver WWII Coins – High L,157888978816,"May 13, 2026",$20.00,$5.17,,,Fixed price,https://www.ebay.com/itm/157888978816,1
Wartime Silver United States War Nickels 35% Mixed 1942 1943 1944 1945 P D S,227236415851,"May 13, 2026",$4.66,$0.00,,,Fixed price,https://www.ebay.com/itm/227236415851,306
1943/2-P Overdate Jefferson Silver War Nickel----Ungraded VG-F Condition,306922317781,"May 13, 2026",$10.50,$1.75,,,Auction,https://www.ebay.com/itm/306922317781,1
Full Roll Of Jefferson War Nickels 1943 P 40 Total Silver 5 Cent,147297145620,"May 13, 2026",$133.50,$7.50,,,Auction,https://www.ebay.com/itm/147297145620,1
SELLING AS SHOWN - 1943 P 5c JEFFERSON WAR NICKEL *** 35% SILVER *** 392,178076296570,"May 12, 2026",$4.93,$0.00,,,Fixed price,https://www.ebay.com/itm/178076296570,1
1943-P Jefferson Silver War Nickel - Scarce Better Date No Reserve #K1132,377164970973,"May 12, 2026",$4.25,$0.00,,,Auction,https://www.ebay.com/itm/377164970973,1
1943-P Silver Jefferson War Nickel,157887942481,"May 12, 2026",$4.24,$0.74,,,Auction,https://www.ebay.com/itm/157887942481,1
2-- 1943 SILVER WAR NICKELS P--AND S MINTS,236804234763,"May 12, 2026",$7.50,$1.50,,,Auction,https://www.ebay.com/itm/236804234763,1
One Wartime Silver United States War Nickel 35% Mixed 1942 1943 1944 1945 P D S,188290520674,"May 12, 2026",$3.00,$4.50,,,Fixed price,https://www.ebay.com/itm/188290520674,33
1943-P Jefferson Silver War Nickel Brilliant Uncirculated BU Coin #39656,397885235867,"May 12, 2026",$12.95,$0.00,,,Fixed price,https://www.ebay.com/itm/397885235867,1
"560 US Jefferson War Nickels 35%Silver , P,D,S Circulated. FREE SHIPPING",168355180971,"May 12, 2026","$2,026.11",$0.00,,,Auction,https://www.ebay.com/itm/168355180971,1
Lot of 3 Jefferson Silver War Nickels 1943-P 1944-D 1945-S 5C,389988410006,"May 12, 2026",$11.00,$5.28,,,Auction,https://www.ebay.com/itm/389988410006,1
1943-P Jefferson Silver War Nickel - Scarce High Grade Lustrous #K910,366388747233,"May 11, 2026",$10.50,$0.18,,,Auction,https://www.ebay.com/itm/366388747233,1
1943-P Jefferson Silver War Nickel - Scarce High Grade Lustrous #K909,377162775332,"May 11, 2026",$10.77,$0.18,,,Auction,https://www.ebay.com/itm/377162775332,1
1943-P Jefferson Silver War Nickel - Choice Gem Brilliant Uncirculated #K906,377162763867,"May 11, 2026",$10.50,$0.18,,,Auction,https://www.ebay.com/itm/377162763867,1
"1943-S Silver Jefferson ""War Nickel"" 35% Silver - Free Shipping!",800006610222,"May 11, 2026",$3.79,$0.00,,,Fixed price,https://www.ebay.com/itm/800006610222,1
"1943-P Silver Jefferson War Nickel, Very Fine Actual Coin Shown",406899909667,"May 11, 2026",$6.50,$0.00,,,Fixed price,https://www.ebay.com/itm/406899909667,1
"Silver 1943-P and 1944-P Jefferson War Nickels, 35% Silver",358518366883,"May 11, 2026",$9.00,$2.00,,,Auction,https://www.ebay.com/itm/358518366883,1
1943-P JEFFERSON SILVER WAR NICKEL~NGC MS62 ~BEAUTIFUL COIN~ TONED,366391157306,"May 10, 2026",$15.01,$5.97,,,Auction,https://www.ebay.com/itm/366391157306,1
"Set of four Jefferson War Nickels. 1-1942 P, 1-1943 P, 1-1944 P, 1-1945 P. 35%",235945167138,"May 10, 2026",$15.00,$15.31,,,Fixed price,https://www.ebay.com/itm/235945167138,1
1943-P Jefferson Silver War Nickel - Scarce High Grade Lustrous #K718,397908991863,"May 10, 2026",$6.50,$4.75,,,Auction,https://www.ebay.com/itm/397908991863,1
1943-P Jefferson Silver War Nickel - Scarce High Grade Lustrous #K717,377160709210,"May 10, 2026",$6.00,$0.74,,,Auction,https://www.ebay.com/itm/377160709210,1
1943-P Jefferson Silver War Nickel - Scarce High Grade Lustrous #K716,397908986092,"May 10, 2026",$6.50,$0.00,,,Auction,https://www.ebay.com/itm/397908986092,1
1943 P 5c Silver War Nickel DDO FS-106 DIE 6 ANACS F 15,147294073881,"May 10, 2026",$30.00,$8.00,,,Fixed price,https://www.ebay.com/itm/147294073881,1
1943-P 5c Jefferson Nickel Silver War Nickel PCGS MS64 (N),397929389557,"May 10, 2026",$22.00,$3.00,,,Fixed price,https://www.ebay.com/itm/397929389557,1
1943-P Jefferson Silver War Nickel Circulated Condition 35% Silver 5 Cents -3866,318235412298,"May 10, 2026",$4.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318235412298,1
5 different jefferson silver war nickels 1/8 roll ww2 1942-1945 p d s coins,178122649154,"May 10, 2026",$18.88,$0.00,,,Fixed price,https://www.ebay.com/itm/178122649154,1
SELLING AS SHOWN - 1943 P 5c JEFFERSON WAR NICKEL *** 35% SILVER *** 498,178119650899,"May 10, 2026",$4.93,$0.00,,,Fixed price,https://www.ebay.com/itm/178119650899,1
BELOW MELT VALUE- Roll of 40 War Nickels~35% Silver - 1943-P,177805153212,"May 10, 2026",$150.00,$6.07,,,Fixed price,https://www.ebay.com/itm/177805153212,1
"Set of 4 War Nickels A/U 43FS ,44, 45 Denver mint mark 42FS P mint mark",127844285089,"May 10, 2026",$9.50,$3.50,,,Auction,https://www.ebay.com/itm/127844285089,1
"1943-P 5C Jefferson Nickel, SILVER WAR NICKEL (88871)",227239131859,"May 10, 2026",$5.45,$0.00,,,Fixed price,https://www.ebay.com/itm/227239131859,1
Lot of 3 1943-P Jefferson War Nickels 35% Silver Circulated WWII Wartime Coins,406901755365,"May 10, 2026",$17.60,$0.00,,,Auction,https://www.ebay.com/itm/406901755365,1
LOT OF 40 (full roll) 1943-P Jefferson War Nickel 35% Silver 2.25oz ASW,397896762147,"May 10, 2026",$139.00,$8.45,,,Auction,https://www.ebay.com/itm/397896762147,1
1943-P Jefferson Silver War Nickel - Scarce Better Date No Reserve #K126,397905541394,"May 9, 2026",$5.50,$0.03,,,Auction,https://www.ebay.com/itm/397905541394,1
1943 P Jefferson War Nickel T105,377158234554,"May 9, 2026",$4.04,$0.00,,,Auction,https://www.ebay.com/itm/377158234554,1
Jefferson War Nickel 1943-P 35% Silver,406897402260,"May 9, 2026",$4.25,$0.80,,,Auction,https://www.ebay.com/itm/406897402260,1
1943-P AU-BU Jefferson WAR Nickel Roll - 35% Silver,306912280731,"May 9, 2026",$136.01,$3.60,,,Auction,https://www.ebay.com/itm/306912280731,1
1943 P 35% Silver Jefferson Nickel War Nickel UNCIRCULATED,366388134124,"May 9, 2026",$11.01,$0.14,,,Auction,https://www.ebay.com/itm/366388134124,1
1943-P Jefferson Silver War Time Nickel 5c PCGS MS66FS Full Steps 47001040,318204615343,"May 9, 2026",$97.95,$0.00,,,Fixed price,https://www.ebay.com/itm/318204615343,1
1943 P Jefferson Nickel Silver War Nickel Free Shipping,127852807964,"May 9, 2026",$4.74,$0.00,,,Fixed price,https://www.ebay.com/itm/127852807964,1
Jefferson War Nickel Lot of 2 US Coins. 1942 P and 1943 S. 35% Silver,318274951184,"May 9, 2026",$9.00,$0.00,,,Fixed price,https://www.ebay.com/itm/318274951184,1
Lot of 6 35% Silver 1943 P Jefferson War Nickels KM192A No Reserve Free Shipping,287305585511,"May 8, 2026",$23.20,$0.00,,,Auction,https://www.ebay.com/itm/287305585511,1
1943-P Jefferson Silver War Nickel - Scarce High Grade Lustrous #J9916,377156461715,"May 8, 2026",$8.73,$0.11,,,Auction,https://www.ebay.com/itm/377156461715,1
1943-P Jefferson Silver War Nickel - Scarce High Grade Lustrous #J8715,366386575702,"May 8, 2026",$8.50,$0.31,,,Auction,https://www.ebay.com/itm/366386575702,1
"1943 P Jefferson 35% Silver War Nickel, BU, Uncirculated",336452159334,"May 8, 2026",$9.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336452159334,1
1943-P Jefferson War Nickel - Actual 35% Silver Coin Shown - Free Shipping INV83,358402717835,"May 7, 2026",$4.97,$0.00,,,Fixed price,https://www.ebay.com/itm/358402717835,8
1943-P Jefferson Silver War Nickel BU Uncirculated GEM US Coin 5c MQ,195954416449,"Apr 30, 2026",$18.45,$4.78,,,Fixed price,https://www.ebay.com/itm/195954416449,6
