Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1943 S Washington Quarter 90% Silver Good GD,204182485722,"Jun 27, 2026",$21.19,$3.95,,,Fixed price,https://www.ebay.com/itm/204182485722,2
1943 Washington Quarter Coin 25c Silver Uncirculated Twenty-Five Cents,316701202433,"Jun 23, 2026",$24.47,$5.95,,,Fixed price,https://www.ebay.com/itm/316701202433,2
One Washington Quarter 1943 - 1964 PDS 90% Silver Circulated Mixed Conditions,800227198770,"Jun 22, 2026",$10.62,$0.75,,,Fixed price,https://www.ebay.com/itm/800227198770,4
1943-D Washington Quarter MS66 ICG,136533796018,"May 25, 2026",$83.57,$5.25,,,Fixed price,https://www.ebay.com/itm/136533796018,2
1943 S ** Washington Silver Quarter ** NGC MS66 **,117011358043,"May 15, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117011358043,1
1943-S Washington Quarter Better Grade Complete Your Album! SILVER!,226439341596,"May 13, 2026",$29.53,$0.00,,,Fixed price,https://www.ebay.com/itm/226439341596,9
1943-S San Francisco Silver Circulated Washington Quarter Coin!,157639588123,"May 9, 2026",$19.95,$0.25,,,Fixed price,https://www.ebay.com/itm/157639588123,2
1943 Washington Quarter ~ BU Uncirculated Mint State ~ 90% Silver 25c US Coin,267371846167,"May 6, 2026",$19.95,$4.45,,,Fixed price,https://www.ebay.com/itm/267371846167,2
Choice Unc 1943 P+D+S Washington Quarter Gem BU Collection Lot Set,135155322680,"May 2, 2026",$87.42,$0.00,,,Fixed price,https://www.ebay.com/itm/135155322680,13
(2) washington Silver Quarters 1943- 1944 #21,117055472916,"Apr 28, 2026",$28.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117055472916,1
1943-S (90% SILVER) WASHINGTON QUARTER,117078415289,"Apr 22, 2026",$18.53,$0.00,,,Fixed price,https://www.ebay.com/itm/117078415289,1
1943-S Washington Quarter - Gem BU - 90% Silver,134030340941,"Apr 20, 2026",$53.58,$3.99,,,Fixed price,https://www.ebay.com/itm/134030340941,4
[Removed] Item 266174378415,266174378415,"Apr 15, 2026",$29.90,$2.85,,,Fixed price,,3
1943 Washington Quarter - 90% Silver - VF Free Shipping W/ Tracking,116987559460,"Apr 14, 2026",$10.99,$0.00,,,Fixed price,https://www.ebay.com/itm/116987559460,1
Silver Washington Quarter Circulated Silver 25c Coin,117031126869,"Apr 9, 2026",$16.99,$5.52,,,Fixed price,https://www.ebay.com/itm/117031126869,1
1943 Philadelphia Mint Silver Washington Quarter Uncirculated,116883125255,"Mar 27, 2026",$19.95,$1.32,,,Fixed price,https://www.ebay.com/itm/116883125255,1
,,"Mar 27, 2026",$19.95,$1.32,,,Fixed price,,1
,,"Mar 21, 2026",$61.00,$4.95,,,Auction,,1
,,"Mar 20, 2026",$14.50,$1.32,,,Auction,,1
1943 Washington Quarter BU 90% Silver,375597195230,"Mar 17, 2026",$18.95,$0.00,,,Fixed price,https://www.ebay.com/itm/375597195230,11
,,"Mar 17, 2026",$18.95,$0.00,,,Fixed price,,11
,,"Mar 17, 2026",$193.61,$5.39,,,Auction,,1
,,"Mar 15, 2026",$9.99,$1.75,,,Fixed price,,1
,,"Mar 13, 2026",$18.50,$0.00,,,Fixed price,,1
,,"Mar 13, 2026",$71.71,$5.45,,,Auction,,1
,,"Mar 6, 2026",$12.00,$1.00,,,Fixed price,,1
,,"Mar 5, 2026",$47.05,$4.95,,,Auction,,1
,,"Mar 2, 2026",$72.00,$4.88,,,Auction,,1
,,"Mar 2, 2026",$40.00,$5.62,,,Fixed price,,1
1943 D mint Denver Washington Quarter 90% Silver Business Strike US Coin,298054192012,"Feb 27, 2026",$16.99,$0.74,,,Fixed price,https://www.ebay.com/itm/298054192012,2
,,"Feb 27, 2026",$16.99,$0.74,,,Fixed price,,2
1943 D Washington 90% Silver Quarter Denver Mint Mark Free Shipping,226690509922,"Feb 24, 2026",$15.35,$0.00,,,Fixed price,https://www.ebay.com/itm/226690509922,5
1943 S Washington Silver Quarter San Francisco Mint Mark Free Shipping,326524324251,"Feb 24, 2026",$16.45,$0.00,,,Fixed price,https://www.ebay.com/itm/326524324251,2
1943-S Washington Quarter ~ Borderline Uncirculated (AU++) ~ 90% Silver,306712620854,"Feb 23, 2026",$22.98,$3.98,,,Fixed price,https://www.ebay.com/itm/306712620854,2
,,"Feb 21, 2026",$5.14,$0.16,,,Auction,,1
1943-D Washington Silver Quarter 25c ICG MS64 1315090701,116114449326,"Feb 18, 2026",$44.95,$0.00,,,Fixed price,https://www.ebay.com/itm/116114449326,1
,,"Feb 18, 2026",$44.95,$0.00,,,Fixed price,,1
,,"Feb 17, 2026",$44.02,$5.20,,,Auction,,1
,,"Feb 17, 2026",$12.00,$5.30,,,Auction,,1
,,"Feb 16, 2026",$130.00,$0.00,,,Fixed price,,1
,,"Feb 4, 2026",$46.00,$5.52,,,Fixed price,,1
,,"Jan 31, 2026",$80.00,$5.52,,,Fixed price,,1
"1943-D Washington Silver Quarter, Average Circulated 90% Silver - #F41",364018983850,"Jan 26, 2026",$17.81,$0.00,,,Fixed price,https://www.ebay.com/itm/364018983850,9
"1943-S Washington Silver Quarter, Average Circulated 90% Silver - #F42",225283074240,"Jan 25, 2026",$17.70,$0.00,,,Fixed price,https://www.ebay.com/itm/225283074240,7
,,"Jan 25, 2026",$175.00,$5.00,,,Fixed price,,1
,,"Jan 24, 2026",$54.00,$5.26,,,Fixed price,,3
1943 Washington Quarter ~ Gem BU ~ 90% Silver,302993264847,"Jan 20, 2026",$18.15,$1.22,,,Fixed price,https://www.ebay.com/itm/302993264847,5
,,"Jan 17, 2026",$18.00,$4.99,,,Auction,,1
,,"Jan 17, 2026",$21.17,$0.00,,,Auction,,1
,,"Jan 17, 2026",$16.00,$1.32,,,Fixed price,,1
,,"Jan 8, 2026",$13.95,$0.00,,,Fixed price,,1
