Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1944 D Walking Liberty Half Dollar NGC MS65 Old Holder,227458024489,"Aug 6, 2026",$142.50,$5.90,,,Auction,https://www.ebay.com/itm/227458024489,1
"1944-D Walker Half Dollar, MS65 PCGS, Denver Mint Silver Coin.",117220096174,"Aug 4, 2026",$160.00,$7.00,,,Fixed price,https://www.ebay.com/itm/117220096174,1
1944-D Walking Liberty Half Dollar - PCGS MS65 Certified Slab KM#142 - 8580-SFPC,318241289141,"Aug 3, 2026",$191.89,$0.00,,,Fixed price,https://www.ebay.com/itm/318241289141,1
1944 D Walking Liberty Half Dollar NGC MS65 Great Luster,327290474563,"Aug 2, 2026",$129.95,$5.48,,,Fixed price,https://www.ebay.com/itm/327290474563,1
1944 D 90% Silver Liberty Walking half Dollar! PCGS MS65! NICE COIN! N195,278121617130,"Jul 20, 2026",$132.99,$5.85,,,Fixed price,https://www.ebay.com/itm/278121617130,1
1944-D Walking Liberty Half Dollar - CAC MS65,158095686913,"Jul 19, 2026",$175.00,$6.00,,,Fixed price,https://www.ebay.com/itm/158095686913,1
"1944-D Walker Half Dollar, MS65 PCGS, Denver Mint Silver Coin.",117220095750,"Jul 14, 2026",$157.00,$7.00,,,Fixed price,https://www.ebay.com/itm/117220095750,1
1944-D Walking Liberty Half Dollar PCGS MS65 Gem BU Blast White Silver 50C,158044935837,"Jul 14, 2026",$173.00,$9.45,,,Fixed price,https://www.ebay.com/itm/158044935837,1
1944-D Walking Liberty Half Dollar.....PCGS MS65,236891766905,"Jul 10, 2026",$135.00,$5.62,,,Fixed price,https://www.ebay.com/itm/236891766905,1
1944-D Walking Liberty Half Dollar PCGS MS65 - Lustrous White,358526399698,"Jul 10, 2026",$149.95,$4.95,,,Fixed price,https://www.ebay.com/itm/358526399698,1
1944-D Walking Liberty Half Dollar PCGS MS65 Blazing White,318509654192,"Jul 3, 2026",$159.99,$6.95,,,Auction,https://www.ebay.com/itm/318509654192,1
1944-D Walking Liberty Silver Half Dollar PCGS MS65 OGH Rattler - Blazer!,307014373296,"Jun 20, 2026",$175.00,$8.75,,,Fixed price,https://www.ebay.com/itm/307014373296,1
"1944 ""D"" Walking LIBERTY Half Dollar 50c NGC MS65 #020 Gem BU Unc ECC&C, Inc.",198432283987,"Jun 17, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/198432283987,1
1944-D WALKING LIBERTY HALF PCGS MS65 OLD GREEN HOLDER RATTLER SILVER OGH!,398064462492,"Jun 14, 2026",$169.99,$5.99,,,Fixed price,https://www.ebay.com/itm/398064462492,1
1944-D Silver Walking Liberty Half Dollar MS65 Beautiful Coin!,257542600283,"Jun 9, 2026",$81.03,$5.28,,,Auction,https://www.ebay.com/itm/257542600283,1
"1944-D OGH PCGS MS65 Walking Liberty Silver Half Dollar, Lustrous U.S. Coin",137220347403,"Jun 2, 2026",$149.99,$5.99,,,Fixed price,https://www.ebay.com/itm/137220347403,1
