Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1944-S XF Walking Liberty Half Dollar,364585044384,"Dec 2, 2025",$22.41,$0.00,,,Fixed price,https://www.ebay.com/itm/364585044384,6
1940's AU WALKING LIBERTY HALF $ ~ SILVER AT A 15 YR HIGH ~ BUY 1 OR MORE,376525463424,"May 15, 2026",$36.67,$5.10,,,Fixed price,https://www.ebay.com/itm/376525463424,18
,,"Dec 8, 2025",$20.00,$0.00,,,Fixed price,,2
[Removed] Item 377063827377,377063827377,"Mar 28, 2026",$27.00,$0.00,,,Fixed price,,2
,,"Dec 8, 2025",$19.99,$0.00,,,Fixed price,,1
,,"Jan 9, 2026",$92.50,$6.95,,,Fixed price,,1
,,"Dec 3, 2025",$19.99,$0.00,,,Fixed price,,1
,,"Nov 17, 2025",$19.00,$0.00,,,Fixed price,,1
,,"Jan 7, 2026",$122.95,$0.00,,,Fixed price,,1
,,"Dec 22, 2025",$21.00,$4.09,,,Auction,,1
,,"Dec 28, 2025",$39.50,$7.50,,,Auction,,1
,,"Jan 2, 2026",$60.00,$3.99,,,Auction,,1
,,"Jan 28, 2026",$335.00,$5.62,,,Auction,,1
,,"Jan 29, 2026",$42.50,$0.00,,,Fixed price,,1
,,"Feb 8, 2026",$82.00,$5.07,,,Auction,,1
1944-S NGC MS65 Walking Liberty Half Dollar Rare Date,117044885297,"Mar 19, 2026",$275.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117044885297,1
1944-S Walking Liberty Half Dollar .50C IGC AU55,117059324823,"Mar 8, 2026",$33.00,$5.89,,,Auction,https://www.ebay.com/itm/117059324823,1
1944-S Walking Liberty Half Dollar PCGS MS-65 GRADE - Blazer!,117061801606,"Mar 7, 2026",$219.00,$5.00,,,Auction,https://www.ebay.com/itm/117061801606,1
"LIBERTY WALKING SILVER HALF DOLLARS, ALL 3 COINS, 1946 S, 1944 S, 1934 S",117068330774,"Mar 4, 2026",$75.00,$5.52,,,Fixed price,https://www.ebay.com/itm/117068330774,1
1944 S - USA 50 cent - silver American half dollar,117070060634,"Mar 4, 2026",$32.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117070060634,1
Liberty Walking Half Dollar Lot of 5 Silver Coins 1942-1944 S D Circulated,117080321538,"Mar 13, 2026",$152.50,$5.39,,,Auction,https://www.ebay.com/itm/117080321538,1
"4 Walking Liberty Half Dollar Coins LOT 90% Silver, 1941-D, 1942-S, 1943-S, 1944",117106830294,"Mar 31, 2026",$100.00,$5.00,,,Auction,https://www.ebay.com/itm/117106830294,1
1944-S Walking Liberty Half Dollar - 90% Silver - San Francisco Mint - WWII,117124689593,"Apr 5, 2026",$32.50,$0.00,,,Fixed price,https://www.ebay.com/itm/117124689593,1
"1944 S Walking Liberty Half Dollar 90% Silver ""As Pictured - Not Cleaned""",117128650328,"Apr 11, 2026",$32.50,$0.00,,,Fixed price,https://www.ebay.com/itm/117128650328,1
Toned 1944-S Walking Liberty Half Dollar ANACS MS64 Looks GEM,117137608911,"Apr 16, 2026",$105.50,$6.99,,,Auction,https://www.ebay.com/itm/117137608911,1
1944-S VERY WHITE WITH LUSTER PCGS MS63 SILVER LIBERTY WALKING HALF DOLLAR,117138421468,"Apr 12, 2026",$74.00,$5.50,,,Fixed price,https://www.ebay.com/itm/117138421468,1
Walking Liberty Half Dollar Lot 1917-S 1935 1944-P 90% Silver Circulated,117145236467,"Apr 18, 2026",$67.06,$6.00,,,Auction,https://www.ebay.com/itm/117145236467,1
1944 Walking Liberty & 1951-S Franklin Half Dollars – 90% Silver – US Coins,117170934998,"May 11, 2026",$52.88,$4.99,,,Auction,https://www.ebay.com/itm/117170934998,1
1944-S PCGS MS65 Walking Liberty Half Dollar Toned Tougher Date,117173035254,"May 9, 2026",$157.50,$8.60,,,Auction,https://www.ebay.com/itm/117173035254,1
"1944 S Walking Liberty Half Dollar 90% Silver VF ""As Pictured - Cleaned""",117185148866,"May 11, 2026",$40.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117185148866,1
,,"Dec 25, 2025",$22.95,$0.00,,,Fixed price,,1
,,"Dec 13, 2025",$42.00,$0.00,,,Fixed price,,1
,,"Dec 5, 2025",$45.00,$0.00,,,Fixed price,,1
1944-S Walking Liberty Half Dollar MS63 ICG,127406883861,"Jan 11, 2026",$94.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127406883861,1
1944-S Walking Liberty Half Dollar MSS64 PCGS,127435541288,"Apr 6, 2026",$105.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127435541288,1
,,"Nov 17, 2025",$18.95,$0.00,,,Auction,,1
,,"Nov 18, 2025",$51.93,$0.00,,,Auction,,1
,,"Dec 10, 2025",$17.50,$5.00,,,Auction,,1
,,"Jan 12, 2026",$27.45,$0.00,,,Fixed price,,1
,,"Dec 12, 2025",$51.02,$4.76,,,Auction,,1
,,"Dec 19, 2025",$89.95,$5.25,,,Fixed price,,1
,,"Jan 30, 2026",$123.95,$0.00,,,Fixed price,,1
,,"Dec 19, 2025",$20.00,$4.25,,,Auction,,1
,,"Dec 26, 2025",$23.00,$0.50,,,Auction,,1
,,"Jan 3, 2026",$99.00,$1.93,,,Auction,,1
,,"Dec 28, 2025",$152.50,$5.95,,,Auction,,1
,,"Jan 8, 2026",$20.52,$4.76,,,Auction,,1
,,"Jan 25, 2026",$217.63,$0.00,,,Auction,,1
,,"Jan 5, 2026",$79.95,$5.25,,,Fixed price,,1
,,"Jan 13, 2026",$69.00,$7.90,,,Auction,,1
