Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1944 S PCGS MS63 Walking Liberty Half Dollar,397883436473,"May 3, 2026",$89.00,$0.00,,,Auction,https://www.ebay.com/itm/397883436473,1
1944-S VERY WHITE WITH LUSTER PCGS MS63 SILVER LIBERTY WALKING HALF DOLLAR,117138421468,"Apr 12, 2026",$74.00,$5.50,,,Fixed price,https://www.ebay.com/itm/117138421468,1
1944-S Liberty Walking Half Dollar NGC MS63 San Francisco Silver,318065410029,"Mar 28, 2026",$65.00,$5.52,,,Fixed price,https://www.ebay.com/itm/318065410029,1
1944-S 50C Walking Liberty Half Dollar PCGS MS63 #7038,327036619544,"Mar 16, 2026",$74.99,$4.88,,,Auction,https://www.ebay.com/itm/327036619544,1
1944 *S* WALKING LIBERTY SILVER HALF DOLLAR **PCGS MS63 **FREE SHIPPING** G0785,156032327226,"Feb 27, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/156032327226,1
1944 S LIBERTY WALKING 90% SILVER HALF DOLLAR NGC MS 63 MS63 SAN FRANCISCO MINT,206065710422,"Feb 22, 2026",$80.00,$0.86,,,Auction,https://www.ebay.com/itm/206065710422,1
1944-S Walking Liberty Half Dollar PCGS MS63 Frosty White PQ New Holder #A261G,137019321759,"Feb 20, 2026",$99.99,$5.99,,,Fixed price,https://www.ebay.com/itm/137019321759,1
,,"Feb 12, 2026",$95.00,$0.00,,,Auction,,1
,,"Feb 12, 2026",$99.99,$5.99,,,Fixed price,,1
,,"Feb 5, 2026",$99.99,$5.99,,,Fixed price,,1
,,"Jan 29, 2026",$99.95,$0.00,,,Fixed price,,1
,,"Jan 27, 2026",$86.99,$5.39,,,Fixed price,,1
1944-S Walking Liberty Half Dollar ANACS MS63,365955395925,"Jan 24, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/365955395925,1
,,"Jan 20, 2026",$89.99,$0.00,,,Fixed price,,1
1944-S Walking Liberty Half Dollar MS63 ICG,127406883861,"Jan 11, 2026",$94.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127406883861,1
,,"Dec 26, 2025",$98.00,$0.00,,,Fixed price,,1
,,"Dec 1, 2025",$119.99,$2.99,,,Fixed price,,1
,,"Nov 29, 2025",$139.00,$0.00,,,Fixed price,,1
,,"Nov 23, 2025",$105.00,$3.95,,,Auction,,1
