Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1945-D Mercury Dime Fine – Denver Mint – 90% Silver,127695650286,"Apr 25, 2026",$6.99,$1.00,,,Fixed price,https://www.ebay.com/itm/127695650286,1
$1 face~Mercury Dimes~1940-s to 1945-d~All Dif~90% Silver~.79 tr~FreeShip~Lot 4!,168307466612,"Apr 25, 2026",$56.00,$0.00,,,Auction,https://www.ebay.com/itm/168307466612,1
1945 D Mercury Dime UNCIRCULATED,366358700543,"Apr 25, 2026",$34.00,$1.99,,,Auction,https://www.ebay.com/itm/366358700543,1
1945-D Mercury Dime 90% Silver 10 cent actual coin shown in the photos - NICE !,287286447137,"Apr 25, 2026",$6.95,$0.00,,,Fixed price,https://www.ebay.com/itm/287286447137,1
1945-D 10C Mercury Dime,366345252883,"Apr 25, 2026",$9.00,$2.00,,,Fixed price,https://www.ebay.com/itm/366345252883,1
1945-D Mercury Dime- Silver- Scarce Better Date No Reserve #J4353,397859353737,"Apr 24, 2026",$7.00,$0.00,,,Auction,https://www.ebay.com/itm/397859353737,1
1945 D Mercury Dime,168318950949,"Apr 24, 2026",$6.75,$1.25,,,Auction,https://www.ebay.com/itm/168318950949,1
1945-D Mercury Head Dime BU (Inv.) 213039,366351353135,"Apr 23, 2026",$12.95,$0.00,,,Fixed price,https://www.ebay.com/itm/366351353135,1
1945-D Mercury Silver Dime 10c NGC MS65 FB Full Bands,327089010786,"Apr 23, 2026",$49.50,$0.00,,,Fixed price,https://www.ebay.com/itm/327089010786,1
1945 P D S Lot Of Three Mercury Dime PCGS MS65 Collection,188286011890,"Apr 23, 2026",$122.50,$5.20,,,Auction,https://www.ebay.com/itm/188286011890,1
1945-D Mercury Dime - 90% Silver - Nice Coin,178053820481,"Apr 23, 2026",$7.50,$0.74,,,Auction,https://www.ebay.com/itm/178053820481,1
1945-D 10C FB Mercury Dime,168317177224,"Apr 23, 2026",$5.08,$0.00,,,Auction,https://www.ebay.com/itm/168317177224,1
"1945 P,D,S Mercury Dimes #5",406659639618,"Apr 23, 2026",$18.00,$0.00,,,Fixed price,https://www.ebay.com/itm/406659639618,1
"1945-D Mercury Dime 10c NGC Brilliant Uncirculated With ""Original Bag Fragment""",406862181684,"Apr 22, 2026",$34.95,$0.00,,,Fixed price,https://www.ebay.com/itm/406862181684,1
1945-D Mercury Dime NGC MS66 FB Full Bands Silver 10C Certified Gem BU,178063039126,"Apr 22, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178063039126,1
"Lot of 4 Liberty Dimes 1935 S, 1943 S, 1945 D, 1941 D",358450456246,"Apr 22, 2026",$30.00,$4.78,,,Auction,https://www.ebay.com/itm/358450456246,1
1945-D Mercury Dime- FSB- Choice Gem Brilliant Uncirculated++++ BW. 🦅,227307872952,"Apr 22, 2026",$10.00,$3.50,,,Auction,https://www.ebay.com/itm/227307872952,1
"1945-D 10C MERCURY SILVER DIME ""DENVER MINT"" NGC MS67 #8345184-125",287087978501,"Apr 21, 2026",$104.99,$0.00,,,Fixed price,https://www.ebay.com/itm/287087978501,1
"1945, 1945-D and 1945-S 10C Mercury Dimes 90% Silver",168299866420,"Apr 21, 2026",$16.50,$0.00,,,Auction,https://www.ebay.com/itm/168299866420,1
1945-P / D / S Mercury Dime Year Set (Circulated) Grade: ea. Fine,206210212827,"Apr 21, 2026",$15.50,$0.00,,,Auction,https://www.ebay.com/itm/206210212827,1
1945-D Mercury Silver Dime MS66 PCGS,188302325570,"Apr 21, 2026",$45.00,$4.50,,,Fixed price,https://www.ebay.com/itm/188302325570,1
1945-D Mercury Dime 10C PCGS MS66 FB,127810392806,"Apr 21, 2026",$96.00,$5.99,,,Auction,https://www.ebay.com/itm/127810392806,1
1945-D Mercury Dime 90% Silver US Mint Denver,406854964621,"Apr 20, 2026",$4.80,$1.50,,,Auction,https://www.ebay.com/itm/406854964621,1
"Collection of 7 Mercury Dimes 1919, 1942 (D), 1944 (D), 1945, - 90% Silver Coins",277891834942,"Apr 20, 2026",$29.99,$9.80,,,Auction,https://www.ebay.com/itm/277891834942,1
1945-D Mercury Dime- Silver- Scarce Better Date No Reserve #J4739,377117287495,"Apr 20, 2026",$5.99,$0.00,,,Auction,https://www.ebay.com/itm/377117287495,1
"1945 S, 1945 D MERCURY DIMES, CIRCULATED, UNGRADED",377111327937,"Apr 20, 2026",$10.05,$1.86,,,Auction,https://www.ebay.com/itm/377111327937,1
"1945-P, 1945-D & 1945-S Mercury Dimes, XF to AU, a (3) Three Coin Lot.",168187623847,"Apr 20, 2026",$29.99,$4.95,,,Fixed price,https://www.ebay.com/itm/168187623847,1
1944 1944-S and 1945-D Mercury Dime AU Lot of 3 Coins,137220549128,"Apr 20, 2026",$18.75,$0.00,,,Fixed price,https://www.ebay.com/itm/137220549128,1
Uncirculated 1945-D Denver Mint Silver Mercury Dime,366343812262,"Apr 19, 2026",$11.11,$0.25,,,Auction,https://www.ebay.com/itm/366343812262,1
1945-D Mercury Dime - Nice Uncirculated Coin,206207031705,"Apr 19, 2026",$10.10,$1.10,,,Auction,https://www.ebay.com/itm/206207031705,1
1916-1945 Mercury Dimes 90% Missing 1916-D.,366343645557,"Apr 19, 2026",$425.00,$5.40,,,Auction,https://www.ebay.com/itm/366343645557,1
1945-D MERCURY DIME ~ NICE BU COIN ~ FULL SPLIT BANDS,227301034333,"Apr 19, 2026",$15.95,$2.00,,,Auction,https://www.ebay.com/itm/227301034333,1
1945 D Mercury Dime 10C Silver PCGS MS65 Lot. H508,306869288839,"Apr 19, 2026",$43.50,$1.11,,,Auction,https://www.ebay.com/itm/306869288839,1
"Lot Of 3, 1920-P, 1945-P, 1944-D Mercury Dimes, 90% Silver",127806733829,"Apr 19, 2026",$8.50,$5.95,,,Auction,https://www.ebay.com/itm/127806733829,1
