Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1945-D WALKING LIBERTY HALF DOLLAR Bright Lustrous Full THUMB VCH BU #24D48,365698911861,"Apr 26, 2026",$62.00,$0.00,,,Fixed price,https://www.ebay.com/itm/365698911861,1
1945-D Walking Liberty Silver Half Dollar AU+ E366 VCL,136954566059,"Apr 26, 2026",$57.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136954566059,1
"Lot of 2 Walking Liberty Half Dollars 1945, 1945-D",327110862424,"Apr 25, 2026",$45.99,$5.50,,,Auction,https://www.ebay.com/itm/327110862424,1
1945-D WALKING LIBERTY HALF DOLLAR Bright White Lustrous Choice BU #4D53 SILVER,157423079348,"Apr 25, 2026",$55.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157423079348,1
"1939-D,1945 WALKING LIBERTY SILVER HALF DOLLARS, BELOW SILVER VALUE",227306581024,"Apr 25, 2026",$46.11,$5.50,,,Auction,https://www.ebay.com/itm/227306581024,1
"(6) 90% SILVER Walking Liberty Half Dollars Lot 1942, 1943, (3) 1944-D, 1945-D",257457517662,"Apr 25, 2026",$146.50,$5.00,,,Auction,https://www.ebay.com/itm/257457517662,1
1945-D WALKING LIBERTY HALF DOLLAR NGC MS66,396609558246,"Apr 24, 2026",$160.00,$0.00,,,Fixed price,https://www.ebay.com/itm/396609558246,1
1945-D WALKING LIBERTY HALF DOLLAR NGC MS66 GEM BU,327112956964,"Apr 24, 2026",$160.00,$5.00,,,Fixed price,https://www.ebay.com/itm/327112956964,1
Lot of 6 Walking Liberty Silver Half Dollars 1941-1945 D Denver Mint WWII Run,188301280759,"Apr 24, 2026",$159.51,$6.00,,,Fixed price,https://www.ebay.com/itm/188301280759,1
1945-D Walking Liberty Half Dollar In Very Fine Condition,147194614518,"Apr 24, 2026",$28.00,$4.88,,,Fixed price,https://www.ebay.com/itm/147194614518,1
1945-D 50C CACG MS66 - Walking Liberty Half Dollar,358470925767,"Apr 24, 2026",$215.00,$0.00,,,Fixed price,https://www.ebay.com/itm/358470925767,1
1941-S 1942 1943 1943-D 1945 Lot of 5 Walking Liberty Half Dollars Cleaned,227307053720,"Apr 23, 2026",$149.99,$5.99,,,Auction,https://www.ebay.com/itm/227307053720,1
Lot of 3 Silver Half Dollars 1945 d Walking Liberty & 2 Franklins 1951 S Nice!,198281159504,"Apr 23, 2026",$76.00,$0.00,,,Auction,https://www.ebay.com/itm/198281159504,1
1945-D 50C Walking Liberty Half Dollar PCGS MS64,377069523721,"Apr 22, 2026",$108.99,$0.00,,,Fixed price,https://www.ebay.com/itm/377069523721,1
Toned PCGS MS64+ CAC 1945-D Walking Liberty Half Dollar 50C Silver Cert 35676856,257458397891,"Apr 22, 2026",$260.00,$5.45,,,Auction,https://www.ebay.com/itm/257458397891,1
1945-D WALKING LIBERTY HALF DOLLAR CHOICE BU UNCIRCULATED MS UNC W96 DHT,137223501946,"Apr 21, 2026",$64.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137223501946,1
1945 D Walking Liberty Half Dollar 90% Silver,277905913837,"Apr 21, 2026",$17.50,$7.85,,,Auction,https://www.ebay.com/itm/277905913837,1
"Lot of Two 1941 Walking Liberty Half Dollar Coins, 90% Silver, 1942 and 1945-D",277881327845,"Apr 20, 2026",$59.00,$0.00,,,Auction,https://www.ebay.com/itm/277881327845,1
1945-D Walking Liberty Half Dollar Scarce PCGS Rattler MS64 OGH Green Holder G25,389675962613,"Apr 20, 2026",$114.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389675962613,1
1945 D Walking Liberty Half Dollar in VF Condition,318043508836,"Apr 20, 2026",$34.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318043508836,1
1945 D Walking Liberty Half Dollar 90% Silver,178044620795,"Apr 19, 2026",$21.50,$5.89,,,Auction,https://www.ebay.com/itm/178044620795,1
"1941, 1942-S, 1944-D & 1945 Walking Liberty Half Dollars Lot of 4 (317)",168308928881,"Apr 19, 2026",$87.93,$5.00,,,Auction,https://www.ebay.com/itm/168308928881,1
Lot Of 2 x Walking Liberty 90% Silver Half Dollar 50c Coins - 1945-P & 1945-D!,389882855426,"Apr 19, 2026",$62.55,$4.99,,,Auction,https://www.ebay.com/itm/389882855426,1
"1945-D Walking Liberty Half Dollar, PCGS MS-64",206200887108,"Apr 19, 2026",$82.00,$0.00,,,Auction,https://www.ebay.com/itm/206200887108,1
1945-D Walking Liberty 90% silver Half Dollar PCGS AU55 (57171),157830341807,"Apr 19, 2026",$57.50,$4.88,,,Fixed price,https://www.ebay.com/itm/157830341807,1
* 1945-D * SOLID+ GEM BU MS WALKING LIBERTY HALF-DOLLAR * FROM COLLECTION,168304211917,"Apr 19, 2026",$77.00,$0.47,,,Auction,https://www.ebay.com/itm/168304211917,1
Lot of 3 Walking Liberty Silver Half Dollars. 1944 P/D 1945 D 90% Silver.,377109216048,"Apr 19, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/377109216048,1
1945-D Walking Liberty Half Dollar USA Coin Silver Half Dollar,287085390099,"Apr 19, 2026",$40.00,$7.95,,,Fixed price,https://www.ebay.com/itm/287085390099,1
1945‑D & 1945‑S Walking Liberty Half Dollars • 2‑Coin Silver Lot • Circulated,277909143422,"Apr 19, 2026",$41.99,$4.47,,,Fixed price,https://www.ebay.com/itm/277909143422,1
"United States ½ Dollar 1945-D ""Walking Liberty Half Dollar"" Silver .900",168308516943,"Apr 19, 2026",$23.00,$7.90,,,Auction,https://www.ebay.com/itm/168308516943,1
1945-D 50C ANACS MS64 Walking Liberty Half Dollar - Old Soapbox Holder,227244753234,"Apr 19, 2026",$109.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227244753234,1
1945-D 50C PCGS MS64 CAC Rattler OGH Walking Liberty Silver Half Dollar,227282957985,"Apr 19, 2026",$189.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227282957985,1
