Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
$1 Face Value 1948-1963 FRANKLIN SILVER Half Dollar P D S Mint USA Coin 90% 🔥🔥,157630516214,"Jan 26, 2026",$75.67,$0.00,,,Fixed price,https://www.ebay.com/itm/157630516214
LOT of 2 - 1951 S FRANKLIN Silver Half Dollars - 90% Silver,227231639395,"Mar 4, 2026",$57.49,$4.38,,,Fixed price,https://www.ebay.com/itm/227231639395
"Franklin Half Dollar Complete BU Set 1948-1963 P, D, S, 12.65 ozs. silver",117024762338,"Feb 11, 2026","$1,300.00",$0.00,,,Fixed price,https://www.ebay.com/itm/117024762338
,,"Oct 29, 2025",$341.00,$0.00,,,Auction,
,,"Nov 9, 2025",$41.55,$0.00,,,Auction,
$10 Face 20x 1948-1959 P D S Benjamin Franklin HALF DOLLAR 50C 90% Silver Coins,127682842458,"Feb 18, 2026",$497.00,$0.00,,,Auction,https://www.ebay.com/itm/127682842458
Complete 1948-1963 Uncirculated Silver Franklin Half Dollar Set Key Date 1949-S,127770687573,"Apr 1, 2026","$1,034.00",$5.00,,,Auction,https://www.ebay.com/itm/127770687573
20 Franklin Half Dollars 1948 - 1955 COMPLETE RUN P-D-S See Description,136993471342,"Jan 31, 2026",$585.00,$20.00,,,Fixed price,https://www.ebay.com/itm/136993471342
,,"Nov 21, 2025",$256.00,$9.25,,,Auction,
,,"Dec 27, 2025",$795.00,$17.00,,,Fixed price,
$10 Face 20x 1948-1963 P D S Benjamin Franklin HALF DOLLAR 50C 90% Silver Coins,157630594335,"Jan 27, 2026",$705.00,$0.00,,,Auction,https://www.ebay.com/itm/157630594335
"1948-63 P,D,S Franklin Half Dollar Set *$17.50 Face Silver* ""Circ-CH BU""",157668553679,"Feb 15, 2026",$950.00,$12.37,,,Auction,https://www.ebay.com/itm/157668553679
,,"Oct 18, 2025",$38.89,$0.00,,,Auction,
,,"Oct 25, 2025",$43.00,$0.00,,,Auction,
,,"Nov 1, 2025",$35.57,$0.00,,,Auction,
,,"Dec 13, 2025",$45.00,$0.00,,,Auction,
,,"Dec 27, 2025",$63.00,$0.00,,,Auction,
"8 Franklin Half Dollars - 1948-D, 1949, 1949-S, 1955, 1959-D, 1963, 1963-D (2)",168083127399,"Jan 21, 2026",$244.35,$3.95,,,Auction,https://www.ebay.com/itm/168083127399
$1 face~Franklin Half Dollars~1948-d & 1951-s~90% Silver~.79 tr~FreeShip~Lot 25!,168101155249,"Jan 31, 2026",$71.00,$0.00,,,Auction,https://www.ebay.com/itm/168101155249
,,"Dec 28, 2025",$173.40,$0.00,,,Auction,
