Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1948 (P) Roosevelt Dime 10¢ - BU - Choice to Gem Uncirculated,146822765663,"Apr 14, 2026",$11.85,$0.00,,,Fixed price,https://www.ebay.com/itm/146822765663,44
1948-D Roosevelt Dime Choice to Gem Uncirculated,167743010657,"Apr 14, 2026",$10.99,$0.00,,,Fixed price,https://www.ebay.com/itm/167743010657,32
1948 S Roosevelt Dime 10¢ - BU - Choice to Gem Uncirculated,136444493323,"Apr 4, 2026",$13.56,$0.00,,,Fixed price,https://www.ebay.com/itm/136444493323,28
1948 S Roosevelt Dime CH BU LUSTER! 90% Silver From OBW Rolls,332598047765,"Apr 14, 2026",$12.55,$0.00,,,Fixed price,https://www.ebay.com/itm/332598047765,30
,,"Dec 19, 2025",$6.75,$1.03,,,Fixed price,,18
1948 D Roosevelt Dime CHOICE BU LUSTER! 90% Silver From OBW Rolls,332461044630,"Apr 14, 2026",$12.46,$0.00,,,Fixed price,https://www.ebay.com/itm/332461044630,15
1948 Roosevelt Dime S - BU - SILVER,375017419459,"Apr 11, 2026",$9.69,$0.91,,,Fixed price,https://www.ebay.com/itm/375017419459,16
1948 D Roosevelt Dime 10¢ - BU - Choice to Gem Uncirculated,146977092374,"Jan 19, 2026",$9.49,$0.00,,,Fixed price,https://www.ebay.com/itm/146977092374,12
1948 P Roosevelt Dime CHOICE BU LUSTER! 90% Silver From OBW Rolls,335147599469,"Apr 10, 2026",$12.68,$0.00,,,Fixed price,https://www.ebay.com/itm/335147599469,13
1948 D Roosevelt Dime Gem Bu Uncirculated 90% Silver,266402690306,"Mar 26, 2026",$14.30,$0.00,,,Fixed price,https://www.ebay.com/itm/266402690306,9
1948 S Roosevelt Dime Circulated Silver 10c Coin Collectible,365409306510,"Mar 31, 2026",$7.99,$0.00,,,Fixed price,https://www.ebay.com/itm/365409306510,14
,,"Nov 18, 2025",$8.99,$0.00,,,Fixed price,,10
1948-S Silver Roosevelt Dime BU Uncirculated,287089959274,"Mar 5, 2026",$10.50,$0.74,,,Fixed price,https://www.ebay.com/itm/287089959274,6
1948-P-D-S Roosevelt silver dime year set of 3 coins,326148233293,"Jan 15, 2026",$16.28,$0.99,,,Fixed price,https://www.ebay.com/itm/326148233293,6
,,"Jan 3, 2026",$6.32,$0.00,,,Fixed price,,9
1948 D Roosevelt Dime Circulated Silver 10c Coin Collectible,364619294318,"Dec 30, 2025",$8.74,$0.00,,,Fixed price,https://www.ebay.com/itm/364619294318,22
,,"Dec 2, 2025",$3.94,$1.98,,,Fixed price,,4
1948 P Roosevelt Dime 90% Silver BU Uncirculated,137132499613,"Mar 31, 2026",$7.95,$2.14,,,Fixed price,https://www.ebay.com/itm/137132499613,5
1948 Roosevelt Dime ~ **FREE SHIPPING**,227278715700,"Apr 11, 2026",$7.62,$0.00,,,Fixed price,https://www.ebay.com/itm/227278715700,3
"1948-D High Grade Silver Roosevelt Dime, 1 dime from those pictured",294477191138,"Jan 20, 2026",$6.13,$2.35,,,Fixed price,https://www.ebay.com/itm/294477191138,3
"1948-S Silver Roosevelt Dime, 1 dime from those pictured",294537051102,"Jan 26, 2026",$5.68,$1.97,,,Fixed price,https://www.ebay.com/itm/294537051102,3
1948-D Roosevelt Dime Boston Collection MS66 FB PCGS Blue Label,365896119248,"Jan 11, 2026",$48.30,$0.00,,,Fixed price,https://www.ebay.com/itm/365896119248,3
,,"Oct 28, 2025",$7.63,$0.00,,,Fixed price,,3
1948-S Roosevelt Dime Boston Collection MS66 FB PCGS,135788768733,"Dec 31, 2025",$50.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135788768733,2
1948-S Roosevelt Dime MS67 PCGS Blue Label,136533779972,"Feb 23, 2026",$44.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136533779972,2
1948 Roosevelt Dime 90% Silver (VF) See Pics,147100937948,"Mar 23, 2026",$7.00,$1.03,,,Fixed price,https://www.ebay.com/itm/147100937948,2
1948 D Roosevelt Dime 90% Silver Gem BU US Coin,205648576930,"Apr 4, 2026",$24.09,$0.00,,,Fixed price,https://www.ebay.com/itm/205648576930,2
1948 P-D-S Roosevelt Dimes -- 3 Pack - Gem Uncirculated,225883383437,"Mar 11, 2026",$39.99,$0.00,,,Fixed price,https://www.ebay.com/itm/225883383437,2
1948-D Roosevelt Dime 10c PCGS MS 66 FB,256138017103,"Mar 29, 2026",$33.99,$1.34,,,Fixed price,https://www.ebay.com/itm/256138017103,2
1948 P Roosevelt Dime - Nice Find - Combined Shipping,257291186710,"Mar 19, 2026",$9.95,$0.89,,,Fixed price,https://www.ebay.com/itm/257291186710,2
1948-D Roosevelt Dime - BU - Stock Photo - #C4261 - FREE SHIPPING,267051714085,"Jan 29, 2026",$9.99,$0.00,,,Fixed price,https://www.ebay.com/itm/267051714085,6
ROLL (25) 1948 S ROOSEVELT DIMES “BLAZING WHITE GEMS” BU UNCIRCULATED 90% SILVER,267443405209,"Dec 22, 2025",$228.95,$0.00,,,Fixed price,https://www.ebay.com/itm/267443405209,2
1948-D Roosevelt Dimes - Circulated - 90% Silver (2 sold separately),267630791242,"Apr 11, 2026",$5.95,$0.74,,,Fixed price,https://www.ebay.com/itm/267630791242,2
1948 1948d & 1948s BU + Roosevelt SILVER Dime Coins NICE LUSTROUS 3 Coin LOT NR,287032148695,"Feb 16, 2026",$29.24,$5.79,,,Fixed price,https://www.ebay.com/itm/287032148695,2
1948-D Silver Roosevelt Dime BU Choice/Gem Uncirculated from original roll,306740234952,"Jan 31, 2026",$9.49,$0.00,,,Fixed price,https://www.ebay.com/itm/306740234952,2
,,"Dec 25, 2025",$5.00,$0.79,,,Fixed price,,2
,,"Nov 16, 2025",$5.45,$0.00,,,Fixed price,,3
,,"Nov 21, 2025",$29.22,$4.79,,,Fixed price,,2
,,"Dec 12, 2025",$18.50,$0.00,,,Fixed price,,1
,,"Nov 22, 2025",$18.00,$0.00,,,Fixed price,,1
,,"Jan 3, 2026",$5.99,$0.00,,,Fixed price,,1
,,"Nov 3, 2025",$8.50,$0.00,,,Auction,,1
,,"Nov 11, 2025",$7.50,$0.00,,,Auction,,1
,,"Nov 13, 2025",$12.49,$6.49,,,Auction,,1
,,"Nov 21, 2025",$7.99,$0.00,,,Auction,,1
1948 HIGH GRADE SILVER ROOSEVELT DIME,116891890821,"Jan 24, 2026",$9.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116891890821,1
,,"Nov 28, 2025",$179.50,$5.55,,,Auction,,1
,,"Dec 15, 2025",$5.99,$0.00,,,Fixed price,,1
,,"Dec 16, 2025",$46.02,$0.00,,,Auction,,1
,,"Dec 16, 2025",$21.00,$0.00,,,Auction,,1
