Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Choice Unc 1954 P+D+S Washington Quarter Gem BU Collection Lot Set,127039401339,"Apr 3, 2026",$48.43,$0.00,,,Fixed price,https://www.ebay.com/itm/127039401339,62
1954-D Washington Quarter BU Brilliant Uncirculated 90% Silver .1808 Troy oz,267167809012,"Apr 11, 2026",$14.98,$0.00,,,Fixed price,https://www.ebay.com/itm/267167809012,22
1954 D Washington Quarter ~ Gem BU ~ BRIGHT ~ 1 Coin. FREE SHIPPING,364274467008,"Jan 24, 2026",$15.35,$0.00,,,Fixed price,https://www.ebay.com/itm/364274467008,11
1954+1954-D+1954-S Washington Quarter Lot ~ Gem BU ~ 90% Silver ~ 3 Coin Set,303940208266,"Dec 25, 2025",$37.58,$3.98,,,Fixed price,https://www.ebay.com/itm/303940208266,5
1954-D Washington Quarter --- Choice Uncirculated,325439774413,"Jan 24, 2026",$17.99,$0.00,,,Fixed price,https://www.ebay.com/itm/325439774413,6
1954 D Washington Quarter BU Uncirculated Mint State 90% Silver 25c US Coin,364128836170,"Jan 3, 2026",$23.42,$0.00,,,Fixed price,https://www.ebay.com/itm/364128836170,5
1954-D Washington Quarter - Gem BU - 90% Silver,133914274109,"Dec 28, 2025",$15.15,$1.25,,,Fixed price,https://www.ebay.com/itm/133914274109,4
,,"Dec 14, 2025",$10.99,$0.99,,,Fixed price,,4
1954 D Washington Quarter MS* * BU From Original Roll **,166345632946,"Mar 17, 2026",$18.45,$0.00,,,Fixed price,https://www.ebay.com/itm/166345632946,4
1954 D Washington Quarter ~ GEM BU UNC Uncirculated MS ~ 90% Silver 25c US Coin,256636455671,"Jan 12, 2026",$19.95,$0.00,,,Fixed price,https://www.ebay.com/itm/256636455671,3
1954-D Washington Quarter --- Gem Uncirculated,325439775270,"Mar 26, 2026",$26.99,$0.00,,,Fixed price,https://www.ebay.com/itm/325439775270,3
1954 & 1954-D 1954-S Washington SILVER Quarter 3 Coin Set! Nice Group!,326071309217,"Jan 18, 2026",$45.87,$0.00,,,Fixed price,https://www.ebay.com/itm/326071309217,3
1954 D Washington Quarter Dollar Ch/Gem BU,383857629908,"Jan 18, 2026",$13.00,$2.52,,,Fixed price,https://www.ebay.com/itm/383857629908,16
1954-D Washington Quarter - 90% Silver Coin,389444264037,"Mar 30, 2026",$19.63,$1.03,,,Fixed price,https://www.ebay.com/itm/389444264037,3
😃1954 D Washington Denver Mint 25¢ Quarter 90% Silver BLAST WHITE BU,146631458182,"Jan 29, 2026",$26.49,$0.00,,,Fixed price,https://www.ebay.com/itm/146631458182,2
,,"Dec 25, 2025",$12.99,$3.13,,,Fixed price,,11
,,"Jan 1, 2026",$13.99,$0.97,,,Fixed price,,2
,,"Dec 29, 2025",$12.61,$1.00,,,Fixed price,,4
1954-D Washington Silver Quarter -- UNCIRULATED SILVER COIN!,187900232006,"Jan 23, 2026",$15.30,$1.50,,,Fixed price,https://www.ebay.com/itm/187900232006,8
1954-D Washington Quarter --- Almost Uncirculated +++,225269466148,"Jan 1, 2026",$14.99,$0.00,,,Fixed price,https://www.ebay.com/itm/225269466148,2
Lot of 4 - Two 1950 P + Two 1954 D WASHINGTON Quarters - 90% Silver,227247041679,"Mar 9, 2026",$58.75,$0.00,,,Fixed price,https://www.ebay.com/itm/227247041679,2
1954 D Washington Quarter From OBW Roll Estate CHOICE-GEM Bu Unc. 90% Silver,267132442686,"Jan 21, 2026",$35.58,$0.00,,,Fixed price,https://www.ebay.com/itm/267132442686,2
,,"Dec 25, 2025",$38.70,$6.18,,,Fixed price,,5
,,"Dec 26, 2025",$11.99,$0.00,,,Fixed price,,2
