Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Choice Unc 1954 P+D+S Washington Quarter Gem BU Collection Lot Set,127039401339,"Apr 3, 2026",$48.43,$0.00,,,Fixed price,https://www.ebay.com/itm/127039401339,62
1954 S Washington Quarter 25C CHOICE BU LUSTER! 90% Silver,336343720560,"Apr 14, 2026",$19.99,$0.00,,,Fixed price,https://www.ebay.com/itm/336343720560,34
1954 S Washington Quarter BU Uncirculated Mint State 90% Silver 25c US Coin,364128831080,"Dec 28, 2025",$17.80,$0.00,,,Fixed price,https://www.ebay.com/itm/364128831080,17
1954 S Washington Quarter ~ Gem BU ~ BRIGHT ~ 1 Coin. FREE SHIPPING,364891399011,"Jan 25, 2026",$16.53,$0.00,,,Fixed price,https://www.ebay.com/itm/364891399011,17
1954-S U.S. WASHINGTON QUARTER GEM BU,317633202283,"Apr 8, 2026",$17.96,$1.19,,,Fixed price,https://www.ebay.com/itm/317633202283,7
1954-S Washington Quarter - Gem BU - 90% Silver,133914274263,"Dec 31, 2025",$15.63,$1.25,,,Fixed price,https://www.ebay.com/itm/133914274263,10
1954-S Washington Quarter --- Very Choice Uncirculated,225269472411,"Jan 28, 2026",$19.99,$0.00,,,Fixed price,https://www.ebay.com/itm/225269472411,6
1954 S Washington Quarter BU Uncirculated Mint State 90% Silver 25c US Coin,257057017397,"Jan 4, 2026",$14.30,$0.74,,,Fixed price,https://www.ebay.com/itm/257057017397,5
1954-S Washington Quarter - BU - Stock Photo - #8883D - FREE SHIPPING,257283566023,"Jan 16, 2026",$16.99,$0.00,,,Fixed price,https://www.ebay.com/itm/257283566023,12
1954+1954-D+1954-S Washington Quarter Lot ~ Gem BU ~ 90% Silver ~ 3 Coin Set,303940208266,"Dec 25, 2025",$37.58,$3.98,,,Fixed price,https://www.ebay.com/itm/303940208266,5
