Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1957-D Roosevelt Dime 90% Silver Free Shipping,127768745076,"Apr 14, 2026",$8.25,$0.00,,,Fixed price,https://www.ebay.com/itm/127768745076,1
"Roosevelt Dimes (Lot Of Three) : 1957 P, 1957 D, 1959 P.",257450323654,"Apr 14, 2026",$16.50,$1.89,,,Auction,https://www.ebay.com/itm/257450323654,1
1957-D Roosevelt Dime - PCGS MS66FB,147246815461,"Apr 14, 2026",$19.95,$8.30,,,Auction,https://www.ebay.com/itm/147246815461,1
1957 P&D Roosevelt Dimes CH BU US Coin From OBW Rolls 90% Silver,332637033885,"Apr 14, 2026",$14.60,$0.00,,,Fixed price,https://www.ebay.com/itm/332637033885,31
1957-D Roosevelt Dime - Circulated Condition - 90% Silver - US Coin - 2985,318081198331,"Apr 13, 2026",$5.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318081198331,1
"1956 D, 1957 D, 1958 D, 1959 D Roosevelt 90% Silver Dimes Lot Of 4",377090866317,"Apr 12, 2026",$17.99,$5.62,,,Auction,https://www.ebay.com/itm/377090866317,1
1957 D Roosevelt Dime CH BU 90% Silver From OBW Roll,332464100866,"Apr 12, 2026",$9.05,$0.00,,,Fixed price,https://www.ebay.com/itm/332464100866,28
Silver Dime - Roosevelt - 1957-D [Set break],318129291120,"Apr 11, 2026",$6.25,$1.25,,,Fixed price,https://www.ebay.com/itm/318129291120,1
Uncirculated 1957-D Denver Mint Silver Roosevelt Dime,358412034266,"Apr 11, 2026",$8.50,$0.25,,,Auction,https://www.ebay.com/itm/358412034266,1
1957-D Roosevelt Dime 90% Silver US Mint Denver,336522111942,"Apr 11, 2026",$4.99,$0.74,,,Auction,https://www.ebay.com/itm/336522111942,1
1957-D Roosevelt Dime 90% Silver US Mint Denver,336522104798,"Apr 11, 2026",$4.99,$0.74,,,Auction,https://www.ebay.com/itm/336522104798,1
Lot of 10 90% Silver 🔥Roosevelt Dimes🔥 1946- 1957 P D $1 Face #44,147249912754,"Apr 11, 2026",$55.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147249912754,1
"Mercury & Roosevelt Dime Lot-1939 CAC XF45, 1947-D NGC M66 FT, 1957 D NGC MS65",227287396208,"Apr 10, 2026",$65.00,$3.99,,,Fixed price,https://www.ebay.com/itm/227287396208,1
"Lot of 4 Circulated Roosevelt Dimes 1957 P+D, 1958 D, and 1959 D #CC 107",298023518553,"Apr 10, 2026",$20.00,$4.85,,,Fixed price,https://www.ebay.com/itm/298023518553,1
"3 x Roosevelt Dimes (90% Silver) Sharp (1957 P, 1959 D, & 1961 P) Coins",298177897692,"Apr 9, 2026",$15.56,$5.80,,,Auction,https://www.ebay.com/itm/298177897692,1
1957-D Silver Roosevelt Dime 90% Silver Coin,227238009530,"Apr 9, 2026",$5.00,$0.74,,,Fixed price,https://www.ebay.com/itm/227238009530,1
"MS67 1957-D 10C Roosevelt Silver Dime, ANACS Soapbox- Rainbow Mint Set Toned",204904829092,"Apr 9, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/204904829092,1
"(Lot of 3) Roosevelt SILVER Dimes. 1957-D, 1959-D, 1964-D. (R007)",188237543970,"Apr 9, 2026",$14.08,$1.25,,,Auction,https://www.ebay.com/itm/188237543970,1
1957-D Roosevelt Silver Dime Coin,397817847291,"Apr 9, 2026",$5.99,$0.74,,,Fixed price,https://www.ebay.com/itm/397817847291,1
Lot of 2 - 1957 D Roosevelt Silver Dimes / 10 /Cents / .900 Silver coin,206021422310,"Apr 8, 2026",$11.99,$0.74,,,Fixed price,https://www.ebay.com/itm/206021422310,1
2 silver dimes: 1957-D 10C Roosevelt Dime and 63 dime,198247326387,"Apr 8, 2026",$6.75,$1.50,,,Auction,https://www.ebay.com/itm/198247326387,1
Set of 1957 P and D Roosevelt Silver Dimes BU Uncirculated,168254584219,"Apr 8, 2026",$12.75,$2.95,,,Fixed price,https://www.ebay.com/itm/168254584219,1
Uncirculated 1957-D Denver Mint Silver Roosevelt Dime,366318803515,"Apr 7, 2026",$12.00,$4.65,,,Auction,https://www.ebay.com/itm/366318803515,1
1957-D Roosevelt Dime- Silver- Choice Gem Brilliant Uncirculated Luster #J3342,377077741563,"Apr 7, 2026",$5.99,$1.43,,,Auction,https://www.ebay.com/itm/377077741563,1
1957-D Roosevelt Dime (Brilliant & Uncirculated),206178493491,"Apr 7, 2026",$9.00,$0.00,,,Auction,https://www.ebay.com/itm/206178493491,1
1957-D Roosevelt Dime - Circulated Condition - 90% Silver - US Coin - 2983,318081197086,"Apr 7, 2026",$5.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318081197086,1
1957-D Roosevelt Dime - Circulated Condition - 90% Silver - US Coin - 2986,318081199150,"Apr 7, 2026",$5.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318081199150,1
1957-D Roosevelt Dime - Circulated Condition - 90% Silver - US Coin - 2980,318081194522,"Apr 7, 2026",$5.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318081194522,1
1957-D 10C Roosevelt Dime NGC MS66 4665427-003,306415454914,"Apr 7, 2026",$20.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306415454914,1
1957-D Roosevelt Dime - PCGS MS66 FB - Superb Rainbow Toned Mint Set GEM!,127529459831,"Apr 7, 2026",$47.50,$5.95,,,Fixed price,https://www.ebay.com/itm/127529459831,1
Uncirculated 1957-D Denver Mint Silver Roosevelt Dime,358392853486,"Apr 6, 2026",$7.00,$0.40,,,Auction,https://www.ebay.com/itm/358392853486,1
1957-D 10C Roosevelt Silver Dime PCGS MS66 - Rainbow Toned,157807933334,"Apr 6, 2026",$41.86,$2.95,,,Fixed price,https://www.ebay.com/itm/157807933334,1
Uncirculated 1957-D Denver Mint Silver Roosevelt Dime,236722982812,"Apr 5, 2026",$6.34,$0.93,,,Auction,https://www.ebay.com/itm/236722982812,1
1957 & 1957 D Roosevelt Dime - NICE Mixed Condition - 119SU,389817948120,"Apr 5, 2026",$11.50,$2.99,,,Auction,https://www.ebay.com/itm/389817948120,1
Roosevelt Dime 2 Coin Lot - 1952 D & 1957 P,277838054379,"Apr 5, 2026",$12.50,$0.00,,,Auction,https://www.ebay.com/itm/277838054379,1
1957-D Roosevelt Dime - Circulated Condition - 90% Silver - US Coin - 2982,318081195896,"Apr 5, 2026",$5.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318081195896,1
1957-D Roosevelt Dime - Circulated Condition - 90% Silver - US Coin - 2984,318081197739,"Apr 5, 2026",$5.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318081197739,1
1956-D 1957-D 1958-D Silver Roosevelt Dimes Ch BU+SUPERB!! Run of 3!!BEAUTIFUL#4,358123858372,"Apr 5, 2026",$29.95,$0.00,,,Fixed price,https://www.ebay.com/itm/358123858372,1
Uncirculated 1957-D Denver Mint Silver Roosevelt Dime,366311923297,"Apr 4, 2026",$9.50,$0.25,,,Auction,https://www.ebay.com/itm/366311923297,1
1957-D Roosevelt Dime Pcgs MS/66 Awesome Toned Gem Old First Blue Label...,206190023587,"Apr 4, 2026",$50.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206190023587,1
1957 D Roosevelt Dime UNCIRCULATED,147231750422,"Apr 4, 2026",$6.25,$0.22,,,Auction,https://www.ebay.com/itm/147231750422,1
1957-D Roosevelt Dime - Circulated Condition - 90% Silver - US Coin - 2981,318081195159,"Apr 4, 2026",$5.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318081195159,1
Lot of 10 90% Silver 🔥Roosevelt Dimes🔥 1946- 1957 P D $1 Face #19,147218539889,"Apr 4, 2026",$57.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147218539889,1
Uncirculated 1957-D Denver Mint Silver Roosevelt Dime,236718720343,"Apr 3, 2026",$6.60,$0.43,,,Auction,https://www.ebay.com/itm/236718720343,1
SELLING AS SHOWN - 1957 D ROOSEVELT DIME *** 90% SILVER *** 467,178012903129,"Apr 3, 2026",$6.74,$0.00,,,Fixed price,https://www.ebay.com/itm/178012903129,1
1957 D Roosevelt Dime MS67 FT NGC Beautifully Toned Full Torch!,306847065777,"Apr 3, 2026",$99.99,$4.99,,,Auction,https://www.ebay.com/itm/306847065777,1
Uncirculated 1957-D Denver Mint Silver Roosevelt Dime,236716441642,"Apr 2, 2026",$8.50,$4.65,,,Auction,https://www.ebay.com/itm/236716441642,1
10 diff Roosevelt Dimes Silver Lot 1957-64-d,366307098357,"Apr 2, 2026",$42.11,$5.20,,,Auction,https://www.ebay.com/itm/366307098357,1
1957-D Roosevelt Dime - Circulated Condition - 90% Silver - US Coin - 2976,318081190348,"Apr 2, 2026",$5.99,$0.00,,,Fixed price,https://www.ebay.com/itm/318081190348,1
1957- “D” Dime ($.10) U.S.,188213494806,"Apr 2, 2026",$1.99,$5.52,,,Auction,https://www.ebay.com/itm/188213494806,1
