Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1958 Silver Proof Set US Mint OGP 90% Silver 5 Coins Set Franklin Half Dollar,287427879164,"Jul 2, 2026",$65.00,$5.56,,,Fixed price,https://www.ebay.com/itm/287427879164,2
1958 D Franklin Half Dollar Circulated Silver 50c Coin Collectible,364539218921,"Jul 1, 2026",$41.66,$0.00,,,Fixed price,https://www.ebay.com/itm/364539218921,3
1958 Franklin Half Dollar CHOICE GEM BRILLIANT PROOF ULTRA NICE 90% Silver,326622329340,"Jun 27, 2026",$54.43,$0.00,,,Fixed price,https://www.ebay.com/itm/326622329340,8
Choice Unc 1958-P Franklin Half Dollar Gem BU From Original Roll,125374507865,"Jun 19, 2026",$46.21,$0.00,,,Fixed price,https://www.ebay.com/itm/125374507865,4
1958-P Franklin Half Dollar - 90% Silver Coin,327220967623,"Jun 18, 2026",$25.00,$0.00,,,Fixed price,https://www.ebay.com/itm/327220967623,2
1958-D BU Uncirculated Franklin Silver Half Dollar HD18,188418900259,"Jun 11, 2026",$33.16,$5.00,,,Fixed price,https://www.ebay.com/itm/188418900259,3
1958 Franklin Half Dollar BU Uncirculated Mint State 90% Silver 50c US Coin,127902482245,"Jun 5, 2026",$28.80,$0.00,,,Fixed price,https://www.ebay.com/itm/127902482245,5
1958-D BU Franklin Half Dollars,406951339149,"May 30, 2026",$28.07,$7.02,,,Fixed price,https://www.ebay.com/itm/406951339149,17
GEM BU UNCIRCULATED UNC MS 1958 SILVER FRANKLIN HALF DOLLAR BRILLIANT LUSTER,225174309384,"May 27, 2026",$51.00,$0.00,,,Fixed price,https://www.ebay.com/itm/225174309384,7
1958 (P) Franklin Half Dollar - 50¢ - BU - Brilliant Uncirculated,135206174325,"May 23, 2026",$44.99,$0.00,,,Fixed price,https://www.ebay.com/itm/135206174325,8
1958-D FRANKLIN HALF DOLLAR RPM #1 VARIETY GEM BU 567,277700457563,"May 18, 2026",$38.12,$0.00,,,Fixed price,https://www.ebay.com/itm/277700457563,3
1958-D Franklin Half Dollar AU 90% Silver,135191938088,"May 11, 2026",$41.10,$0.00,,,Fixed price,https://www.ebay.com/itm/135191938088,2
1958D BEN FRANKLIN HALF DOLLAR COIN IN LITTLETON STAMP&COIN CO ENVELOPE,178089711543,"May 9, 2026",$32.99,$5.99,,,Auction,https://www.ebay.com/itm/178089711543,1
1958 Franklin Half Dollar 50C PCGS PR66,146326970398,"May 9, 2026",$47.34,$4.99,,,Fixed price,https://www.ebay.com/itm/146326970398,10
1958 Silver Proof Set US Mint OGP Envelope 90% Silver 5 Coins Franklin Half,145246106803,"May 9, 2026",$71.92,$0.00,,,Fixed price,https://www.ebay.com/itm/145246106803,11
1958 50C Franklin Half Dollar PF65 NGC Graded Wonderful Condition Cool Coloring,397915987766,"May 9, 2026",$49.00,$4.50,,,Fixed price,https://www.ebay.com/itm/397915987766,1
PCGS MS65 1958-D Benjamin Franklin Half Dollar 50C Silver Toner,318235749803,"May 8, 2026",$64.99,$6.58,,,Auction,https://www.ebay.com/itm/318235749803,1
1958 Franklin Silver Half Dollar PCGS PR65 OGH Rattler 50C Coin 111 Serial G140,389772862462,"May 8, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389772862462,1
1958 Franklin Silver Half Dollar PCGS PR65 OGH Rattler 50C Coin (G137),389772816537,"May 8, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/389772816537,1
1958 50c NGC PF67 FRANKLIN HALF PROOF SILVER PF 67,224743536649,"May 8, 2026",$58.00,$0.00,,,Fixed price,https://www.ebay.com/itm/224743536649,1
Franklin Silver Half Dollar 1960 D,147293992454,"May 8, 2026",$22.00,$4.00,,,Fixed price,https://www.ebay.com/itm/147293992454,1
"1958-D Franklin Half Dollar, Great Color",377156512705,"May 8, 2026",$63.00,$3.25,,,Auction,https://www.ebay.com/itm/377156512705,1
