Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1963-D FRANKLIN HALF DOLLAR EF/AU NICE 90% Constitutional Silver (Real Money),389964364665,"May 19, 2026",$23.93,$13.47,,,Fixed price,https://www.ebay.com/itm/389964364665,7
1963-D Franklin Silver Half Dollar 50c NGC MS64 - Original Bag Fragment,327130329425,"May 16, 2026",$47.50,$0.00,,,Fixed price,https://www.ebay.com/itm/327130329425,3
1963-D Franklin Half Dollar NGC MS-62 “ Buy Now,297652152129,"Apr 28, 2026",$36.99,$6.00,,,Fixed price,https://www.ebay.com/itm/297652152129,2
1963 P & D Franklin Half Dollar ■ Gem BU ■ Collection Lot Set ■ #3890 ■ FBL,366085800351,"Apr 26, 2026",$91.98,$6.02,,,Fixed price,https://www.ebay.com/itm/366085800351,3
1963P&D- Benjamin Franklin Half Dollars Brilliant Uncirculated +,177996541175,"Apr 25, 2026",$41.00,$6.04,,,Fixed price,https://www.ebay.com/itm/177996541175,6
Choice Unc 1963-D Franklin Half Dollar Gem BU From Original Roll,365459025459,"Apr 18, 2026",$25.67,$0.00,,,Fixed price,https://www.ebay.com/itm/365459025459,175
1963 P D Franklin Half Dollar 90% Silver BU 2 Coin Year Set,204394581299,"Apr 13, 2026",$78.60,$3.95,,,Fixed price,https://www.ebay.com/itm/204394581299,4
1963 P D Franklin Half Dollar Year Set Proof & BU 90% Silver US 3 Coin Lot,134007822673,"Apr 5, 2026",$121.74,$3.95,,,Fixed price,https://www.ebay.com/itm/134007822673,9
"1963-D Franklin Half dollar, 90% silver Really in great shape",168249556756,"Apr 5, 2026",$32.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168249556756,7
1963 D Franklin Half Dollar 90% Silver BU,134014677869,"Apr 5, 2026",$37.24,$3.95,,,Fixed price,https://www.ebay.com/itm/134014677869,3
Lot of 2 one of each 1963 P&D FRANKLIN HALF DOLLAR IN MINT CELLO,198160958452,"Mar 24, 2026",$52.00,$3.00,,,Fixed price,https://www.ebay.com/itm/198160958452,2
1963 D Franklin Half Dollar 90% Silver 50c US Coin (s),397740323744,"Mar 21, 2026",$20.55,$6.32,,,Fixed price,https://www.ebay.com/itm/397740323744,16
Roll of (20) 1963-D Franklin Half Dollars | UNCIRCULATED,277015076679,"Mar 19, 2026",$686.65,$6.45,,,Fixed price,https://www.ebay.com/itm/277015076679,3
"1963-D Benjamin Franklin Half Dollar, 90% Silver, BU, By REEDERSONG",335743088622,"Mar 2, 2026",$39.98,$0.00,,,Fixed price,https://www.ebay.com/itm/335743088622,19
GEM BU UNCIRCULATED UNC MS 1963-D SILVER FRANKLIN HALF DOLLAR BRILLIANT LUSTER,325353305100,"Feb 27, 2026",$56.28,$0.00,,,Fixed price,https://www.ebay.com/itm/325353305100,2
1963-D 50C Franklin Half Dollar,397579493216,"Feb 25, 2026",$30.00,$5.28,,,Fixed price,https://www.ebay.com/itm/397579493216,2
1963-D Franklin Half Dollar,397610124743,"Feb 14, 2026",$20.32,$7.75,,,Fixed price,https://www.ebay.com/itm/397610124743,11
,,"Feb 14, 2026",$20.32,$7.75,,,Fixed price,,11
,,"Feb 7, 2026",$37.47,$0.00,,,Fixed price,,15
,,"Jan 31, 2026",$32.33,$6.32,,,Fixed price,,34
,,"Jan 31, 2026",$26.38,$10.00,,,Fixed price,,15
,,"Jan 31, 2026",$33.29,$6.32,,,Fixed price,,30
,,"Jan 29, 2026",$40.50,$0.00,,,Fixed price,,2
,,"Jan 28, 2026",$38.09,$0.00,,,Fixed price,,1
,,"Jan 26, 2026",$75.67,$0.00,,,Fixed price,,4
,,"Jan 17, 2026",$29.99,$3.25,,,Fixed price,,4
,,"Jan 17, 2026",$28.63,$2.32,,,Fixed price,,3
1963-D Franklin Silver Half Dollar MS64 PCGS,384408560923,"Jan 16, 2026",$37.80,$0.00,,,Fixed price,https://www.ebay.com/itm/384408560923,8
1963-D Franklin Half Dollar MS64 FBL ICG,127406876637,"Jan 11, 2026",$34.88,$0.00,,,Fixed price,https://www.ebay.com/itm/127406876637,4
