Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1964 D Kennedy Half Dollar 90% Silver BU,203697565578,"Jun 24, 2026",$53.60,$3.95,,,Fixed price,https://www.ebay.com/itm/203697565578,8
1964-D Kennedy Silver Half Dollar GEM BU FREE SHIPPING!,223472594644,"Jun 20, 2026",$50.49,$0.00,,,Fixed price,https://www.ebay.com/itm/223472594644,24
1964 d 50C Kennedy Half Dollar 90% Silver,206340619621,"Jun 17, 2026",$30.00,$5.97,,,Fixed price,https://www.ebay.com/itm/206340619621,4
1964 D Kennedy Half Dollar 50C 90% SILVER Gem BU LOWER Mintage Fast Ship 🚢,236603733085,"Jun 15, 2026",$41.75,$2.95,,,Fixed price,https://www.ebay.com/itm/236603733085,23
1964-D MS65 Kennedy Half Dollar NGC Special Signature Lbl,365427019098,"Jun 14, 2026",$55.27,$0.00,,,Fixed price,https://www.ebay.com/itm/365427019098,14
1964 D JFK Kennedy (90% Silver) Half Dollar Brilliant Uncirculated (BU),157933538988,"Jun 13, 2026",$29.95,$5.97,,,Fixed price,https://www.ebay.com/itm/157933538988,6
1964-D Kennedy Half Dollar US Mint Original Cello 90% Silver Uncirculated Coin,147290136954,"Jun 13, 2026",$41.74,$0.00,,,Fixed price,https://www.ebay.com/itm/147290136954,4
1964-D Silver Kennedy Half Dollar MS66 PCGS Blue Label,135155105029,"Jun 13, 2026",$132.32,$0.00,,,Fixed price,https://www.ebay.com/itm/135155105029,3
1964-D Silver Kennedy Half Dollar MS65 PCGS Blue Label,365020447632,"Jun 2, 2026",$56.74,$0.00,,,Fixed price,https://www.ebay.com/itm/365020447632,17
BULK LOT (5 PC.) 1964-D Kennedy Silver Half Dollar GEM BU UNCIRCULATED! RARE LOT,226875996842,"Jun 2, 2026",$263.13,$0.00,,,Fixed price,https://www.ebay.com/itm/226875996842,7
90% Silver 1964 D JFK Kennedy Half Dollar Brilliant Uncirculated (BU),206268201425,"May 28, 2026",$29.99,$4.87,,,Fixed price,https://www.ebay.com/itm/206268201425,7
1964 D Kennedy Half Dollar Uncirculated Silver 50c Coin,366322517294,"May 21, 2026",$46.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366322517294,5
1964 d 50C Kennedy Half Dollar,206271007598,"May 21, 2026",$28.00,$5.79,,,Fixed price,https://www.ebay.com/itm/206271007598,6
Kennedy Halves: 1964 and 1964-D -90% Silver Half Dollar- (50B-100),314602973113,"May 19, 2026",$60.55,$6.82,,,Fixed price,https://www.ebay.com/itm/314602973113,11
Dansco Coin Album #7166 Kennedy Half Dollars Starting 1964 No Proofs (P&D Mints),364631511234,"May 17, 2026",$46.21,$0.00,,,Fixed price,https://www.ebay.com/itm/364631511234,4
1964 D NGC MS66 Silver Kennedy First Year of Issue JFK Coin 50C Half Dollar,372643697690,"May 10, 2026",$139.60,$0.00,,,Fixed price,https://www.ebay.com/itm/372643697690,16
20 pc Kennedy Half Dollar 90% Silver $10 face lot D ships FREE,137226231520,"Apr 15, 2026",$485.00,$0.00,,,Auction,https://www.ebay.com/itm/137226231520,1
2X 1964-D Kennedy 50C DOUBLED DIES DDO-003 FS-103 & RPM-006 & QDO-005 FS-105 BU,147260441584,"Apr 15, 2026",$55.00,$5.45,,,Fixed price,https://www.ebay.com/itm/147260441584,1
"1964-D Kennedy Half Quadrupled Die CONECA FS-105 QDO-005 ,“Best Of” Variety, MS+",147257893382,"Apr 15, 2026",$60.00,$5.45,,,Fixed price,https://www.ebay.com/itm/147257893382,1
$10 Face Value Roll of 20 1964-D Kennedy 90% Silver Half Dollars 02 NICE!,306857165996,"Apr 15, 2026",$511.00,$12.65,,,Auction,https://www.ebay.com/itm/306857165996,1
(2) 1964 D Kennedy Half Dollars * 90% Silver Lot of Two * Beautiful Coins,397835844535,"Apr 14, 2026",$59.95,$0.00,,,Fixed price,https://www.ebay.com/itm/397835844535,1
90% Silver 1964 D JFK Kennedy Half Dollar Brilliant Uncirculated (BU),306875658182,"Apr 14, 2026",$114.50,$5.00,,,Auction,https://www.ebay.com/itm/306875658182,1
90% Silver 1964 D JFK Kennedy Half Dollar Brilliant Uncirculated (BU),366345028779,"Apr 14, 2026",$39.00,$5.00,,,Fixed price,https://www.ebay.com/itm/366345028779,1
90% Silver 1964 D JFK Kennedy Half Dollar Brilliant Uncirculated (BU),397060627913,"Apr 14, 2026",$53.67,$0.00,,,Fixed price,https://www.ebay.com/itm/397060627913,39
1964 D Kennedy Silver Half Dollar AU,178049224005,"Apr 14, 2026",$22.00,$5.30,,,Fixed price,https://www.ebay.com/itm/178049224005,1
1964-D Kennedy Half Dollar AU-55 Details Not Junk US Bullion-90% Silver Art Coin,236611593105,"Apr 14, 2026",$49.99,$5.80,,,Fixed price,https://www.ebay.com/itm/236611593105,1
1964 D Kennedy Silver Half Dollar 90%,336523406888,"Apr 14, 2026",$22.50,$5.20,,,Auction,https://www.ebay.com/itm/336523406888,1
1964-D 90% Silver Kennedy Half Dollar MS62 Anacs (7421700) Machine Doubling,403998821248,"Apr 14, 2026",$30.00,$5.29,,,Fixed price,https://www.ebay.com/itm/403998821248,1
