Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Kennedy Half Dollar 40 % Silver 1965 1966 1967 1968 1969 50c Coin 1 Coin Lot,376409263880,"May 8, 2026",$10.59,$3.70,,,Fixed price,https://www.ebay.com/itm/376409263880,"1,152"
1966 SMS Kennedy Half Dollar certified MS 67 by NGC!,265876123755,"Apr 6, 2026",$27.04,$5.32,,,Fixed price,https://www.ebay.com/itm/265876123755,132
1965 1966 1967 SMS 40% Silver Kennedy Half Dollar Choice Run 3 Special Mint Set,401480798714,"May 7, 2026",$45.60,$4.91,,,Fixed price,https://www.ebay.com/itm/401480798714,38
1966 SMS Silver Kennedy Half Dollar NGC MS67 Special Mint Set Gem 50c Portrait,355898809509,"Feb 2, 2026",$29.87,$0.00,,,Fixed price,https://www.ebay.com/itm/355898809509,44
1966 SMS Kennedy Half Dollar Gem BU Special Mint Set 40% Silver,143302431957,"Apr 23, 2026",$19.92,$3.95,,,Fixed price,https://www.ebay.com/itm/143302431957,25
,,"Feb 8, 2026",$12.98,$2.66,,,Fixed price,,59
1966 Kennedy 40% Silver Half Dollar GEM BU,326062419082,"May 5, 2026",$17.46,$0.00,,,Fixed price,https://www.ebay.com/itm/326062419082,27
1966 Kennedy 40% Silver Half Dollar GEM BU FREE SHIPPING!,323774409410,"May 10, 2026",$18.00,$0.00,,,Fixed price,https://www.ebay.com/itm/323774409410,27
1966 US Special Mint Set SMS 5 Coins with 40% Silver Kennedy Half Dollar and Box,377044627877,"Mar 26, 2026",$17.60,$0.00,,,Fixed price,https://www.ebay.com/itm/377044627877,30
,,"Jan 22, 2026",$11.78,$0.76,,,Fixed price,,19
,,"Jan 14, 2026",$10.83,$5.49,,,Fixed price,,144
"MINT STATE, 40% SILVER, 1966 (P) KENNEDY HALF DOLLARS",326892568827,"Jan 21, 2026",$16.86,$2.06,,,Fixed price,https://www.ebay.com/itm/326892568827,14
1966 Philadelphia Brilliant Uncirculated Silver Strike JFK Half Dollar Coin!,362603690085,"Jan 29, 2026",$14.98,$1.40,,,Fixed price,https://www.ebay.com/itm/362603690085,18
1966 Kennedy Silver Half Dollar Gem BU! SMS,383860223547,"Mar 19, 2026",$16.08,$1.51,,,Fixed price,https://www.ebay.com/itm/383860223547,13
1966 Kennedy 40% Silver Half Dollar BU,186333181948,"Jan 26, 2026",$10.56,$2.55,,,Fixed price,https://www.ebay.com/itm/186333181948,14
1966 KENNEDY HALF 40 % SILVER SMS UNCIRCULATED L@@K,313371663464,"Jan 2, 2026",$10.24,$0.00,,,Fixed price,https://www.ebay.com/itm/313371663464,14
1966 US Special Mint Set SMS 5 Coins with 40% Silver Kennedy Half Dollar and Box,333359299067,"Mar 21, 2026",$26.26,$5.62,,,Fixed price,https://www.ebay.com/itm/333359299067,11
1966 P Kennedy Half Dollar 40% SILVER *AU - ABOUT UNCIRCULATED* *FREE SHIPPING*,157742950645,"Apr 17, 2026",$15.26,$0.00,,,Fixed price,https://www.ebay.com/itm/157742950645,11
1966 Silver Kennedy Half Dollar BU MS++++ Amazing Smooth Original Roll 40%,267521363750,"May 11, 2026",$14.88,$0.86,,,Fixed price,https://www.ebay.com/itm/267521363750,14
,,"Feb 4, 2026",$18.00,$0.00,,,Fixed price,,14
,,"Jan 19, 2026",$20.45,$0.00,,,Fixed price,,12
1966 P Kennedy Half Dollar 40% SILVER *AU - ABOUT UNCIRCULATED* *FREE SHIPPING*,168169683461,"Feb 28, 2026",$13.98,$0.00,,,Fixed price,https://www.ebay.com/itm/168169683461,8
1966 US Special Mint Set SMS 5 Coins with 40% Silver Kennedy Half Dollar and Box,227312509309,"Apr 29, 2026",$24.99,$0.00,,,Fixed price,https://www.ebay.com/itm/227312509309,9
1964 1965 1966 1967 1968 S 1969 S Kennedy Proof Half Dollar 6 Coin Set Silver US,273530753681,"Apr 12, 2026",$119.95,$4.95,,,Fixed price,https://www.ebay.com/itm/273530753681,8
1966 GEM KENNEDY HALF DOLLAR BU IN CAPSULE 40% SILVER,287167468823,"Mar 23, 2026",$13.40,$2.08,,,Fixed price,https://www.ebay.com/itm/287167468823,9
Lot of 5 1966 US Special Mint Set SMS Coins 40% Silver Kennedy Half Dollars,297891414510,"Feb 28, 2026",$78.78,$4.95,,,Fixed price,https://www.ebay.com/itm/297891414510,14
1965 1966 1967 SMS Mint BU 40% Silver Kennedy Half Dollar 3 Coin Set,157810240021,"Apr 29, 2026",$38.52,$5.95,,,Fixed price,https://www.ebay.com/itm/157810240021,7
,,"Jan 15, 2026",$12.54,$0.00,,,Fixed price,,59
1966 SMS 40% SILVER KENNEDY HALF DOLLAR,205580801569,"Nov 28, 2025",$9.41,$0.00,,,Fixed price,https://www.ebay.com/itm/205580801569,7
,,"Dec 29, 2025",$18.16,$4.70,,,Fixed price,,12
1966 GEM KENNEDY HALF DOLLAR BU IN CAPSULE 40% SILVER,287148746723,"Feb 26, 2026",$13.31,$2.17,,,Fixed price,https://www.ebay.com/itm/287148746723,9
1966 Kennedy Half Dollar 40% Silver BU/AU Nice Eye Appeal US Coin,287292693065,"May 5, 2026",$12.89,$0.99,,,Fixed price,https://www.ebay.com/itm/287292693065,10
,,"Feb 1, 2026",$9.95,$5.00,,,Fixed price,,66
1966 SMS Kennedy Half Dollar Uncirculated Silver Clad 50c Coin,366322517367,"May 10, 2026",$18.68,$0.00,,,Fixed price,https://www.ebay.com/itm/366322517367,13
,,"Jan 26, 2026",$14.66,$0.00,,,Fixed price,,6
,,"Jan 15, 2026",$11.76,$1.65,,,Fixed price,,10
1966 US Special Mint Set SMS 5 Coins with 40% Silver Kennedy Half Dollar and OGP,177777106430,"Mar 13, 2026",$24.86,$5.73,,,Fixed price,https://www.ebay.com/itm/177777106430,7
1966 & 1967 US Special Mint Sets (SMS) with 40% Silver Kennedy Half Dollars,206218002402,"May 10, 2026",$39.76,$0.00,,,Fixed price,https://www.ebay.com/itm/206218002402,6
,,"Dec 8, 2025",$15.99,$0.00,,,Fixed price,,13
1966 BU Kennedy Half Dollar 40% Silver Brilliant Uncirculated,286924113450,"Nov 22, 2025",$10.00,$0.00,,,Fixed price,https://www.ebay.com/itm/286924113450,8
,,"Dec 6, 2025",$28.55,$4.50,,,Fixed price,,6
1966 SMS 50C Kennedy Half Dollar,335427173699,"May 8, 2026",$15.56,$1.31,,,Fixed price,https://www.ebay.com/itm/335427173699,7
Kennedy Half Dollar 40% Silver 1965 1966 1967 1968 1969 50c 1 Coin Lot,178001383877,"Apr 7, 2026",$13.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178001383877,10
1966 Kennedy half dollar Gem 40% Silver SMS,186817793654,"Apr 29, 2026",$18.20,$0.00,,,Fixed price,https://www.ebay.com/itm/186817793654,5
1966 KENNEDY Half Dollar 40% SILVER SMS UNCIRCULATED JFK 50c US Coin,287086682937,"Mar 3, 2026",$20.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287086682937,5
,,"Dec 22, 2025",$44.07,$6.99,,,Fixed price,,7
Tube of 1966 (20) Kennedy Half Dollars BU Uncirculated 40% Silver No mint mark,318079429710,"Apr 9, 2026",$216.33,$9.60,,,Fixed price,https://www.ebay.com/itm/318079429710,6
1966 + 1967 SMS 50c Kennedy Half Dollar NGC MS 67 Two Coin Lot Light Cameo,335709122245,"Feb 17, 2026",$77.40,$0.00,,,Fixed price,https://www.ebay.com/itm/335709122245,5
,,"Dec 26, 2025",$10.75,$0.00,,,Fixed price,,5
,,"Jan 26, 2026",$12.66,$2.18,,,Fixed price,,9
