Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1964-1970 S Kennedy Half Dollar Silver Gem Proof Run 7 Coin Set,204008668826,"Jun 28, 2026",$175.21,$4.95,,,Fixed price,https://www.ebay.com/itm/204008668826,8
1968 1969 1970 S Kennedy Proof Half Dollar Run 3 Coin Set 40% Silver US,142295346349,"Jun 28, 2026",$46.81,$3.95,,,Fixed price,https://www.ebay.com/itm/142295346349,6
1970 D S Kennedy Half Dollar Year Set 40% Silver Proof & BU US 2 Coin Lot,206187637276,"Jun 28, 2026",$49.50,$3.95,,,Fixed price,https://www.ebay.com/itm/206187637276,4
1970 S Proof Kennedy Half Dollar 40% Silver with Cameo Appeal,297132954503,"Jun 26, 2026",$19.31,$1.88,,,Fixed price,https://www.ebay.com/itm/297132954503,13
Kennedy Half Dollar 1970 S Proof PCGS PR 69 40% Silver 50c Coin Lot,377164453219,"Jun 23, 2026",$29.45,$8.55,,,Fixed price,https://www.ebay.com/itm/377164453219,3
1970 S 40% Silver Kennedy Half Dollar Gem Proof,143257668264,"Jun 21, 2026",$21.85,$0.00,,,Fixed price,https://www.ebay.com/itm/143257668264,15
1970 S Proof Kennedy Half Dollar 40% Silver with Cameo,335588158951,"Jun 21, 2026",$20.00,$2.96,,,Fixed price,https://www.ebay.com/itm/335588158951,10
1970-S Kennedy Half Dollar Proof 40% Silver,127110239728,"Jun 17, 2026",$23.84,$0.00,,,Fixed price,https://www.ebay.com/itm/127110239728,19
"1970 S Proof Kennedy Half Dollar 50c, CAMEO from Proof Set, 40% Silver 🔥",236848744142,"Jun 11, 2026",$19.49,$4.99,,,Fixed price,https://www.ebay.com/itm/236848744142,4
1970-S Kennedy Half Dollar PR68 CAM PCGS Blue Label,127406876833,"Jun 3, 2026",$29.00,$10.71,,,Fixed price,https://www.ebay.com/itm/127406876833,2
1970-S Proof Kennedy Half Dollar 50C,147271592482,"Jun 2, 2026",$29.45,$0.00,,,Fixed price,https://www.ebay.com/itm/147271592482,3
Kennedy Half Dollar 1970 S Proof PCGS PR 68 CAM 40% Silver 50c Cameo Coin,377164493442,"May 28, 2026",$28.46,$9.06,,,Fixed price,https://www.ebay.com/itm/377164493442,9
1970-S Silver Kennedy Half Dollar PR68 PCGS Blue Label US 50c,306957426764,"May 27, 2026",$22.33,$5.63,,,Fixed price,https://www.ebay.com/itm/306957426764,7
