Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"1971 1972 1974 1976 1977 1978 P or D Eisenhower - ""IKE SILVER DOLLAR"" - Choose 1",321472204271,"Apr 28, 2026",$2.98,$0.00,,,Fixed price,https://www.ebay.com/itm/321472204271,"3,198"
1971-1978 P&D Complete Eisenhower Ike Dollar Circulated Run 12 Coin Set Mint!,275182541059,"Apr 17, 2026",$36.35,$0.00,,,Fixed price,https://www.ebay.com/itm/275182541059,76
1973-1978 P D Eisenhower BU Ike Dollars US Mint Cello Run 12 Coin Set,277507119121,"Mar 6, 2026",$53.58,$6.06,,,Fixed price,https://www.ebay.com/itm/277507119121,29
,,"Jan 17, 2026",$3.14,$0.00,,,Fixed price,,26
1978 D EISENHOWER DOLLAR COIN AVE CIRCULATED **FREE SHIPPING**,157628383918,"Mar 20, 2026",$3.30,$0.00,,,Fixed price,https://www.ebay.com/itm/157628383918,22
1978 P+D UNCIRCULATED EISENHOWER DOLLARS IN THE MINT CELLO L@@K NICE COINS,312535081616,"Apr 23, 2026",$9.95,$0.00,,,Fixed price,https://www.ebay.com/itm/312535081616,21
"1971 1972 1974 1977 1978 P or D Eisenhower - ""IKE SILVER DOLLAR"" - Choose 1",325946515213,"Apr 1, 2026",$3.82,$5.16,,,Fixed price,https://www.ebay.com/itm/325946515213,37
1978 D Eisenhower Dollar BU Ike US Mint Coin,144287684329,"Apr 28, 2026",$7.28,$3.95,,,Fixed price,https://www.ebay.com/itm/144287684329,13
1978-P&D UNCIRCULATED EISENHOWER / IKE DOLLARS IN MINT CELLO (2 COINS),204227220549,"Apr 2, 2026",$7.86,$0.00,,,Fixed price,https://www.ebay.com/itm/204227220549,10
1978 P&D US Mint Eisenhower Dollar Coins Unc US Mint Cello FREE SHIP,206028134773,"Apr 24, 2026",$10.98,$0.00,,,Fixed price,https://www.ebay.com/itm/206028134773,12
"Whitman Eisenhower Dollars Coin Album Book P,D and SF 1971-1978 #9131",354742777670,"Mar 27, 2026",$39.95,$0.00,,,Fixed price,https://www.ebay.com/itm/354742777670,10
Dansco Coin Album #8176 Eisenhower Ike Dollars 1971-1978 with Proofs (P D & S),226259088693,"Mar 14, 2026",$41.45,$0.00,,,Fixed price,https://www.ebay.com/itm/226259088693,9
1978 P D Eisenhower BU Ike Dollar 2 Coin Set,145244327067,"Apr 27, 2026",$12.00,$3.95,,,Fixed price,https://www.ebay.com/itm/145244327067,10
1978 D Eisenhower Dollar Coin (Ike) Uncirculated *MINT CELLO* *FREE SHIPPING*,157750266617,"Apr 23, 2026",$4.94,$0.00,,,Fixed price,https://www.ebay.com/itm/157750266617,8
1978 D Eisenhower Dollar Ike from Mint Set in Mint Cello - Free Shipping,227177551872,"Feb 12, 2026",$4.91,$0.00,,,Fixed price,https://www.ebay.com/itm/227177551872,7
1978-D Eisenhower Dollar-Very Good to Fine Circulated Condition,304344486435,"Apr 8, 2026",$2.88,$1.57,,,Fixed price,https://www.ebay.com/itm/304344486435,8
,,"Jan 19, 2026",$4.69,$0.00,,,Fixed price,,6
1978 P & D Eisenhower Dollar BU Ike US Mint Cello 2 Coin Set,185870456757,"Feb 7, 2026",$9.83,$0.00,,,Fixed price,https://www.ebay.com/itm/185870456757,6
Eisenhower Ike 1 Dollar Coin - 1971-1978 D or P (random year),193293881997,"Dec 12, 2025",$4.86,$0.00,,,Fixed price,https://www.ebay.com/itm/193293881997,8
1973 - 1978 BU Ike Eisenhower Dollar Cello 13 P&D Coins US Mint Sets w/ 40% 1976,333125883712,"Apr 19, 2026",$64.49,$6.93,,,Fixed price,https://www.ebay.com/itm/333125883712,6
(20) Mixed Circulated “Ikes” Eisenhower Dollars 1971-1978 P/D - With Coin Tube,176757838231,"Mar 29, 2026",$36.81,$6.95,,,Fixed price,https://www.ebay.com/itm/176757838231,8
,,"Dec 12, 2025",$37.09,$0.00,,,Fixed price,,13
"Whitman Classic Coin Album Eisenhower Dollars 1971-1978 P, D &S, New",162192627325,"Apr 26, 2026",$35.58,$45.40,,,Fixed price,https://www.ebay.com/itm/162192627325,5
,,"Jan 3, 2026",$4.94,$0.00,,,Fixed price,,6
1978 D Eisenhower Dollar About Uncirculated US Mint Coin IKE,272073169039,"Mar 11, 2026",$5.49,$0.00,,,Fixed price,https://www.ebay.com/itm/272073169039,4
EXQUISITE FLAWLES D-CAM 1978-S EISENHOWER DOLLAR CHOICE D-CAM GEM PROOF SCARCE,335700029703,"Feb 1, 2026",$8.00,$1.00,,,Fixed price,https://www.ebay.com/itm/335700029703,4
1978 D Eisenhower Ike Dollar Brilliant Uncirculated Coin,165573261454,"Apr 21, 2026",$9.21,$0.00,,,Fixed price,https://www.ebay.com/itm/165573261454,4
"Eisenhower Dollar Set 1973-1978 S, P, D T1/T2 18 Coins (3)",177785955139,"Mar 31, 2026",$51.08,$5.99,,,Fixed price,https://www.ebay.com/itm/177785955139,3
1978 P&D US Mint Eisenhower Dollar Coins Unc US Mint Cello FREE SHIP,177925442960,"Mar 11, 2026",$10.56,$0.00,,,Fixed price,https://www.ebay.com/itm/177925442960,3
1978 P D S Eisenhower Dollars CN-Clad 3 Coin Set,203490004407,"Apr 19, 2026",$21.15,$4.95,,,Fixed price,https://www.ebay.com/itm/203490004407,4
"1, 1978 P or D Eisenhower Dollar “Ike Silver Dollar” C/N Clad - Good Cond.",226079106629,"Apr 5, 2026",$7.42,$2.49,,,Fixed price,https://www.ebay.com/itm/226079106629,3
1978 D Eisenhower Dollar ~ BU Uncirculated Mint State Clad ~ IKE $1 US Coin,256326381914,"Apr 6, 2026",$8.95,$0.00,,,Fixed price,https://www.ebay.com/itm/256326381914,3
Choose (1) Eisenhower Dollar 1971 1972 1974 1976 1977 1978 P Or D,265165944509,"Apr 1, 2026",$5.74,$0.00,,,Fixed price,https://www.ebay.com/itm/265165944509,4
1978 D Eisenhower Dollar Circulated US Mint Coin Ike,272206840713,"Mar 22, 2026",$4.65,$0.00,,,Fixed price,https://www.ebay.com/itm/272206840713,3
"1971 1972 1974 1977 1978 P or D Eisenhower - ""IKE DOLLAR"" - Choose 1",287104340937,"Mar 31, 2026",$3.83,$3.08,,,Fixed price,https://www.ebay.com/itm/287104340937,7
"1978-D $1 Eisenhower ""Ike"" Dollar PCGS MS 65 | Uncirculated UNC BU",304274476464,"Apr 21, 2026",$32.85,$0.00,,,Fixed price,https://www.ebay.com/itm/304274476464,6
1978 P&D US Mint Eisenhower Dollar Coins Unc US Mint Cello FREE SHIP,306579187191,"Feb 14, 2026",$9.99,$0.00,,,Fixed price,https://www.ebay.com/itm/306579187191,3
1978-D Eisenhower Dollar Choice BU Ike US Mint Coin FAST SHIPPING,326525666953,"Jan 3, 2026",$7.99,$0.99,,,Fixed price,https://www.ebay.com/itm/326525666953,3
1978 Dwight D. Eisenhower Dollar Set - P & D Unc. - Cello Sealed,405155776474,"Apr 18, 2026",$13.00,$1.95,,,Fixed price,https://www.ebay.com/itm/405155776474,3
,,"Nov 19, 2025",$7.95,$0.00,,,Fixed price,,2
