Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"20""mm Coin Vintage 1985 China Panda 1/20 Oz Without Stone 14K Yellow Gold Plated",357857604558,"Feb 21, 2026",$95.99,$0.00,,,Fixed price,https://www.ebay.com/itm/357857604558,3
,,"Jan 23, 2026",$150.00,$21.58,,,Fixed price,,1
,,"Dec 26, 2025",$91.00,$16.00,,,Auction,,1
,,"Feb 7, 2026",$52.25,$6.00,,,Fixed price,,1
1985 Silver China Panda 10 Yuan Proof NGC PF 69 Cameo,178057116522,"Apr 18, 2026","$2,550.00",$0.00,,,Fixed price,https://www.ebay.com/itm/178057116522,1
,,"Jan 4, 2026",$42.25,$8.55,,,Auction,,1
China 1985 10 Y Yuan Silver Panda Coin Ounce Oz NGC P PF PROOF 68 UC Ultra Cameo,306704886882,"Mar 2, 2026","$2,899.99",$0.00,,,Fixed price,https://www.ebay.com/itm/306704886882,1
,,"Jan 17, 2026",$57.00,$0.00,,,Fixed price,,1
1983 1984 1985 China 1 Oz Silver Panda COA’s - No Coins.,366313542026,"Mar 31, 2026",$149.99,$5.45,,,Fixed price,https://www.ebay.com/itm/366313542026,1
"20""mm Coin Vintage 1985 China Panda 1/20 Oz Without Stone 14K Yellow Gold Plated",376478188156,"Nov 30, 2025",$89.00,$0.00,,,Fixed price,https://www.ebay.com/itm/376478188156,1
,,"Jan 13, 2026",$435.00,$3.20,,,Fixed price,,1
