Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1987 CHINA PANDA 1/20 OZ .999 GOLD 5 YUAN COIN SEALED IN MINT PLASTIC 5Y BU,377093757300,"Apr 30, 2026",$299.00,$0.00,,,Fixed price,https://www.ebay.com/itm/377093757300,1
1987 Gold Panda Medal 1/20 Oz Sino-japan Friendship 5 Yuan Pf70 NGC ULTRA CAMEO,267646502023,"Apr 29, 2026",$230.00,$13.91,,,Fixed price,https://www.ebay.com/itm/267646502023,1
1987-S Gold Panda 1/10 oz. 10 Yuan NGC MS69. Free shipping.,326799882597,"Apr 28, 2026",$638.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326799882597,1
A 1987P CHINA 10Y ULTRA CAMEO PROOF GOLD 1/10 Oz. PANDA,267643980578,"Apr 25, 2026",$511.00,$5.00,,,Auction,https://www.ebay.com/itm/267643980578,1
Sealed 1987 China 25 Yuan 1/4 oz. Gold Panda 🐼🇨🇳,277916655710,"Apr 24, 2026","$1,301.00",$7.70,,,Auction,https://www.ebay.com/itm/277916655710,1
1987 5 Yuan China 1/20 Oz Gold Bullion Panda Coin • RARE! UNC SEALED KEY DATE,298200419213,"Apr 20, 2026",$282.00,$6.85,,,Fixed price,https://www.ebay.com/itm/298200419213,3
A 1987 .999 GOLD CHINA 25 YUAN PANDA 1/4 OZ COIN IN CAPSULE,127821003651,"Apr 20, 2026","$1,300.00",$15.00,,,Fixed price,https://www.ebay.com/itm/127821003651,1
A 1987P CHINA 10Y ULTRA CAMEO PROOF GOLD 1/10 Oz. PANDA,267636254718,"Apr 18, 2026",$498.00,$5.00,,,Auction,https://www.ebay.com/itm/267636254718,1
1987 China Gold Panda 12 oz Box & COA ONLY Original Case No Coin,236421377830,"Apr 13, 2026",$180.00,$33.15,,,Fixed price,https://www.ebay.com/itm/236421377830,1
1987-Y CHINESE PANDA 1/20 OZ .999 GOLD COIN 5 YUAN NGC MS68,358356057244,"Apr 11, 2026",$375.00,$5.00,,,Fixed price,https://www.ebay.com/itm/358356057244,1
1987 5 Yuan Chinese Panda 1/20 Oz .999 Fine Gold Coin in Plastic Pouch,318111534236,"Apr 7, 2026",$265.00,$0.00,,,Fixed price,https://www.ebay.com/itm/318111534236,1
1987-S China Gold Panda 5 Yuan 1/20oz Gold Coin NGC MS69 VaultBox,137185552589,"Apr 3, 2026",$280.00,$5.40,,,Auction,https://www.ebay.com/itm/137185552589,1
1987 5 Yuan Chinese Panda 1/20 Oz .999 Fine Gold Coin in Plastic Pouch,358314951595,"Mar 31, 2026",$260.05,$3.00,,,Auction,https://www.ebay.com/itm/358314951595,1
A 1987 P GOLD CHINA PROOF 25 YUAN PANDA 1/4 OZ COIN IN CAPSULE,306837192117,"Mar 29, 2026","$1,213.00",$5.00,,,Auction,https://www.ebay.com/itm/306837192117,1
SEALED BU 1987 +1983 Gold Panda 1/20 oz Sino-Japanese Friendship 999 Fine,336503873091,"Mar 27, 2026",$309.00,$5.52,,,Fixed price,https://www.ebay.com/itm/336503873091,2
1987-S 5 YUAN 1/20 oz Gold Panda Coin NGC MS67 Lot 211256,227266891767,"Mar 25, 2026",$365.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227266891767,1
1987 China .9999 1/2 oz Gold 50 Yuan Unc Coin,188157727354,"Mar 20, 2026","$2,554.53",$4.99,,,Auction,https://www.ebay.com/itm/188157727354,1
China 1987 S Gold 1/2 oz 50 Yuan Panda Original Mint Sealed BU,306826101982,"Mar 20, 2026","$2,275.00",$0.00,,,Fixed price,https://www.ebay.com/itm/306826101982,1
GOLD COIN PANDA 1/10 oz PRESTIGE SET LIMITED EDITION 7-coins 1982-1987Y CHINA,227260638742,"Mar 17, 2026","$5,888.00",$0.00,,,Fixed price,https://www.ebay.com/itm/227260638742,1
1987 5 Yuan Chinese Panda 1/20 Oz .999 Fine Gold Coin in Plastic Pouch,358251795516,"Mar 17, 2026",$305.00,$3.00,,,Auction,https://www.ebay.com/itm/358251795516,1
1987 GOLD CHINA PANDA PROOF TONG TONG 1oz TOKYO COIN EXPO COIN NGC PF 69 UC,306788802724,"Mar 17, 2026","$5,935.00",$0.00,,,Fixed price,https://www.ebay.com/itm/306788802724,1
,,"Mar 17, 2026","$5,935.00",$0.00,,,Fixed price,,1
1987-Y Gold Panda 1/10 oz. 10 Yuan NGC MS69 DPL (Deep Prooflike),327015766891,"Mar 10, 2026",$888.00,$9.95,,,Fixed price,https://www.ebay.com/itm/327015766891,1
1987P CHINA 10Y ULTRA CAMEO PROOF GOLD 1/10 Oz. PANDA NGC PF69 Super Rare!!,358258523270,"Mar 10, 2026",$679.00,$6.50,,,Fixed price,https://www.ebay.com/itm/358258523270,1
1987 China Panda 1/20th oz 10 Yuan Gold Coin Original Plastic/ Gem!!! #6967,277790576252,"Mar 10, 2026",$299.99,$5.07,,,Fixed price,https://www.ebay.com/itm/277790576252,1
1987 S China Panda 1/4 oz Gold 25 Yuan Gem Unc,188109871214,"Mar 9, 2026","$1,335.00",$5.29,,,Auction,https://www.ebay.com/itm/188109871214,1
1985 China Panda 1/10th oz 10 Yuan Gold Coin Original Plastic/ Gem!!!,188098551076,"Mar 5, 2026",$666.00,$4.99,,,Auction,https://www.ebay.com/itm/188098551076,1
1987 Y GOLD CHINA 3.11 PANDA 10 YUAN 1/10 OZ COIN MINT STATE CONDITION (BU),335500899542,"Mar 3, 2026",$616.55,$0.00,,,Fixed price,https://www.ebay.com/itm/335500899542,1
1987 China 1/10 oz Gold Panda 10Y- Sealed - Brilliant Uncirculated,327025051434,"Mar 2, 2026",$599.50,$0.00,,,Fixed price,https://www.ebay.com/itm/327025051434,1
Panda! 1987 China G5Y Panda Gold Coin 1/20 Oz NGC MS67,227236690688,"Mar 1, 2026",$280.20,$7.95,,,Fixed price,https://www.ebay.com/itm/227236690688,1
1987 10 Yuan China 1/10 oz 999 Gold Panda Coin - Sealed,177907113187,"Mar 1, 2026",$550.00,$5.52,,,Auction,https://www.ebay.com/itm/177907113187,1
1987-Y Gold Panda 1/10 oz. 10 Yuan NGC MS69. Free shipping.,227229726847,"Feb 27, 2026",$648.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227229726847,1
1987 100 Yuan 1 oz .999 Gold Chinese Panda Sealed in Plastic,277745335223,"Feb 24, 2026","$5,250.05",$0.00,,,Auction,https://www.ebay.com/itm/277745335223,1
1987 P GOLD CHINA 5 YUAN PROOF PANDA 1/20oz NGC PF 69 ULTRA CAMEO,306644421622,"Feb 24, 2026",$565.00,$6.95,,,Fixed price,https://www.ebay.com/itm/306644421622,1
1987 1/20 Oz 5 Yuan China Gold Panda Coin Proof PF68,316176457035,"Feb 24, 2026",$371.33,$8.75,,,Fixed price,https://www.ebay.com/itm/316176457035,1
1987 China Panda 5 Yuan 1/20 Oz Gold Coin-Y Mint Mark,127681363482,"Feb 23, 2026",$329.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127681363482,1
1987 S CHINA 1/10oz GOLD PANDA COIN - NGC MS-68,298036244250,"Feb 22, 2026",$544.00,$12.28,,,Auction,https://www.ebay.com/itm/298036244250,1
1987 China Panda 1/10th oz 10 Yuan Gold Coin Original Plastic Gem!!!,188053110848,"Feb 19, 2026",$560.00,$4.99,,,Auction,https://www.ebay.com/itm/188053110848,1
1987-S Gold Panda 1/20 oz. 5 Yuan NGC MS69. Free shipping.,227128079200,"Feb 18, 2026",$338.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227128079200,1
1987 PCGS PR69D Cameo China Panda Gold 1/10 oz Proof Coin,357885072502,"Feb 18, 2026",$679.00,$0.00,,,Fixed price,https://www.ebay.com/itm/357885072502,1
1987-S GOLD PANDA 1/10 Oz NGC MS69 CHINA 10Y 10-YUAN MS-69 !,358201266077,"Feb 15, 2026",$785.00,$0.00,,,Fixed price,https://www.ebay.com/itm/358201266077,1
Panda! 1987S China G5Y Panda Gold Coin 1/20 Oz NGC MS69 UnVaulted,227207085530,"Feb 14, 2026",$295.00,$5.00,,,Auction,https://www.ebay.com/itm/227207085530,1
Rare 1987 S China 1/10 oz .999 Gold Panda 10 Yuan Coin NGC Graded MS70,257250079450,"Feb 13, 2026","$1,200.00",$10.95,,,Fixed price,https://www.ebay.com/itm/257250079450,1
Panda! 1987-P 10Y PROOF GOLD 1/10 Oz. PANDA PCGS PR69DCAM CHINA G10Y 10 Yuan,227206179599,"Feb 13, 2026",$560.00,$5.00,,,Auction,https://www.ebay.com/itm/227206179599,1
1987-Y 5 Yuan China 1/20 Oz Gold Bullion Panda Coin • MS69 TOP POP • KEY DATE,175532325257,"Feb 12, 2026",$434.00,$0.00,,,Fixed price,https://www.ebay.com/itm/175532325257,1
1987 Gold Panda 1/20 oz. Sino-Japanese Friendship NGC PF69 Ultra Cameo,326987731506,"Feb 9, 2026",$348.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326987731506,1
1987-Y GOLD PANDA 1/10 Oz. NGC MS68 10-Y CHINA 10Yn 10 YUAN G10Y Older Holder !!,306718455910,"Feb 4, 2026",$570.00,$15.00,,,Fixed price,https://www.ebay.com/itm/306718455910,1
1987 1/20 Oz Panda Fine Gold Coin Framed 14K Gold & Diamond Ring Size 7 #0745,127517488119,"Feb 4, 2026",$800.00,$5.77,,,Fixed price,https://www.ebay.com/itm/127517488119,1
1987Y PANDA GOLD 1/4 OZ 25 YUAN NGC MS 69,316984802925,"Feb 3, 2026","$1,399.99",$14.40,,,Fixed price,https://www.ebay.com/itm/316984802925,1
1987Y PANDA GOLD 1 OZ 100 YUAN NGC MS 69 CHINA 0.999,326674315964,"Feb 3, 2026","$5,799.99",$32.40,,,Fixed price,https://www.ebay.com/itm/326674315964,1
1987 100 Yuan Gold Chinese Panda .999 1 oz Sealed in Plastic,204893918120,"Feb 2, 2026","$5,054.32",$0.00,,,Fixed price,https://www.ebay.com/itm/204893918120,2
1987 1/10 Oz 10 Yuan China Gold Panda Coin Proof PF69,316744168453,"Feb 2, 2026",$671.09,$7.95,,,Fixed price,https://www.ebay.com/itm/316744168453,1
1987-Y 5 Yuan China 1/20 Oz Gold Bullion Panda Coin • RARE! UNC SEALED KEY DATE,175808240268,"Feb 1, 2026",$346.50,$0.00,,,Fixed price,https://www.ebay.com/itm/175808240268,4
,,"Feb 1, 2026",$346.50,$0.00,,,Fixed price,,4
G-70 - .1 oz 1987 Gold China Panda NGC MS69,376916646638,"Jan 30, 2026",$565.00,$0.00,,,Auction,https://www.ebay.com/itm/376916646638,1
,,"Jan 30, 2026",$565.00,$0.00,,,Auction,,1
1987 China 5 Yuan 1/20 OZ 9999 GOLD Panda Coin - 1/20th Oz,168121035020,"Jan 29, 2026",$289.99,$4.99,,,Fixed price,https://www.ebay.com/itm/168121035020,1
,,"Jan 29, 2026",$289.99,$4.99,,,Fixed price,,1
G-00 - .1 oz 1987 China Gold Panda NGC MS69,306735972160,"Jan 28, 2026",$600.00,$0.00,,,Auction,https://www.ebay.com/itm/306735972160,1
,,"Jan 28, 2026",$600.00,$0.00,,,Auction,,1
1987 China 5 Yuan 1/20 OZ Gold Panda Coin,127644895110,"Jan 27, 2026",$290.00,$5.56,,,Fixed price,https://www.ebay.com/itm/127644895110,1
1987-Y Gold Panda 1/20 oz. 5 Yuan NGC MS69. Free shipping.,326894625230,"Jan 27, 2026",$338.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326894625230,1
,,"Jan 27, 2026",$290.00,$5.56,,,Fixed price,,1
,,"Jan 27, 2026",$338.00,$0.00,,,Fixed price,,1
1987-S China 1/10 oz Gold Panda $5 ( Sealed) .. BU .999 Purity,157635289966,"Jan 25, 2026",$549.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157635289966,1
,,"Jan 25, 2026",$549.00,$0.00,,,Fixed price,,1
