Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 3, 2025",$177.92,$0.00,,,Fixed price,
1987 Mexico Silver Libertad 1 oz PCGS MS65 DDO Double Die Obverse,137014994074,"Feb 14, 2026",$330.00,$5.30,,,Fixed price,https://www.ebay.com/itm/137014994074
1987 Mexico Silver Libertad 1 oz PCGS MS66 DDO Double Die Obverse,137014995665,"Feb 11, 2026",$350.00,$5.26,,,Fixed price,https://www.ebay.com/itm/137014995665
,,"Oct 30, 2025",$123.75,$5.00,,,Auction,
,,"Nov 20, 2025",$178.73,$0.89,,,Auction,
,,"Nov 29, 2025",$65.00,$4.00,,,Auction,
,,"Dec 28, 2025",$12.50,$4.00,,,Auction,
,,"Jan 7, 2026",$325.00,$3.00,,,Fixed price,
1987 Mo PCGS MS67 DDO,116985883184,"Jan 20, 2026",$237.50,$5.00,,,Auction,https://www.ebay.com/itm/116985883184
1986 & 1987 Mexico 1 oz Silver Libertad Proofs -Lower Mintages COA's LOOK!,116997223720,"Feb 7, 2026",$479.00,$10.00,,,Fixed price,https://www.ebay.com/itm/116997223720
1987 Mo PCGS MS67 DDO,117001454059,"Jan 30, 2026",$295.00,$5.00,,,Auction,https://www.ebay.com/itm/117001454059
1987 Libertad Silver 1 oz Mexico,117067287078,"Mar 7, 2026",$260.00,$6.00,,,Auction,https://www.ebay.com/itm/117067287078
Mexico 1987 1 Oz Onza Silver Libertad Coin Lettered Edge NGC MS67 RARE Finest,126848183601,"Jan 10, 2026","$1,340.00",$14.99,,,Fixed price,https://www.ebay.com/itm/126848183601
,,"Oct 26, 2025",$177.50,$4.00,,,Auction,
,,"Nov 30, 2025",$183.50,$4.00,,,Auction,
1987 Mexico Libertad Onza PCGS PR69 DCAM 1 oz Silver Coin *Better Date*,127517838312,"Mar 7, 2026",$423.00,$6.24,,,Fixed price,https://www.ebay.com/itm/127517838312
2x 1987 Mexico Libertad Onza Silver Coin Better Date Consecutive Serial Number!,127581040094,"Jan 7, 2026",$680.00,$8.59,,,Fixed price,https://www.ebay.com/itm/127581040094
1987 Mo 1 Oz Mexico Onza .999 Silver Libertad *SL28,127659864566,"Feb 7, 2026",$275.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127659864566
"1987 Mexico PROOF LIBERTAD .999 Silver 1oz Coin w/COA & Box, 1 Onza Plata Pura",127678065453,"Feb 17, 2026",$306.00,$6.00,,,Auction,https://www.ebay.com/itm/127678065453
"1987 Mexico PROOF LIBERTAD .999 Silver 1oz Coin w/COA & Box, 1 Onza Plata Pura",127694052921,"Feb 26, 2026",$335.00,$7.31,,,Auction,https://www.ebay.com/itm/127694052921
