Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Whitman Canada Silver Maple Leaf Coin Album 5485 From 1988 1oz Bullion Holder,117258131492,"Jun 20, 2026",$45.90,$0.00,,,Fixed price,https://www.ebay.com/itm/117258131492,1
1988 Canada Maple Leaf 1oz .9999 Fine Silver in Original Sealed Plastic,147134179194,"Jun 19, 2026",$90.20,$3.99,,,Fixed price,https://www.ebay.com/itm/147134179194,2
1988 Canada 5 Dollars Silver Maple Leaf ~ PCGS MS68 Blue Label ~ 1oz 999,137195021054,"Jun 16, 2026",$129.60,$0.00,,,Fixed price,https://www.ebay.com/itm/137195021054,1
1988 Canada Maple Leaf 1oz .9999 Fine Silver in Original Sealed Plastic,178134187052,"Jun 16, 2026",$85.00,$5.97,,,Fixed price,https://www.ebay.com/itm/178134187052,1
"1988, 1989, 1989, and 1990 Canada $5 1oz Silver Maple Leafs",137312828669,"May 24, 2026",$320.00,$0.00,,,Auction,https://www.ebay.com/itm/137312828669,1
1988 Canada Maple Leaf 1oz .9999 Fine Silver in Original Sealed Plastic,800028432061,"May 23, 2026",$73.52,$0.00,,,Auction,https://www.ebay.com/itm/800028432061,1
"1988, 1989, 1989, 1998, and 2013 Canada $5 1oz Silver Maple Leafs",147246398891,"Apr 14, 2026",$403.00,$0.00,,,Auction,https://www.ebay.com/itm/147246398891,1
"1988 Canada 5 Dollar Silver Maple Leaf, 1oz.9999",178001547835,"Apr 4, 2026",$81.00,$1.78,,,Auction,https://www.ebay.com/itm/178001547835,1
1988 Canadian Maple Leaf $5 1oz .9999 Fine Silver Round Coin BU In Capsule,287187260634,"Mar 14, 2026",$94.00,$1.90,,,Auction,https://www.ebay.com/itm/287187260634,1
,,"Mar 14, 2026",$94.00,$1.90,,,Auction,,1
1988 Canada Silver Maple Leaf 1oz Coin Sealed Toning,377011924872,"Mar 5, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/377011924872,1
,,"Mar 5, 2026",$80.00,$0.00,,,Fixed price,,1
,,"Feb 10, 2026",$159.90,$9.99,,,Fixed price,,1
,,"Feb 9, 2026",$90.00,$7.70,,,Fixed price,,1
,,"Feb 4, 2026",$85.00,$5.30,,,Fixed price,,1
,,"Jan 27, 2026",$120.00,$0.00,,,Fixed price,,1
,,"Jan 26, 2026",$440.00,$12.00,,,Fixed price,,1
1988 S$5 Canada Silver Maple Leaf 1oz NGC MS-68,256810340465,"Jan 26, 2026",$200.00,$5.62,,,Fixed price,https://www.ebay.com/itm/256810340465,1
,,"Jan 25, 2026",$113.50,$5.20,,,Auction,,1
,,"Jan 25, 2026",$100.00,$0.00,,,Fixed price,,1
,,"Jan 24, 2026",$104.49,$1.18,,,Auction,,1
,,"Jan 19, 2026","$2,999.99",$21.15,,,Fixed price,,1
,,"Jan 16, 2026",$107.99,$5.55,,,Fixed price,,1
,,"Jan 14, 2026",$290.00,$0.00,,,Auction,,1
,,"Jan 8, 2026",$335.00,$10.00,,,Fixed price,,1
,,"Jan 3, 2026",$480.00,$5.15,,,Fixed price,,1
,,"Dec 30, 2025",$72.00,$4.00,,,Auction,,1
,,"Dec 21, 2025","$2,334.00",$11.28,,,Fixed price,,1
,,"Nov 20, 2025","$1,994.05",$4.76,,,Fixed price,,1
