Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"1990, 2002, and 2002 Canada $5 1oz Silver Maple Leafs",147195886162,"Mar 17, 2026",$270.00,$0.00,,,Auction,https://www.ebay.com/itm/147195886162,1
1990 and 1994 Canada $5 1oz Silver Maple Leafs in Mint Plastics,397570708387,"Feb 11, 2026",$187.19,$0.00,,,Auction,https://www.ebay.com/itm/397570708387,1
,,"Feb 11, 2026",$187.19,$0.00,,,Auction,,1
BU 1990 Canada 1oz. .9999 $5 Silver Maple Leaf BU in RCM packaging,287134012535,"Feb 10, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287134012535,1
,,"Feb 10, 2026",$100.00,$0.00,,,Fixed price,,1
1990 Canada 1oz. .9999 $5 Silver Maple Leaf BU in RCM packaging,206051488700,"Feb 9, 2026",$90.00,$7.70,,,Fixed price,https://www.ebay.com/itm/206051488700,1
,,"Feb 9, 2026",$90.00,$7.70,,,Fixed price,,1
,,"Feb 4, 2026",$85.00,$5.30,,,Fixed price,,1
,,"Jan 24, 2026",$105.25,$1.18,,,Auction,,1
,,"Jan 20, 2026",$99.00,$6.99,,,Fixed price,,1
,,"Jan 16, 2026",$94.00,$5.15,,,Auction,,1
,,"Dec 1, 2025",$55.00,$4.25,,,Fixed price,,1
,,"Nov 26, 2025",$49.77,$4.80,,,Auction,,1
,,"Nov 18, 2025",$59.99,$0.00,,,Fixed price,,1
,,"Nov 11, 2025",$60.00,$0.00,,,Fixed price,,1
,,"Nov 10, 2025",$59.99,$3.89,,,Fixed price,,1
