Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,306958238367,"May 30, 2026",$425.00,$5.00,,,Auction,https://www.ebay.com/itm/306958238367,1
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,267671921560,"May 23, 2026",$394.00,$5.00,,,Auction,https://www.ebay.com/itm/267671921560,1
1992 Libertad GOLD 1/20 oz .999 Fine Mexico Gold - Rare!,267669647607,"May 19, 2026",$385.00,$5.99,,,Auction,https://www.ebay.com/itm/267669647607,1
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,267665024876,"May 16, 2026",$450.00,$5.00,,,Auction,https://www.ebay.com/itm/267665024876,1
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,267657529468,"May 9, 2026",$425.00,$5.00,,,Auction,https://www.ebay.com/itm/267657529468,1
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,267650764361,"May 2, 2026",$405.00,$5.00,,,Auction,https://www.ebay.com/itm/267650764361,1
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,306889502850,"Apr 25, 2026",$415.00,$5.00,,,Auction,https://www.ebay.com/itm/306889502850,1
1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare date * FREE SHIPPING,358299475138,"Apr 21, 2026",$470.00,$0.00,,,Fixed price,https://www.ebay.com/itm/358299475138,1
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,306875471940,"Apr 18, 2026",$382.00,$5.00,,,Auction,https://www.ebay.com/itm/306875471940,1
"1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU Mintage 65,225 Proof Satin",178051593984,"Apr 16, 2026",$430.00,$12.00,,,Fixed price,https://www.ebay.com/itm/178051593984,1
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,306862425161,"Apr 11, 2026",$420.00,$5.00,,,Auction,https://www.ebay.com/itm/306862425161,1
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,267622963598,"Apr 4, 2026",$411.00,$5.00,,,Auction,https://www.ebay.com/itm/267622963598,1
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,267616098128,"Mar 28, 2026",$405.00,$5.00,,,Auction,https://www.ebay.com/itm/267616098128,1
1992 MEXICO 1/20 ONZA GOLD LIBERTAD NGC MS 67 RARE GEM BEAUTIFUL 1/20 OZ COIN,168221146917,"Mar 23, 2026",$474.95,$0.00,,,Fixed price,https://www.ebay.com/itm/168221146917,1
A 1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,267606650374,"Mar 21, 2026",$387.00,$5.00,,,Auction,https://www.ebay.com/itm/267606650374,1
"2019 Mexico 1/4 oz Onza Gold Libertad Coin - Low Mintage 1,500",127734661858,"Mar 18, 2026","$1,375.00",$0.00,,,Auction,https://www.ebay.com/itm/127734661858,1
1992 MEXICO 1/20 ONZA GOLD LIBERTAD NGC MS 67 RARE GEM 1/20 OZ BEAUTIFUL COIN,167528038815,"Mar 15, 2026",$474.95,$0.00,,,Fixed price,https://www.ebay.com/itm/167528038815,1
1992 MEXICO 1/20 ONZA GOLD LIBERTAD NGC MS 67 RARE GEM BU 1/20 OZ BEAUTIFUL COIN,157725702384,"Mar 12, 2026",$474.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157725702384,1
1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,267593140480,"Mar 3, 2026",$449.99,$5.00,,,Fixed price,https://www.ebay.com/itm/267593140480,1
1992 Mexico Libertad 1/20 oz .999 Fine Gold Rare BU!,267588026205,"Mar 2, 2026",$405.00,$5.00,,,Fixed price,https://www.ebay.com/itm/267588026205,1
,,"Mar 2, 2026",$405.00,$5.00,,,Fixed price,,1
1992 Mexico 1 oz Gold Libertad BU,127700774290,"Feb 23, 2026","$6,538.72",$0.00,,,Fixed price,https://www.ebay.com/itm/127700774290,1
1992 Mexico Libertad 1/20 oz .999 Fine Gold Bullion,277721389026,"Feb 17, 2026",$375.00,$8.95,,,Auction,https://www.ebay.com/itm/277721389026,1
,,"Feb 17, 2026",$375.00,$8.95,,,Auction,,1
1992 Mexico Libertad 1/20 oz .999 Fine Gold * NGC MS68! * Rare * High Grade *,397564551980,"Feb 2, 2026",$559.99,$7.95,,,Fixed price,https://www.ebay.com/itm/397564551980,1
,,"Feb 2, 2026",$559.99,$7.95,,,Fixed price,,1
,,"Jan 14, 2026",$95.00,$4.76,,,Fixed price,,1
,,"Jan 12, 2026","$12,000.00",$39.95,,,Fixed price,,1
,,"Dec 8, 2025",$48.00,$0.00,,,Fixed price,,1
,,"Nov 17, 2025",$384.95,$0.00,,,Fixed price,,1
,,"Oct 30, 2025",$424.95,$0.00,,,Fixed price,,1
