Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1992 Mexico Libertad 1oz .999 Silver Coin Toned,136016294176,"Mar 6, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136016294176,1
1992-Mo 1oz Silver Mexican Libertad PCGS PR69CAM,137118736709,"Mar 18, 2026",$240.50,$8.00,,,Auction,https://www.ebay.com/itm/137118736709,1
,,"Dec 31, 2025",$90.00,$0.00,,,Fixed price,,1
,,"Dec 27, 2025",$94.95,$0.00,,,Fixed price,,1
,,"Jan 26, 2026",$135.00,$7.95,,,Fixed price,,1
,,"Feb 9, 2026",$350.00,$8.10,,,Fixed price,,1
,,"Dec 12, 2025",$75.00,$4.87,,,Fixed price,,1
,,"Dec 16, 2025",$82.99,$4.99,,,Auction,,1
1992 Onza PCGS Ms66 Gold Shield Mexican Libertad 1Oz .999 Plata natural toning,257377279076,"Mar 3, 2026",$276.98,$5.52,,,Auction,https://www.ebay.com/itm/257377279076,1
,,"Dec 14, 2025",$84.01,$6.00,,,Auction,,1
,,"Dec 13, 2025",$70.00,$5.50,,,Fixed price,,1
Bu Unc 1992 Mexico 1oz Silver Libertad Bullion Coin 999 Fine Silver Uncirculated,277919179836,"May 2, 2026",$125.00,$5.99,,,Fixed price,https://www.ebay.com/itm/277919179836,1
"1992 Mexico 1 Onza .999 Silver Libertad GEM UNC 1oz Plata Pura, Low Mintage Date",277919510918,"May 7, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277919510918,1
,,"Jan 27, 2026",$135.00,$5.29,,,Fixed price,,1
,,"Jan 14, 2026",$218.99,$9.99,,,Fixed price,,1
,,"Jan 31, 2026",$95.00,$4.00,,,Auction,,1
,,"Dec 18, 2025",$275.00,$4.76,,,Fixed price,,1
,,"Dec 30, 2025",$97.99,$4.95,,,Auction,,1
,,"Feb 14, 2026",$355.00,$0.00,,,Auction,,1
,,"Jan 18, 2026",$295.00,$5.95,,,Fixed price,,1
,,"Dec 12, 2025",$85.00,$0.00,,,Fixed price,,1
,,"Dec 27, 2025",$118.75,$0.00,,,Fixed price,,1
1992 Mexican Silver Libertad 1oz,358311106248,"Mar 11, 2026",$100.00,$7.50,,,Fixed price,https://www.ebay.com/itm/358311106248,1
,,"Feb 2, 2026",$146.00,$8.30,,,Auction,,1
,,"Jan 11, 2026",$79.99,$14.20,,,Fixed price,,1
,,"Nov 23, 2025",$129.00,$0.00,,,Fixed price,,1
,,"Dec 27, 2025",$98.99,$4.87,,,Fixed price,,1
1992 Mexico Libertad 1oz Silver Coin PCGS MS 68,406876654624,"Apr 21, 2026",$250.00,$5.45,,,Fixed price,https://www.ebay.com/itm/406876654624,1
