Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1994 Mexico 1oz Silver Libertad CACG MS62,287397563130,"Jun 16, 2026",$115.00,$2.40,,,Fixed price,https://www.ebay.com/itm/287397563130,1
"1994 Mexico 1 Onza .999 Silver Libertad 1oz Plata Pura, Low Mintage Date🔥🔥🔥",178147998769,"May 24, 2026",$138.00,$8.75,,,Auction,https://www.ebay.com/itm/178147998769,1
"1991 Mexico 1 Onza .999 Silver Libertad UNC 1oz Plata Pura, Type 1, Low Mintage",277983371258,"May 14, 2026",$144.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277983371258,1
"1994 Mexico 1 Onza .999 Silver Libertad GEM UNC 1oz Plata Pura, Low Mintage Date",277919506656,"May 12, 2026",$144.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277919506656,1
Toned 1994 Mexico Libertad 1/20 Onza Silver Coin,188338560107,"May 3, 2026",$38.00,$5.97,,,Fixed price,https://www.ebay.com/itm/188338560107,1
1994 Mo Mexico 1 Onza Libertad 1 oz. Silver Coin – ANACS MS66,277943624603,"May 3, 2026",$136.50,$5.48,,,Fixed price,https://www.ebay.com/itm/277943624603,1
1994 Mexican Libertad 1oz .999 Silver Coice Bu In Package,117174707099,"May 2, 2026",$125.00,$5.40,,,Fixed price,https://www.ebay.com/itm/117174707099,1
Libertad 1994 Mexico Onza Toned Silver Coin Littleton Sealed Holder,206243498051,"May 2, 2026",$375.00,$6.00,,,Fixed price,https://www.ebay.com/itm/206243498051,1
1994-Mo Mexico 1 Onza Silver Libertad 1 oz PCGS MS68,137272929733,"May 1, 2026",$150.00,$6.00,,,Fixed price,https://www.ebay.com/itm/137272929733,1
1994-MO 1/2 oz .999 Fine Silver Chaac-Mool ***RARE MEXICO SILVER***,157733188289,"Apr 29, 2026",$65.92,$0.00,,,Fixed price,https://www.ebay.com/itm/157733188289,1
Mexican Silver Libertad 1oz Coin Littleton Uncirculated 1994 2001,397891295942,"Apr 29, 2026",$315.00,$5.72,,,Fixed price,https://www.ebay.com/itm/397891295942,1
1994 Mexico Libertad 1oz Silver Coin In Capsule.In Capsule with Toning,137232904418,"Apr 26, 2026",$107.00,$0.00,,,Auction,https://www.ebay.com/itm/137232904418,1
"1994 Mexico 1 Oz Silver Libertad, Choice Uncirculated, Littleton Coin Co.",168302309217,"Apr 26, 2026",$152.50,$3.95,,,Auction,https://www.ebay.com/itm/168302309217,1
1994 1 oz 999 SILVER Ley Mexican Libertad 1 Onza Pura Plata Rare Limited Ed Coin,285503316345,"Apr 24, 2026",$176.99,$8.99,,,Fixed price,https://www.ebay.com/itm/285503316345,1
1994 Mo Mexico 1 Onza Silver Libertad NGC MS 66,277897534464,"Apr 22, 2026",$200.00,$7.00,,,Auction,https://www.ebay.com/itm/277897534464,1
"1994 Silver Mexico Libertad Coin Set 1oz, 1/2oz, 1/4oz, 1/10oz and 1/20oz",236765472481,"Apr 21, 2026",$475.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236765472481,1
1994 1 oz Silver Mexican Libertad .999 Fine [p4],157829155430,"Apr 20, 2026",$119.06,$5.00,,,Auction,https://www.ebay.com/itm/157829155430,1
"1994 Mexican Libertad ""Onza"" 1 Oz .999 Silver Coins BU ~ KEY DATE ~ Lot A",277812149879,"Apr 17, 2026",$239.95,$5.25,,,Fixed price,https://www.ebay.com/itm/277812149879,1
PRISTINE 1994 Mexico Silver LIBERTAD 1 oz 999 Silver Coin BU in Holder,198285440201,"Apr 15, 2026",$125.00,$6.95,,,Fixed price,https://www.ebay.com/itm/198285440201,1
PRISTINE 2001 Mexico Silver LIBERTAD 1 oz 999 Silver Coin BU,198285479187,"Apr 15, 2026",$125.00,$6.95,,,Fixed price,https://www.ebay.com/itm/198285479187,1
1994 1 OZ SILVER .999 MEXICO LIBERTAD,168208133596,"Apr 14, 2026",$147.50,$0.00,,,Fixed price,https://www.ebay.com/itm/168208133596,4
"1994 Mexico 1 Oz Silver Libertad, Better Date",168279818767,"Apr 12, 2026",$121.38,$3.95,,,Auction,https://www.ebay.com/itm/168279818767,1
1994 1 OZ SILVER .999 MEXICO LIBERTAD,168208133596,"Apr 11, 2026",$145.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168208133596,2
1994 Mexico Libertad 1oz Silver Coin In Capsule. With Toning,137188865727,"Apr 11, 2026",$114.50,$0.00,,,Auction,https://www.ebay.com/itm/137188865727,1
1994 Silver Mexican Libertad 1 Onza BU,178025098159,"Apr 11, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178025098159,1
1994 Mo Mexico 1 Onza Libertad 1/4 oz Silver Coin – NGC MS69,188233829516,"Apr 11, 2026",$127.50,$5.52,,,Auction,https://www.ebay.com/itm/188233829516,1
1994 Mo Mexico 1 Onza Libertad 1 oz. Silver Coin – NGC MS67,298194833776,"Apr 11, 2026",$179.39,$7.95,,,Auction,https://www.ebay.com/itm/298194833776,1
1994 Mexico Pre Columbian Mayan Dintel 26 1 oz Silver .999 N$5 Peso Proof Coin,227283452663,"Apr 9, 2026",$200.00,$5.78,,,Auction,https://www.ebay.com/itm/227283452663,1
1994 Mo Mexico 1 Onza Libertad 1 oz. Silver Coin – NGC MS65,267611199953,"Apr 7, 2026",$160.00,$6.00,,,Fixed price,https://www.ebay.com/itm/267611199953,1
1994 1 oz 999 Fine SILVER Ley Mexican Libertad 1 Onza Mint State 67 Look,157635492911,"Apr 1, 2026",$188.00,$5.20,,,Fixed price,https://www.ebay.com/itm/157635492911
1994 Mo Mexico 1 Onza Silver Libertad NGC MS 66,188206740150,"Apr 1, 2026",$200.00,$0.00,,,Auction,https://www.ebay.com/itm/188206740150,1
1994 Mexico Libertad 1oz Silver Coin Beautiful Toned ￼,157796384650,"Mar 31, 2026",$115.00,$5.30,,,Fixed price,https://www.ebay.com/itm/157796384650
1994 Libertad Mexico 1 Oz .999 Silver Coin,277828137526,"Mar 30, 2026",$112.50,$6.00,,,Auction,https://www.ebay.com/itm/277828137526,1
1994 Mexico Libertad 1oz Silver Coin,157794203410,"Mar 29, 2026",$105.00,$5.00,,,Fixed price,https://www.ebay.com/itm/157794203410
1994 1 Onza Mexico Libertad Plata Pura 1 Troy Oz .999 Fine Silver Coin [W5],157731558728,"Mar 28, 2026",$92.00,$5.52,,,Auction,https://www.ebay.com/itm/157731558728
1994 Mo Mexico Libertad Onza 1/20 oz .999 Silver - SKU-Q3945,318025378011,"Mar 25, 2026",$37.00,$0.27,,,Auction,https://www.ebay.com/itm/318025378011,1
1994 1oz Silver Mexican Libertad Coin PCGS MS68,227261660720,"Mar 22, 2026",$260.00,$0.00,,,Auction,https://www.ebay.com/itm/227261660720,1
A 1994 1 Oz 999 SILVER MEXICO Libertad Pura Plata Littleton Select Holder,227264504675,"Mar 22, 2026",$137.50,$5.00,,,Auction,https://www.ebay.com/itm/227264504675,1
,,"Mar 22, 2026",$260.00,$0.00,,,Auction,,1
1994Mo Mexico 1 Onza Libertad Silver NGC MS66- Great Coin!,287216546302,"Mar 21, 2026",$175.00,$6.00,,,Auction,https://www.ebay.com/itm/287216546302,1
Scarce! 1/4 Troy Oz .999 Fine Silver Mexican Libertad In Capsule,177974856931,"Mar 19, 2026",$69.95,$0.00,,,Fixed price,https://www.ebay.com/itm/177974856931,1
1994 1oz Silver Mexican Libertad Coin PCGS MS68,198176946817,"Mar 18, 2026",$289.00,$0.00,,,Auction,https://www.ebay.com/itm/198176946817,1
"Mexico Liberty 1994, 1 Oz .999 Fine Silver Coin, Libertad Choice Uncirc. sealed",236685778236,"Mar 18, 2026",$141.38,$5.20,,,Auction,https://www.ebay.com/itm/236685778236,1
,,"Mar 18, 2026",$289.00,$0.00,,,Auction,,1
RARE 1994 Mexico 1 oz .999 Silver Onza in Beautiful BU Condition - Nice Find!,157732867957,"Mar 17, 2026",$132.50,$0.00,,,Auction,https://www.ebay.com/itm/157732867957
1994 1oz Silver Mexican Libertad Coin PCGS MS68,206121560194,"Mar 15, 2026",$221.50,$0.00,,,Auction,https://www.ebay.com/itm/206121560194,1
,,"Mar 15, 2026",$221.50,$0.00,,,Auction,,1
,,"Mar 14, 2026",$300.00,$0.00,,,Fixed price,,1
1994 1oz Silver Mexican Libertad Coin PCGS MS68,206111940931,"Mar 11, 2026",$233.50,$0.00,,,Auction,https://www.ebay.com/itm/206111940931,1
1994Mo Mexico 1 Onza Libertad Silver NGC MS66- Great Coin!,287196323104,"Mar 11, 2026",$185.00,$6.00,,,Fixed price,https://www.ebay.com/itm/287196323104,1
