Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1995-W American Silver Eagle PR69 DCAM PCGS Blue Label,127406884099,"Feb 27, 2026","$2,995.95",$0.00,,,Fixed price,https://www.ebay.com/itm/127406884099,6
(1) 1995 P 1oz US American Silver Eagle $1 Dollar Proof Bullion Coin w/Box & COA,234487841724,"Feb 22, 2026",$140.39,$0.00,,,Fixed price,https://www.ebay.com/itm/234487841724,5
1995-P $1 Proof American Silver Eagle in Box w/ COA-Free Shipping,366150639406,"Mar 15, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366150639406,4
1995-W American Silver Eagle Anniversary Set PF69 UCAM NGC Brown Label,134192661313,"Apr 30, 2026","$2,880.32",$0.00,,,Fixed price,https://www.ebay.com/itm/134192661313,3
1995-P $1 AMERICAN SILVER PROOF EAGLE w/OGP & COA - FREE SHIPPING!,157793575833,"May 2, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157793575833,2
1995-W (PF69 DCAM) Proof American Silver Eagle ASE $1 NGC - Key Date,187471452035,"Dec 16, 2025","$2,890.00",$0.00,,,Fixed price,https://www.ebay.com/itm/187471452035,2
,,"Jan 7, 2026","$10,200.00",$15.00,,,Fixed price,,2
1995-W Proof American Silver Eagle PF-69 NGC,115129591098,"Mar 14, 2026","$3,285.35",$0.00,,,Fixed price,https://www.ebay.com/itm/115129591098,1
,,"Dec 21, 2025",$85.00,$4.99,,,Fixed price,,1
,,"Jan 27, 2026","$13,895.00",$0.00,,,Fixed price,,1
(1) 1995 P 1oz US American Silver Eagle $1 Dollar Proof Bullion Coin w/Box & COA,117003337956,"Feb 11, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117003337956,1
American Eagle 1995 $1 Proof Silver 0.999 Philadelphia w/ Box & Certificate,117053955370,"Feb 24, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117053955370,1
