Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Oct 12, 2025",$85.00,$7.20,,,Auction,
,,"Oct 25, 2025",$573.98,$7.20,,,Auction,
,,"Oct 26, 2025",$440.00,$11.80,,,Auction,
,,"Oct 30, 2025",$391.00,$4.50,,,Auction,
,,"Nov 20, 2025",$395.00,$2.02,,,Auction,
1997 MO MEXICO 1/2 OZ ONZA SILVER LIBERTAD NGC MS67 TOP POP!!,116992727105,"Feb 9, 2026",$230.00,$15.00,,,Fixed price,https://www.ebay.com/itm/116992727105
1997 Libertad Silver 1 oz Mexico,117070734528,"Mar 9, 2026",$500.00,$6.00,,,Auction,https://www.ebay.com/itm/117070734528
,,"Dec 25, 2025",$465.00,$5.15,,,Fixed price,
,,"Dec 27, 2025",$500.00,$4.46,,,Fixed price,
1997 Mo 1 Oz Mexico Onza .999 Silver Libertad - Key Date *SL12,127657401760,"Mar 8, 2026",$535.50,$0.00,,,Fixed price,https://www.ebay.com/itm/127657401760
1997 Mo 1 Oz Mexico Onza .999 Silver Libertad - Key Date *SL13,127659894982,"Feb 6, 2026",$535.50,$0.00,,,Fixed price,https://www.ebay.com/itm/127659894982
1997 Mo 1 Oz Mexico Onza .999 Silver Libertad - Key Date *SL14,127659961915,"Feb 4, 2026",$535.50,$0.00,,,Fixed price,https://www.ebay.com/itm/127659961915
1997 Mo 1 Oz Mexico Onza .999 Silver Libertad - Key Date *SL15,127660078011,"Feb 9, 2026",$535.50,$0.00,,,Fixed price,https://www.ebay.com/itm/127660078011
1997 Mo 1 Oz Mexico Onza .999 Silver Libertad - Key Date *SL16,127660137681,"Feb 17, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127660137681
1997 Mexico 1 Oz Silver Libertad Proof Onza - SCRATCHES - Mintage Only 1500 RARE,127679115617,"Feb 18, 2026",$500.00,$6.79,,,Fixed price,https://www.ebay.com/itm/127679115617
,,"Oct 29, 2025",$400.00,$7.35,,,Fixed price,
,,"Oct 31, 2025",$400.00,$7.90,,,Fixed price,
1997 Mo Mexico 1 Onza Silver Libertad 1 oz .999 MS70 NGC,136969306393,"Feb 14, 2026","$3,950.00",$0.00,,,Fixed price,https://www.ebay.com/itm/136969306393
1997 Mo Mexico 1 Onza Silver Libertad 1 oz .999 MS70 NGC,137051685923,"Mar 6, 2026","$3,750.00",$0.00,,,Fixed price,https://www.ebay.com/itm/137051685923
1997 Mo Mexico 1 Onza Silver Libertad 1 oz .999 MS70 NGC,137111257901,"Mar 13, 2026","$3,822.00",$0.00,,,Fixed price,https://www.ebay.com/itm/137111257901
,,"Nov 2, 2025",$450.00,$0.00,,,Fixed price,
1997 1 Oz Libertad Mexico Onza RARE BU Key Date 999 Silver Coin,147081788658,"Jan 17, 2026",$495.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147081788658
,,"Nov 5, 2025",$425.00,$0.00,,,Fixed price,
,,"Nov 21, 2025",$478.00,$4.76,,,Fixed price,
1997 Mexico Libertad Onza 1 oz .999 Silver BU Key Date,157607523445,"Jan 11, 2026",$440.00,$7.50,,,Fixed price,https://www.ebay.com/itm/157607523445
1997 Mo 1 Oz Mexico Onza .999 Silver Libertad - Key Date *SL15,157676004098,"Mar 22, 2026",$639.00,$16.50,,,Fixed price,https://www.ebay.com/itm/157676004098
Mexico 1/4 oz Libertad Angel of Independence silver coin 1997,166551026722,"Oct 23, 2025",$75.00,$0.00,,,Fixed price,https://www.ebay.com/itm/166551026722
,,"Nov 6, 2025","$1,875.00",$10.95,,,Fixed price,
1/4 oz 1997 Mexico SILVER LIBERTAD Fractional Coin-Round,168014147745,"Jan 8, 2026",$99.00,$5.15,,,Fixed price,https://www.ebay.com/itm/168014147745
,,"Dec 20, 2025",$125.10,$5.15,,,Fixed price,
,,"Jan 5, 2026",$559.00,$0.00,,,Fixed price,
1997 Mexico Libertad 1/10 ounce Silver Coin Pure Silver .999,168107434196,"Mar 4, 2026",$59.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168107434196
,,"Dec 29, 2025",$105.00,$8.40,,,Fixed price,
1997 Mo NGC MS68 - Mexico 1 /4 oz Silver Libertad Onza Coin - Rare Date,177542220148,"Jan 9, 2026",$120.00,$8.40,,,Fixed price,https://www.ebay.com/itm/177542220148
,,"Nov 30, 2025",$53.00,$3.99,,,Auction,
,,"Jan 1, 2026",$457.00,$3.99,,,Auction,
"1997 Mexico Mo “TONED” RARE 1/20 Oz SILVER LIBERTAD Low Mintage Of Only 20,000",177748093445,"Jan 15, 2026",$125.00,$4.95,,,Fixed price,https://www.ebay.com/itm/177748093445
,,"Oct 22, 2025",$45.66,$0.50,,,Auction,
,,"Oct 22, 2025",$71.00,$0.50,,,Auction,
,,"Nov 11, 2025",$490.00,$4.60,,,Auction,
,,"Dec 13, 2025",$68.00,$4.95,,,Auction,
,,"Dec 28, 2025",$149.95,$5.95,,,Fixed price,
,,"Dec 20, 2025",$100.00,$5.95,,,Fixed price,
1997 MEXICO SILVER LIBERTAD 1/2 ONZA NGC MS 69 RARE HIGH GRADE GEM,197794329066,"Feb 9, 2026",$300.00,$7.50,,,Fixed price,https://www.ebay.com/itm/197794329066
,,"Nov 11, 2025",$255.00,$7.50,,,Fixed price,
,,"Nov 2, 2025",$434.00,$0.00,,,Auction,
,,"Nov 8, 2025",$456.25,$0.00,,,Auction,
Mexico 1997 1 Oz Silver Libertad Proof PCGS PF67 DCAM Scarse Low Mintage,205434630527,"Mar 6, 2026","$1,500.00",$8.10,,,Fixed price,https://www.ebay.com/itm/205434630527
,,"Jan 6, 2026",$229.99,$7.50,,,Fixed price,
,,"Oct 29, 2025",$480.00,$10.00,,,Fixed price,
1997 Mo 1 Oz MS67 NGC Mexico Onza .999 Silver Libertad - Key Date,127799265478,"Apr 8, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127799265478
,,"Jan 8, 2026",$99.00,$5.15,,,Fixed price,
,,"Jan 11, 2026",$440.00,$7.50,,,Fixed price,
,,"Jan 9, 2026",$120.00,$8.40,,,Fixed price,
1997 Mexico Libertad 1/10 oz Silver Coin,157760547025,"Apr 12, 2026",$65.00,$4.78,,,Fixed price,https://www.ebay.com/itm/157760547025,1
Toned 1/20 oz Libertad 1997 PCGS MS65 Toned Mexican Silver Coin Better-Date,206133484606,"Mar 13, 2026",$200.00,$6.00,,,Fixed price,https://www.ebay.com/itm/206133484606,1
"1997 Mexico Silver 1 oz Libertad . 999 fine Silver,Key Date, Free Shipping",206171430975,"Mar 27, 2026",$475.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206171430975,1
"1997 Mo Mexico 1 Onza Proof Libertad .999 Rare Key Date Low Mintage Only 1,500",226980110459,"Feb 24, 2026","$1,499.99",$0.00,,,Fixed price,https://www.ebay.com/itm/226980110459,1
,,"Dec 16, 2025","$4,100.00",$12.76,,,Fixed price,,1
,,"Dec 14, 2025",$485.00,$5.15,,,Auction,,1
1996 1997 1998 1999 Libertad Plata Pura 1 oz Silver Coin Lot of 4,227177435881,"Feb 21, 2026","$5,313.00",$8.56,,,Fixed price,https://www.ebay.com/itm/227177435881,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *1997,227271572521,"Mar 30, 2026",$103.50,$7.02,,,Auction,https://www.ebay.com/itm/227271572521,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *1997,227278374166,"Apr 5, 2026",$102.50,$10.60,,,Auction,https://www.ebay.com/itm/227278374166,1
,,"Nov 25, 2025",$38.40,$4.92,,,Fixed price,,1
,,"Jan 5, 2026",$25.00,$4.87,,,Fixed price,,1
1997 Libertad Mexico 1 troy oz .999 Fine Silver Coin x 4 BU,236583529997,"Jan 15, 2026",$435.00,$5.09,,,Fixed price,https://www.ebay.com/itm/236583529997,1
1997 Libertad Mexico 1 troy oz .999 Fine Silver Coin x 4 BU,236583665353,"Jan 15, 2026",$459.00,$5.55,,,Fixed price,https://www.ebay.com/itm/236583665353,1
1997 Libertad Mexico 1 troy oz .999 Fine Silver Coin x 4 BU,236583707267,"Jan 15, 2026",$461.00,$5.24,,,Fixed price,https://www.ebay.com/itm/236583707267,1
1997 Libertad Mexico 1 troy oz .999 Fine Silver Coin x 4 BU,236583780684,"Jan 15, 2026",$250.00,$5.24,,,Fixed price,https://www.ebay.com/itm/236583780684,1
⭐️Rare⭐️ 1997 Libertad .999 Fine Silver Coins 1/4oz And 1/10th oz,236597285639,"Feb 9, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236597285639,1
1997 Mexico 1/10 oz .999 Silver Libertad (B026),236637897475,"Mar 1, 2026",$58.00,$5.07,,,Fixed price,https://www.ebay.com/itm/236637897475,1
,,"Nov 12, 2025",$76.00,$4.65,,,Auction,,1
,,"Dec 10, 2025",$80.00,$5.15,,,Auction,,1
,,"Dec 21, 2025",$89.99,$5.15,,,Auction,,1
Casa de Moneda de Mexico 1997 Mexican Libertad Silver 1 oz Business Strike Coin,257343255305,"Feb 3, 2026",$150.00,$6.24,,,Fixed price,https://www.ebay.com/itm/257343255305,1
1997 Mexican $5 Pesos 1 oz .999 Silver Coin - Teotihuacan Vasij Rare!,257401478663,"Mar 22, 2026",$105.50,$6.00,,,Auction,https://www.ebay.com/itm/257401478663,1
,,"Nov 29, 2025",$100.00,$7.00,,,Auction,,1
,,"Nov 19, 2025",$130.00,$0.00,,,Auction,,1
1997 Mexico 1 oz Silver Libertad MS67 NGC,277695266423,"Feb 4, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277695266423,1
1997 Mexico 1 oz Silver Libertad MS68 PCGS,277700557379,"Feb 19, 2026",$755.25,$0.00,,,Fixed price,https://www.ebay.com/itm/277700557379,1
1997 Mexico 1 oz Silver Libertad MS67 NGC,277703511479,"Feb 9, 2026",$595.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277703511479,1
1997 Mexico 1/20th oz Silver Libertad,277708922786,"Feb 17, 2026",$32.00,$5.00,,,Auction,https://www.ebay.com/itm/277708922786,1
1997 Mexico 1 oz Silver Libertad MS68 NGC,277762980841,"Mar 1, 2026",$710.00,$8.10,,,Fixed price,https://www.ebay.com/itm/277762980841,1
1997 Mexico 1 oz Silver Libertad MS67 NGC Rainbow Toning,277793692688,"Mar 11, 2026",$550.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277793692688,1
1997 Mo Mexico Libertad Onza - 1 troy oz .999 Fine Silver Coin BU ANACS MS67,277800528899,"Mar 24, 2026",$520.00,$8.10,,,Fixed price,https://www.ebay.com/itm/277800528899,1
1997 Mexico 1 oz Silver Libertad MS69 ANACS,277821389932,"Mar 24, 2026",$765.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277821389932,1
1997 Mexico 1 oz Silver Libertad MS68 ANACS,277869786103,"Apr 7, 2026",$585.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277869786103,1
1997 Mexico 1 oz Silver Libertad MS69 NGC,287201156702,"Mar 24, 2026",$900.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287201156702,1
1997 Mexico 1 oz Silver Libertad MS69 ANACS,287201156709,"Mar 20, 2026",$650.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287201156709,1
1997 Mexico 1 oz Silver Libertad MS69 ANACS,287255151854,"Apr 6, 2026",$620.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287255151854,1
,,"Oct 20, 2025",$455.00,$5.99,,,Auction,,1
🌟 1997-Mo MEXICO NGC MS68 1 oz SILVER Libertad Mexican Mint Coin Key Date,298091126136,"Mar 7, 2026",$699.99,$0.00,,,Fixed price,https://www.ebay.com/itm/298091126136,1
1997 Mexico 1oz Silver Libertad Coin PCGS MS69 NGC Low Mintage,306714844488,"Jan 23, 2026",$760.00,$5.99,,,Auction,https://www.ebay.com/itm/306714844488,1
1997 Mo Mexico Libertad Onza - 1 troy oz .999 Fine Silver Coin BU - Key Date,306750350573,"Feb 9, 2026",$525.25,$0.00,,,Fixed price,https://www.ebay.com/itm/306750350573,1
