Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Dec 11, 2025",$69.00,$0.00,,,Fixed price,,4
,,"Oct 18, 2025",$69.99,$0.00,,,Fixed price,,2
,,"Dec 26, 2025",$78.00,$4.50,,,Fixed price,,2
1998 $5 Canada 1oz SILVER Maple Leaf - RCM 90th Ann. Privy,365472223580,"Jan 26, 2026",$118.53,$17.96,,,Fixed price,https://www.ebay.com/itm/365472223580,9
1998 Canadian $5 1oz .9999 Silver Maple Leaf 90th Anniversary RCM Privy BU,117088559499,"Mar 14, 2026",$97.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117088559499,1
1998 Canadian Maple Leaf Titanic Privy Mark 1oz 9999 Silver,117088585904,"Mar 15, 2026",$119.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117088585904,1
,,"Dec 1, 2025",$61.00,$5.50,,,Auction,,1
,,"Dec 13, 2025",$66.69,$0.00,,,Auction,,1
,,"Dec 13, 2025",$70.00,$0.00,,,Auction,,1
,,"Dec 14, 2025",$64.00,$0.00,,,Auction,,1
,,"Dec 15, 2025",$68.19,$0.00,,,Auction,,1
,,"Dec 16, 2025",$66.88,$0.00,,,Auction,,1
,,"Dec 17, 2025",$73.00,$0.00,,,Auction,,1
,,"Dec 23, 2025",$73.00,$0.00,,,Auction,,1
,,"Dec 23, 2025",$76.99,$0.00,,,Auction,,1
1998 Canadian 1 oz .9999 Silver Maple Leaf/Titanic Privy #12400-2,127641587080,"Mar 10, 2026",$131.67,$5.96,,,Fixed price,https://www.ebay.com/itm/127641587080,1
2012 Canadian Maple Leaf - 1 Troy Ounce .9999 Silver BU,127659199872,"Feb 19, 2026",$100.00,$5.29,,,Fixed price,https://www.ebay.com/itm/127659199872,1
1998 $5 Canadian Maple Leaf ANACS SP69 1oz Silver Titanic Privy Rare,136269151737,"Feb 5, 2026",$139.99,$4.99,,,Fixed price,https://www.ebay.com/itm/136269151737,1
,,"Dec 6, 2025",$64.11,$0.00,,,Auction,,1
,,"Dec 14, 2025",$64.33,$0.00,,,Auction,,1
,,"Dec 14, 2025",$67.09,$0.00,,,Auction,,1
,,"Dec 15, 2025",$67.17,$0.00,,,Auction,,1
,,"Dec 14, 2025",$120.00,$5.15,,,Fixed price,,1
,,"Dec 14, 2025",$95.00,$4.87,,,Fixed price,,1
,,"Dec 14, 2025",$95.00,$4.87,,,Fixed price,,1
,,"Dec 12, 2025",$175.00,$4.92,,,Fixed price,,1
,,"Dec 12, 2025",$170.00,$4.65,,,Fixed price,,1
,,"Dec 12, 2025",$180.00,$4.80,,,Fixed price,,1
,,"Dec 22, 2025",$72.99,$0.00,,,Auction,,1
,,"Dec 22, 2025",$75.10,$0.00,,,Auction,,1
,,"Dec 22, 2025",$73.88,$0.00,,,Auction,,1
,,"Dec 24, 2025",$77.00,$0.00,,,Auction,,1
1998 Canada 1 oz .9999 Silver Maple Leaf TITANIC PRIVY,136940434809,"Jan 18, 2026",$124.48,$0.00,,,Auction,https://www.ebay.com/itm/136940434809,1
1 oz Silver Canadian Maple Leaf Coin .9999 Pure BU. 1998. Free Shipping. B17,136992473004,"Jan 28, 2026",$124.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136992473004,1
1998 Canada Maple Leaf with Lunar Tiger Privy 1 oz Silver Coin - Low mintage,137157843959,"Mar 29, 2026",$83.88,$4.99,,,Auction,https://www.ebay.com/itm/137157843959,1
1998 1 Oz Silver Maple Leaf MS66 PCGS,146799638003,"Jan 17, 2026",$88.00,$5.00,,,Fixed price,https://www.ebay.com/itm/146799638003,1
,,"Dec 8, 2025",$55.00,$8.40,,,Fixed price,,1
,,"Dec 29, 2025",$91.99,$0.00,,,Fixed price,,1
,,"Dec 27, 2025",$85.00,$8.40,,,Fixed price,,1
,,"Jan 12, 2026",$89.99,$5.99,,,Fixed price,,1
"4 CANADA .9999 SILVER MAPLE LEAF BU COINS, 1 - 1997 & 3 - 1998 (IN MINT POUCH)",147088935623,"Jan 19, 2026",$403.00,$0.00,,,Auction,https://www.ebay.com/itm/147088935623,1
Six 1998 Canada $5 1oz Silver Maple Leafs in Mint Plastic,147118350935,"Feb 2, 2026",$541.13,$0.00,,,Auction,https://www.ebay.com/itm/147118350935,1
"1988, 1989, 1989, 1998, and 2013 Canada $5 1oz Silver Maple Leafs",147246398891,"Apr 14, 2026",$403.00,$0.00,,,Auction,https://www.ebay.com/itm/147246398891,1
"1998 Canadian 1 oz Silver Maple Leaf, Titanic Privy",157086550431,"Mar 1, 2026",$135.00,$5.00,,,Fixed price,https://www.ebay.com/itm/157086550431,1
,,"Nov 12, 2025",$65.01,$4.99,,,Fixed price,,1
,,"Nov 25, 2025",$55.00,$4.99,,,Fixed price,,1
,,"Nov 3, 2025",$353.63,$6.37,,,Fixed price,,1
1998 $5 Silver Maple Leaf Titanic Privy 186 of 394 ANACS SP69 Rev Proof #14530,157501546811,"Jan 19, 2026",$107.50,$10.70,,,Fixed price,https://www.ebay.com/itm/157501546811,1
,,"Jan 6, 2026",$78.95,$15.00,,,Fixed price,,1
1873-1998 Royal Canadian Mounted Police 1 oz Silver Maple Leaf Privy & Stamp Set,157633139734,"Feb 2, 2026",$119.99,$18.00,,,Auction,https://www.ebay.com/itm/157633139734,1
,,"Jan 18, 2026",$124.48,$0.00,,,Auction,,1
,,"Jan 17, 2026",$88.00,$5.00,,,Fixed price,,1
1998 Canada Silver Maple $5 Coin .999 Silver - in RCM Mint Plastic,157674409280,"Feb 10, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157674409280,1
1998 Canada Maple Leaf 1 oz .9999 Fine Silver Coin BU [J5],157809349570,"Apr 15, 2026",$97.01,$5.30,,,Auction,https://www.ebay.com/itm/157809349570,1
,,"Nov 7, 2025",$605.00,$10.51,,,Auction,,1
,,"Dec 30, 2025",$76.00,$4.50,,,Fixed price,,1
,,"Jan 18, 2026",$113.95,$8.00,,,Fixed price,,1
1998-2009 Canada 12 1oz silver Lunar privy maple leaf set bullion coin,168034736608,"Jan 24, 2026","$1,350.00",$8.00,,,Fixed price,https://www.ebay.com/itm/168034736608,1
,,"Jan 12, 2026",$117.50,$4.76,,,Auction,,1
1998 Canada 1 oz .999 Silver Maple Leaf Coin TITANIC PRIVY - Minor Toning,168095170242,"Jan 19, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168095170242,1
1998 Canada $5 1oz RCMP Privy Mark Silver Maple Leaf Bullion coin,168131441624,"Apr 9, 2026",$129.95,$25.00,,,Fixed price,https://www.ebay.com/itm/168131441624,1
1998 Canada 1 oz Silver Maple Leaf Titanic Privy,168201246510,"Mar 6, 2026",$140.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168201246510,1
1998 Canada Maple Leaf RCM 90th Anniversary Privy 1 oz Silver Coin,175235945027,"Jan 13, 2026",$84.95,$16.95,,,Fixed price,https://www.ebay.com/itm/175235945027,1
,,"Oct 30, 2025",$63.00,$0.00,,,Fixed price,,1
1998 Canada 1 oz Silver Maple Leaf Titanic Privy 86th Anniversary,177283011643,"Mar 8, 2026",$150.00,$7.70,,,Fixed price,https://www.ebay.com/itm/177283011643,1
,,"Jan 9, 2026",$84.99,$5.95,,,Fixed price,,1
Canada Maple Leaf 1998 $5 silver with Titanic privy Uncirculated Sealed,186667400583,"Feb 21, 2026",$145.00,$4.00,,,Fixed price,https://www.ebay.com/itm/186667400583,1
1998 1 Oz .9999 Silver Canada Maple Leaf with Zodiac Series Tiger Privy Mark!!,187395657194,"Jan 27, 2026",$150.00,$8.10,,,Fixed price,https://www.ebay.com/itm/187395657194,1
,,"Oct 31, 2025",$80.00,$26.00,,,Fixed price,,1
,,"Dec 16, 2025",$56.00,$4.95,,,Auction,,1
Vintage 1998 1 Oz .9999 Silver Canada Maple Leaf With Titanic Privy Mark In Case,187984178156,"Mar 21, 2026",$165.00,$24.80,,,Fixed price,https://www.ebay.com/itm/187984178156,1
1998 $5 CANADA 1oz .9999 FINE SILVER MAPLE LEAF,188095429735,"Feb 26, 2026",$87.00,$5.20,,,Auction,https://www.ebay.com/itm/188095429735,1
,,"Nov 8, 2025",$65.23,$6.00,,,Auction,,1
,,"Dec 28, 2025",$76.00,$4.92,,,Auction,,1
,,"Dec 22, 2025",$430.00,$0.00,,,Fixed price,,1
Gem BU 1998 Canada Maple Leaf Titanic 86yh Anniv Privy 1 OZ 999 Silver Coin 6090,198021327971,"Jan 24, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198021327971,1
1998 CANADA SILVER MAPLE LEAF ~ TITANIC PRIVY ~ 1 OZ COIN BU w/ Holder,198116372937,"Feb 20, 2026",$99.95,$5.95,,,Fixed price,https://www.ebay.com/itm/198116372937,1
Canada 1998 $5 1 oz Pure Silver Maple 1908-1998 Anniversary of RCM Privy ~ RARE,198142633167,"Mar 4, 2026",$110.00,$6.50,,,Fixed price,https://www.ebay.com/itm/198142633167,1
Canada 1998 $5 1 oz Pure Silver Maple 1908-1998 Anniversary of RCM Privy ~ $110,198154989805,"Mar 4, 2026",$104.50,$6.50,,,Fixed price,https://www.ebay.com/itm/198154989805,1
1998 CANADA SILVER MAPLE LEAF ~ TITANIC PRIVY ~ 1 OZ COIN BU w/ Holder,198229020976,"Apr 4, 2026",$94.95,$5.95,,,Fixed price,https://www.ebay.com/itm/198229020976,1
"1998 Canada Royal Canadian Mint Silver Maple Leaf, 5 Dollar Coin, 1 OZ Silver",198266362805,"Apr 15, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/198266362805,1
,,"Oct 24, 2025",$57.00,$0.00,,,Auction,,1
,,"Nov 4, 2025",$45.00,$4.76,,,Fixed price,,1
,,"Dec 7, 2025",$65.00,$3.50,,,Auction,,1
