Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1999-W Gold Eagle 1/4 oz Proof NGC PF-69,140402651749,12/29/2025,"$1,335.07",Free,Certified,govmint_official,Auction,https://www.ebay.com/itm/140402651749
1999-W American Gold Eagle Proof NGC PF69 Ultra Cameo UFD,392431394127,1/28/2026,"$8,502.00",Free,Certified,silvertowne,Buy It Now,https://www.ebay.com/itm/392431394127
1999-W Gold Eagle Proof NGC PF-69 DCAM Unfinished Dies Error,198322651141,2/9/2026,"$10,189.86",Free,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/198322651141
1999-W American Gold Eagle Proof NGC PF69 Ultra Cameo UFD,112097397210,12/26/2025,"$9,081.01",Free,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/112097397210
1999-W Gold Eagle Proof PCGS PF-69 DCAM Unfinished Dies Error,231779375476,2/9/2026,"$9,753.01",Free,Certified,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/231779375476
1999-W American Gold Eagle 1 oz Proof Unfinished Proof Dies,311936752429,1/29/2026,"$7,413.36",$4.99,Certified,sdbullion,Buy It Now,https://www.ebay.com/itm/311936752429
1999-W Gold Eagle Proof PCGS PF-69 DCAM Unfinished Dies Error,339187224395,11/26/2025,"$9,914.52",Free,Certified,govmint_official,Buy It Now,https://www.ebay.com/itm/339187224395
1999-W American Gold Eagle Proof PCGS PF69 Ultra Cameo UFD,381265663397,1/2/2026,"$8,124.60",$3.99,Certified,apmex,Auction,https://www.ebay.com/itm/381265663397
1999-W American Gold Eagle 1 oz Proof NGC PF-69 DCAM,189514688676,12/27/2025,"$5,419.06",Free,Certified,jmbullion,Buy It Now,https://www.ebay.com/itm/189514688676
1999-W Gold Eagle Proof NGC PF-69 DCAM Unfinished Dies Error,248419312427,2/12/2026,"$9,855.08",Free,Certified,keydate_coins,Best Offer,https://www.ebay.com/itm/248419312427
1999-W American Gold Eagle Proof PCGS PF69 Ultra Cameo UFD,318590139637,1/10/2026,"$9,333.37",Free,Certified,boldpreciousmetals,Auction,https://www.ebay.com/itm/318590139637
1999-W Gold Eagle 1oz Proof OGP COA,263028828074,1/3/2026,"$5,578.58",Free,Uncirculated,govmint_official,Auction,https://www.ebay.com/itm/263028828074
1999-W Gold Eagle 1oz Proof OGP COA,387781936215,12/24/2025,"$5,330.00",Free,Uncirculated,bullionshark,Buy It Now,https://www.ebay.com/itm/387781936215
1999-W American Gold Eagle 1/2 oz Proof,354434864750,11/28/2025,"$2,748.26",Free,Uncirculated,greatcollections,Auction,https://www.ebay.com/itm/354434864750
1999-W American Gold Eagle 1 oz Proof Unfinished Proof Dies,233395138339,12/12/2025,"$7,070.08",$5.99,Certified,govmint_official,Auction,https://www.ebay.com/itm/233395138339
1999-W American Gold Eagle 1 oz Proof Unfinished Proof Dies,195313742387,2/19/2026,"$7,071.52",Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/195313742387
1999-W American Gold Eagle Proof PCGS PF69 Ultra Cameo UFD,341447289798,2/10/2026,"$8,361.25",Free,Certified,liberty_coin,Buy It Now,https://www.ebay.com/itm/341447289798
1999-W American Gold Eagle 1 oz Proof Unfinished Proof Dies,395160104316,12/26/2025,"$9,501.32",Free,Certified,moderncoinmart,Best Offer,https://www.ebay.com/itm/395160104316
1999-W Gold Eagle PCGS PF-70 DCAM Unfinished Proof Dies,350925341407,12/17/2025,"$21,924.88",$3.99,Certified,apmex,Best Offer,https://www.ebay.com/itm/350925341407
1999-W American Gold Eagle Proof PCGS PF69 Ultra Cameo UFD,340139243797,11/25/2025,"$9,554.93",$4.99,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/340139243797
1999-W American Gold Eagle 1 oz Proof Unfinished Proof Dies,210021497277,12/16/2025,"$9,716.55",Free,Certified,silvertowne,Auction,https://www.ebay.com/itm/210021497277
1999-W Gold Eagle 1/4 oz Proof PCGS PF-69,226508735103,2/17/2026,"$1,444.26",Free,Certified,moderncoinmart,Buy It Now,https://www.ebay.com/itm/226508735103
