Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"1999 - 2008 S Complete 50 State Proof Quarter Set OGP US Mint Box , COA Lot 2251",376493735281,"May 12, 2026",$77.80,$41.40,,,Fixed price,https://www.ebay.com/itm/376493735281,161
"1999 - 2008 S Complete 50 State Proof Quarter Set OGP US Mint Box , COA Lot 2251",375918844546,"May 12, 2026",$68.63,$14.73,,,Fixed price,https://www.ebay.com/itm/375918844546,122
1999-S US Mint Proof Set 9 Coin Set OGP Original Government Packaging COA,145685744106,"May 7, 2026",$15.99,$11.21,,,Fixed price,https://www.ebay.com/itm/145685744106,81
1999-2008 US Mint Proof Sets OGP Box & COA Lot of 109 Coins 10 Annual Sets Lot,375937583166,"May 12, 2026",$128.03,$16.54,,,Fixed price,https://www.ebay.com/itm/375937583166,67
US Mint 10 Annual Proof Sets 1999-2008 OGP Box & COA 109 Coins Estate Sale Lot,376486208954,"May 9, 2026",$138.52,$51.17,,,Fixed price,https://www.ebay.com/itm/376486208954,49
1990-1999 S Lincoln Memorial Cent Gem Deep Cameo Proof Run 10 Coin Set US Mint,273110170359,"Apr 24, 2026",$37.19,$4.79,,,Fixed price,https://www.ebay.com/itm/273110170359,33
1999-2008 US Mint Proof Sets OGP Box & COA Lot 109 Coins (10 Annual Sets),145685704180,"Apr 7, 2026",$137.20,$36.63,,,Fixed price,https://www.ebay.com/itm/145685704180,28
1990-1999 S Kennedy Half Dollar Gem Cameo Proof Run 10 Coin Set CN-Clad US Mint.,272841746041,"May 11, 2026",$49.30,$6.19,,,Fixed price,https://www.ebay.com/itm/272841746041,23
1999-2009 US Mint Statehood Quarter Proof Sets Box & COA Lot of 56 Coins,145276920491,"May 3, 2026",$84.63,$0.00,,,Fixed price,https://www.ebay.com/itm/145276920491,19
1968-S - 1999-S PROOF Kennedy Half Dollar 31 Coins Collection From US Proof Sets,405358186375,"Apr 26, 2026",$145.96,$0.00,,,Fixed price,https://www.ebay.com/itm/405358186375,18
1990~1999 S Roosevelt Dime Gem Proof Clad Run 10 Coin Decade Set US Mint Lot,401339602414,"May 1, 2026",$20.24,$4.42,,,Fixed price,https://www.ebay.com/itm/401339602414,17
1999-2009 US Mint Proof Sets with Box & COA Lot of 127 Coins (11 Annual Sets),144710695813,"Feb 22, 2026",$154.89,$0.00,,,Fixed price,https://www.ebay.com/itm/144710695813,16
