Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2005 ** Australian Lunar ** Year of the Rooster ** 1oz Silver ** NGC MS70 **,366509390502,"Sep 5, 2026",$195.00,$0.00,,,Fixed price,https://www.ebay.com/itm/366509390502,1
2005 Australia Lunar 1oz Silver Year of the Rooster Perth Series 1 In Capsule,227483402305,"Sep 4, 2026",$103.95,$0.00,,,Fixed price,https://www.ebay.com/itm/227483402305,1
"6 Gilded Coins 1oz 2005 Rooster 2000 Dragon 2002 Horse 2010 & 2018, 1/2 oz 2016",128027094952,"Aug 21, 2026",$510.00,$0.00,,,Auction,https://www.ebay.com/itm/128027094952,1
2005 Australia Lunar Year of the Rooster 1oz .999 Silver Perth Mint BU W Capsule,227444431182,"Jul 30, 2026",$89.99,$0.00,,,Auction,https://www.ebay.com/itm/227444431182,1
2005 Australia Lunar Rooster $1 NGC MS70 1oz .999 Fine Silver Coin Perth Mint,377350690490,"Jul 24, 2026",$160.50,$6.24,,,Auction,https://www.ebay.com/itm/377350690490,1
2005 Australia 1oz Silver Year of the ROOSTER GILDED PCGS MS69⭐️Lunar SERIES I⭐️,326766711499,"Jul 21, 2026",$189.95,$5.83,,,Fixed price,https://www.ebay.com/itm/326766711499,1
2005 $1 LUNAR YEAR OF ROOSTER 🐓 1Oz. l SILVER AUSTRALIA NGC MS70 low pop,134253586554,"May 30, 2026",$350.00,$6.24,,,Fixed price,https://www.ebay.com/itm/134253586554,1
,,"Mar 27, 2026",$149.95,$5.83,,,Fixed price,,1
,,"Mar 15, 2026",$115.50,$5.00,,,Auction,,1
,,"Feb 21, 2026",$149.60,$7.00,,,Auction,,1
