Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Jan 11, 2026",$125.06,$17.50,,,Fixed price,,2
,,"Jan 22, 2026",$142.83,$16.15,,,Fixed price,,2
,,"Mar 3, 2026",$99.00,$0.00,,,Fixed price,,1
,,"Jan 18, 2026",$125.00,$7.89,,,Fixed price,,1
,,"Jan 18, 2026",$290.00,$0.00,,,Auction,,1
,,"Mar 3, 2026",$460.00,$0.00,,,Auction,,1
,,"Mar 26, 2026",$69.99,$5.00,,,Fixed price,,1
2018 Canada 1oz silver Lucky Dragon,137181219069,"Apr 18, 2026",$110.00,$4.85,,,Fixed price,https://www.ebay.com/itm/137181219069,1
2018 $5 Canada Silver Maple Leaf Incuse Design 1oz .9999 Silver NGC MS70,137187531985,"May 13, 2026",$139.95,$0.00,,,Fixed price,https://www.ebay.com/itm/137187531985,1
2017 and 2018 Canada $5 1oz Silver Maple Leafs with Privies,137350836517,"Jun 3, 2026",$212.26,$0.00,,,Auction,https://www.ebay.com/itm/137350836517,1
,,"Mar 18, 2026",$125.00,$0.00,,,Fixed price,,1
,,"Jan 11, 2026",$137.95,$0.00,,,Fixed price,,1
,,"Jan 21, 2026",$108.00,$0.00,,,Auction,,1
,,"Feb 11, 2026",$91.00,$0.00,,,Auction,,1
,,"Feb 13, 2026",$91.00,$0.00,,,Auction,,1
,,"Feb 14, 2026",$89.00,$0.00,,,Auction,,1
2018 Canada 1oz .9999 Fine Silver Maple Leaf with Edison Lightbulb Privy,157791834921,"Apr 3, 2026",$99.00,$5.52,,,Auction,https://www.ebay.com/itm/157791834921,1
,,"Jan 29, 2026",$137.75,$5.20,,,Fixed price,,1
,,"Jan 7, 2026",$92.00,$2.66,,,Auction,,1
,,"Jan 23, 2026",$144.95,$8.00,,,Fixed price,,1
2018 Canada $5 1oz Silver Maple Leaf ANA Privy Mark Pennsylvania Bullion Coin,168106630705,"May 6, 2026",$139.95,$10.00,,,Fixed price,https://www.ebay.com/itm/168106630705,1
,,"Feb 3, 2026",$97.00,$4.99,,,Fixed price,,1
,,"Feb 24, 2026",$183.95,$20.00,,,Fixed price,,1
,,"Feb 24, 2026",$183.95,$2.00,,,Fixed price,,1
2018 Canada $5 1oz Edison Light Bulb Privy Mark Maple Leaf Silver Bullion coin,168330965411,"May 12, 2026",$144.95,$8.00,,,Fixed price,https://www.ebay.com/itm/168330965411,1
2018 1oz Canadian Maple Leaf Incuse Design NGC MS69,168334512115,"May 3, 2026",$85.00,$6.00,,,Auction,https://www.ebay.com/itm/168334512115,1
,,"Feb 17, 2026",$99.00,$4.99,,,Fixed price,,1
2018 $5 Canada Silver Maple Leaf Incuse Design 1oz .9999 Silver NGC MS70 FDOP,188333379961,"May 3, 2026",$137.95,$0.00,,,Fixed price,https://www.ebay.com/itm/188333379961,1
,,"Jan 4, 2026",$98.00,$5.00,,,Auction,,1
,,"Jan 11, 2026",$99.00,$4.95,,,Fixed price,,1
,,"Jan 18, 2026",$107.00,$5.52,,,Fixed price,,1
,,"Jan 18, 2026",$110.00,$5.29,,,Fixed price,,1
,,"Feb 4, 2026",$108.00,$5.52,,,Fixed price,,1
,,"Jan 17, 2026",$89.75,$0.00,,,Fixed price,,2
,,"Feb 3, 2026",$100.00,$1.51,,,Auction,,1
*RARE* 2018 1oz SILVER $5 Canadian Grim Reaper Smoke #97 of 200 Black Ruthenium,227269997259,"Apr 10, 2026",$125.00,$5.87,,,Fixed price,https://www.ebay.com/itm/227269997259,1
2018 BU Silver Canada MAPLE LEAF W/ LEAF PRIVY 1oz .9999 SILVER $5 Coin #MF-3019,236874489612,"Jun 19, 2026",$73.00,$1.96,,,Auction,https://www.ebay.com/itm/236874489612,1
,,"Jan 17, 2026",$380.00,$5.26,,,Auction,,1
,,"Jan 19, 2026",$114.06,$4.00,,,Auction,,1
,,"Jan 16, 2026",$90.00,$4.50,,,Fixed price,,1
,,"Jan 20, 2026",$95.00,$4.50,,,Fixed price,,1
2018 $5 Canada Silver Maple Leaf Incuse Design 1oz .9999 Silver NGC MS70 Free SH,257444309522,"Apr 26, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/257444309522,1
,,"Jan 18, 2026",$98.50,$7.95,,,Fixed price,,1
,,"Feb 10, 2026",$159.90,$9.99,,,Fixed price,,1
,,"Feb 28, 2026",$100.00,$8.72,,,Fixed price,,1
,,"Mar 7, 2026",$595.00,$7.00,,,Auction,,1
,,"Feb 25, 2026",$95.00,$8.10,,,Fixed price,,1
,,"Jan 15, 2026",$108.00,$4.87,,,Auction,,1
,,"Feb 25, 2026",$600.00,$0.00,,,Fixed price,,1
,,"Jan 13, 2026",$550.00,$0.00,,,Fixed price,,1
