Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
South Africa 1967 1oz Proof-Like First Year Gold Krugerrand w Original Envelope,336666370394,"Jul 2, 2026","$4,995.00",$0.00,,,Fixed price,https://www.ebay.com/itm/336666370394,1
Lighthouse 1oz Gold Krugerrand Ultra Perfect Fit Coin Capsules Pack of 10,287351589400,"Jun 24, 2026",$7.50,$8.50,,,Fixed price,https://www.ebay.com/itm/287351589400,2
5 Lighthouse QUICKSLAB Coin Holder 32mm 1oz Gold Krugerrand Slab Capsule Case,322551489019,"Jun 21, 2026",$18.90,$0.00,,,Fixed price,https://www.ebay.com/itm/322551489019,1
GENUINE Air Tight Coin Capsule Holder w 32mm BLACK Ring for 1oz Gold Krugerrand,145737899812,"Jun 20, 2026",$1.75,$4.92,,,Fixed price,https://www.ebay.com/itm/145737899812,17
GENUINE Airtite Coin Capsule Holder w 32mm White Ring for 1oz GOLD Krugerrand,145737940330,"Jun 16, 2026",$1.75,$5.83,,,Fixed price,https://www.ebay.com/itm/145737940330,1
1967 South African Krugerrand 1oz Gold Proof Coin - Low Mintage and NGC PF66,306974803102,"Jun 9, 2026","$8,700.00",$15.32,,,Fixed price,https://www.ebay.com/itm/306974803102,1
10 Direct Fit 33mm Coin Capsules for South Africa 1oz Gold Krugerrand,116452878099,"May 26, 2026",$6.07,$5.16,,,Fixed price,https://www.ebay.com/itm/116452878099,5
"Africa Krugerrand 1978, 1967, 1974, 2020, 2013; 1OZ Gold For Collectors Replica",298234280857,"May 26, 2026",$70.00,$7.50,,,Fixed price,https://www.ebay.com/itm/298234280857,4
2020 Silver S. Africa Krugerrand 1oz .999 Silver 24k Gilded Gold in Case + Bonus,227349366677,"May 25, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227349366677,1
NobleSpirit (AC) SUPERB GEM BU 1978 Krugerrand 1oz GOLD Early Better Date,298315598506,"May 20, 2026","$4,512.00",$8.00,,,Auction,https://www.ebay.com/itm/298315598506,1
"2018 S, Africa 1oz Silver Krugerrand Great Wall Privy PCGS MS70 Gold Shield",236630925884,"May 11, 2026",$250.00,$8.30,,,Fixed price,https://www.ebay.com/itm/236630925884,1
2019 S.A Big 5 Krugerrand 1oz Lion Privy FDOI NGC PF70 Ultra Cameo Signed K,227332886307,"May 10, 2026","$6,850.00",$0.00,,,Fixed price,https://www.ebay.com/itm/227332886307,1
"1978 Collector's 1oz Gold Krugerrand Coin, South African",257496163462,"May 7, 2026","$4,425.00",$0.00,,,Fixed price,https://www.ebay.com/itm/257496163462,1
2017 S Africa Silver Krugerrand 1oz 50th Ann. Issue with Gilded 24kt Gold,287285459885,"May 5, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287285459885,1
2019 S.A Big 5 Krugerrand 1oz Elephant 🐘 Privy FDOI NGC PF70 Ultra Cameo Signed,127839025434,"May 4, 2026","$5,900.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127839025434,1
Africa Krugerrand 1978 1OZ Gold Coin For Collectors Replica South Africa Replica,298223228118,"Apr 28, 2026",$19.95,$9.45,,,Fixed price,https://www.ebay.com/itm/298223228118,1
NobleSpirit Highly Desirable So. Africa 1976 Krugerrand 1oz Fine GOLD,298237074636,"Apr 24, 2026","$4,651.00",$8.00,,,Auction,https://www.ebay.com/itm/298237074636,1
2019 S Africa BIG 5 1oz Gold Krugerrand Lion Privy & 1oz Silver 5R NGC PR 70 UC,298147666436,"Apr 20, 2026","$6,999.00",$0.00,,,Fixed price,https://www.ebay.com/itm/298147666436,1
Nobile Quadrum 2 Gold 1oz Krugerrand 32mm Capsule Case Coin Holder + Display Box,222542934973,"Apr 19, 2026",$22.40,$0.00,,,Fixed price,https://www.ebay.com/itm/222542934973,2
Krugerrand 1oz Gold 22k Coin,157844296076,"Apr 19, 2026",$200.00,$8.29,,,Auction,https://www.ebay.com/itm/157844296076,1
"2018 S, Africa 1oz Silver Krugerrand Great Wall Privy PCGS MS70 Gold Shield",267643765865,"Apr 19, 2026",$215.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267643765865,1
