Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2024 Mexico 1oz Silver Libertad PCGS PR70 DCAM Flag Picture Frame,404990667202,"Jun 12, 2026",$196.34,$0.00,,,Fixed price,https://www.ebay.com/itm/404990667202,74
2024 Mexico 1oz Silver Libertad PCGS PR70 DCAM Flag Label,134825951298,"Apr 25, 2026",$182.20,$0.00,,,Fixed price,https://www.ebay.com/itm/134825951298,79
2021 Mexico 1oz Silver Libertad PCGS Brilliant Uncirculated - Flag Label,364936826313,"Jun 12, 2026",$117.27,$0.00,,,Fixed price,https://www.ebay.com/itm/364936826313,71
10 Air Tight Direct Fit Coin Capsules for Mexican 1oz Silver Libertad 1996-Pres,146905154824,"Jun 20, 2026",$6.84,$5.99,,,Fixed price,https://www.ebay.com/itm/146905154824,97
2022 Mexico 1oz Silver Libertad PCGS MS69 - Flag Picture Frame,405308068049,"Jan 28, 2026",$121.46,$0.00,,,Fixed price,https://www.ebay.com/itm/405308068049,80
,,"Jan 9, 2026",$116.72,$19.91,,,Fixed price,,79
2021 Mexico 1oz Silver Libertad PCGS MS69 - Flag Label,364906052198,"Jun 16, 2026",$127.94,$0.00,,,Fixed price,https://www.ebay.com/itm/364906052198,35
,,"Jan 26, 2026",$44.71,$0.00,,,Fixed price,,28
Capsule Tube & 15 Air-Tite X36mm Coin Capsules 1oz Silver Libertad (1982-1995),275137729656,"Jun 11, 2026",$29.87,$0.00,,,Fixed price,https://www.ebay.com/itm/275137729656,19
,,"Jan 12, 2026",$119.00,$0.00,,,Fixed price,,74
"Air-Tite X36mm Coin Capsules for 1oz Silver Libertad (1982-1995), Pack of 10",274021691257,"Apr 23, 2026",$20.66,$6.55,,,Fixed price,https://www.ebay.com/itm/274021691257,14
,,"Jan 23, 2026",$122.92,$5.53,,,Fixed price,,13
,,"Jan 30, 2026",$147.61,$0.00,,,Fixed price,,13
25 Direct Fit 40mm Airtight Holder Capsules for 1oz Mexican Silver Libertad Coin,116312125498,"May 5, 2026",$7.16,$0.00,,,Fixed price,https://www.ebay.com/itm/116312125498,14
2013 Mexico Libertad Onza 1oz .999 Silver NGC MS69 **LIGHT RIM HAZING**,206112449073,"Apr 15, 2026",$118.10,$6.27,,,Fixed price,https://www.ebay.com/itm/206112449073,13
,,"Jan 26, 2026",$36.21,$0.00,,,Fixed price,,23
"AirTite X36mm Coin Capsules for 1oz Silver Libertad (1982-1995), Pack of 3",283572078695,"May 24, 2026",$12.22,$0.00,,,Fixed price,https://www.ebay.com/itm/283572078695,16
