Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"2000-P Proof $1 American Silver Eagle Box, OGP & COA",314588116495,"May 1, 2026",$106.09,$0.00,,,Fixed price,https://www.ebay.com/itm/314588116495,87
2000 American Silver Eagle Millennium Set MS69 PCGS Blue Lbl,364584983396,"Mar 14, 2026",$95.96,$0.00,,,Fixed price,https://www.ebay.com/itm/364584983396,63
[Removed] Item 406710967040,406710967040,"Mar 24, 2026",$51.45,$0.00,,,Fixed price,,122
2000 $1 American Silver Eagle NGC MS69 Brown Label,176510554505,"Apr 29, 2026",$104.95,$0.00,,,Fixed price,https://www.ebay.com/itm/176510554505,34
2000-P Proof $1 American Silver Eagle NGC PF69UC Brown Label,314838101871,"Apr 27, 2026",$111.27,$0.00,,,Fixed price,https://www.ebay.com/itm/314838101871,36
"2000-P $1 1-oz Proof American Silver Eagle w/ Box, OGP &COA",145639018687,"Mar 23, 2026",$103.93,$0.00,,,Fixed price,https://www.ebay.com/itm/145639018687,31
2000 American Silver Eagle Millennium Set Gem BU PCGS Blue Label,365961631412,"Jan 30, 2026",$82.04,$0.00,,,Fixed price,https://www.ebay.com/itm/365961631412,26
2024 1 oz US Silver Eagle Coin (BU)-FAST SHIPPING --New &,137104246746,"Apr 18, 2026",$18.43,$0.00,,,Fixed price,https://www.ebay.com/itm/137104246746,35
[Removed] Item 287133709914,287133709914,"Feb 26, 2026",$9.84,$0.00,,,Fixed price,,31
2000 American Silver Eagle Coin - NGC MS69,376268420718,"May 3, 2026",$102.84,$0.00,,,Fixed price,https://www.ebay.com/itm/376268420718,19
[Removed] Item 116983556003,116983556003,"Feb 24, 2026",$10.39,$0.00,,,Fixed price,,30
2000 $1 1-oz American Silver Eagle NGC MS69 Brown Label,135182129839,"May 6, 2026",$103.21,$0.00,,,Fixed price,https://www.ebay.com/itm/135182129839,22
2000-P American Silver Eagle Dollar PR69DCAM PCGS Proof 69 Deep Cameo,362733294040,"Apr 4, 2026",$130.44,$0.00,,,Fixed price,https://www.ebay.com/itm/362733294040,13
,,"Feb 4, 2026",$156.12,$5.31,,,Fixed price,,12
2000-P Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,145620046874,"Mar 6, 2026",$116.82,$0.00,,,Fixed price,https://www.ebay.com/itm/145620046874,12
,,"Jan 18, 2026",$59.99,$0.00,,,Fixed price,,28
2025 NGC MS70 Silver Eagle - Gold Core - 1 of 2000 - Early Releases - Las Vegas,157200590962,"Mar 31, 2026",$100.11,$10.09,,,Fixed price,https://www.ebay.com/itm/157200590962,13
2000 P American Silver Eagle Bullion Proof $1 Coin Collectible OGP COA,366122412305,"May 4, 2026",$127.16,$0.00,,,Fixed price,https://www.ebay.com/itm/366122412305,12
2000-P American Silver Eagle 1 Oz PF70 UCAM NGC Brown Label,124822713148,"Apr 22, 2026",$306.01,$0.00,,,Fixed price,https://www.ebay.com/itm/124822713148,7
,,"Feb 7, 2026",$85.00,$0.00,,,Fixed price,,20
2025 American Statue of Liberty Eagle Commemorative Coin,168146007469,"Mar 3, 2026",$27.05,$8.90,,,Fixed price,https://www.ebay.com/itm/168146007469,18
2000-P (PF70 Ultra Cameo) Proof American Silver Eagle $1 ASE NGC,187688538673,"Jan 21, 2026",$258.56,$0.00,,,Fixed price,https://www.ebay.com/itm/187688538673,7
2000 P PROOF SILVER EAGLE NGC PF70 Ultra Cameo Thomas Uram signed,197836000581,"Mar 22, 2026",$307.86,$8.49,,,Fixed price,https://www.ebay.com/itm/197836000581,7
2000-P American Silver Eagle Proof Coin 1 Oz,365896075778,"Jan 31, 2026",$116.23,$0.00,,,Fixed price,https://www.ebay.com/itm/365896075778,8
2000-P $1 1-oz Proof American Silver Eagle NGC PF69UC Brown Label,386839017853,"Mar 19, 2026",$110.70,$0.00,,,Fixed price,https://www.ebay.com/itm/386839017853,7
American Eagle Liberty Souvenir Coin Double Eagle Lucky Gold Silver Medal,116983490150,"Feb 26, 2026",$9.14,$0.00,,,Fixed price,https://www.ebay.com/itm/116983490150,9
2000-2025 American Silver Eagle Colorized Washington Crossing The Delaware,135788671888,"Jan 5, 2026",$82.95,$0.00,,,Fixed price,https://www.ebay.com/itm/135788671888,21
2000 Millennium Set MS69 American Silver Eagle NGC Brown Label,363754824073,"Dec 9, 2025",$70.81,$0.00,,,Fixed price,https://www.ebay.com/itm/363754824073,6
American Eagle Liberty Coin Commemorative Double Eagle Gold Silver Collectible,406841602166,"May 11, 2026",$12.54,$0.00,,,Fixed price,https://www.ebay.com/itm/406841602166,11
2000 American Silver Eagle .999 Fine Silver 1 oz BU • L👀K • FAST SHIPPING •,297898332829,"Jan 10, 2026",$84.97,$5.92,,,Fixed price,https://www.ebay.com/itm/297898332829,5
2000 P American Silver Eagle Proof OGP US Mint Capsule Case COA Box - No Coin,115787482393,"May 3, 2026",$12.97,$2.99,,,Fixed price,https://www.ebay.com/itm/115787482393,4
2000-P American Silver Eagle PR69 DCAM PCGS Blue Label,135788772526,"Feb 25, 2026",$108.74,$0.00,,,Fixed price,https://www.ebay.com/itm/135788772526,4
,,"Jan 11, 2026",$87.50,$8.31,,,Fixed price,,10
,,"Jan 20, 2026",$102.50,$0.00,,,Fixed price,,4
,,"Feb 8, 2026",$85.00,$0.00,,,Fixed price,,20
,,"Jan 25, 2026",$98.94,$0.00,,,Fixed price,,11
,,"Jan 22, 2026",$95.72,$0.00,,,Fixed price,,4
[Removed] Item 206148854285,206148854285,"Apr 4, 2026",$42.99,$0.00,,,Fixed price,,22
,,"Jan 17, 2026",$60.00,$0.00,,,Fixed price,,11
,,"Jan 23, 2026",$92.00,$10.75,,,Fixed price,,9
U.S. Mint 2000 American Eagle 1 oz Silver Coin .999 Fine. Original display box.,336556201378,"May 1, 2026",$84.25,$0.00,,,Fixed price,https://www.ebay.com/itm/336556201378,4
,,"Dec 4, 2025",$61.00,$0.00,,,Fixed price,,7
2000-P American Silver Eagle PROOF 1 Oz Silver - Coin & Box & COA,365896119816,"Jan 17, 2026",$91.49,$0.00,,,Fixed price,https://www.ebay.com/itm/365896119816,4
American Statue of Liberty Eagle Coin Silver Plated Commemorative Collection,406845043291,"May 10, 2026",$12.58,$0.00,,,Fixed price,https://www.ebay.com/itm/406845043291,10
Whitman Pocket Checklist of United States Coins : Dollars American Silver Eagles,135800712990,"Mar 26, 2026",$10.00,$5.45,,,Fixed price,https://www.ebay.com/itm/135800712990,3
"2000 AMERICAN EAGLE ONE OUNCE PROOF SILVER COIN, US MINT COA, CASE, ORIGINAL BOX",136943252101,"Jan 27, 2026",$106.00,$5.81,,,Fixed price,https://www.ebay.com/itm/136943252101,4
2000 - 1 oz American Silver Eagle Coin - One Troy oz .999 Bullion,141112835574,"Jan 19, 2026",$78.28,$0.00,,,Fixed price,https://www.ebay.com/itm/141112835574,3
,,"Dec 23, 2025",$64.50,$3.70,,,Fixed price,,5
2000 $1 American Silver Eagle NGC MS69 Brown Label,147271562158,"May 8, 2026",$92.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147271562158,3
[Removed] Item 177907113263,177907113263,"Mar 9, 2026",$10.49,$0.00,,,Fixed price,,3
