Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2001 British Silver Britannia PCGS MS-69,183223171208,12/21/2025,$326.45,Free,Certified,apmex,Buy It Now,https://www.ebay.com/itm/183223171208
2001 British Silver Britannia NGC MS-69,397053811199,1/10/2026,$267.85,$4.99,Certified,boldpreciousmetals,Buy It Now,https://www.ebay.com/itm/397053811199
2001 British Silver Britannia PCGS MS-69,142769753126,11/30/2025,$311.02,$5.99,Certified,sdbullion,Auction,https://www.ebay.com/itm/142769753126
2001 Great Britain 1 oz Silver Britannia Lowest Mintage,392412633521,12/25/2025,$218.94,Free,Uncirculated,apmex,Best Offer,https://www.ebay.com/itm/392412633521
2001 Great Britain 1 oz Silver Britannia Lowest Mintage,165283602362,12/24/2025,$220.96,Free,Uncirculated,bullionshark,Buy It Now,https://www.ebay.com/itm/165283602362
2001 Great Britain 1 oz Silver Britannia Lowest Mintage,106330094213,1/27/2026,$222.11,Free,Uncirculated,goldeneaglecoin,Auction,https://www.ebay.com/itm/106330094213
2001 Great Britain 1 oz Silver Britannia Lowest Mintage,142445003671,2/13/2026,$188.91,$4.99,Uncirculated,goldhillcoins,Buy It Now,https://www.ebay.com/itm/142445003671
2001 British Silver Britannia NGC MS-69,181218399079,12/12/2025,$315.64,Free,Certified,legend_numismatics,Buy It Now,https://www.ebay.com/itm/181218399079
2001 Great Britain 1 oz Silver Britannia Lowest Mintage,153664855715,1/10/2026,$236.87,Free,Uncirculated,goldeneaglecoin,Buy It Now,https://www.ebay.com/itm/153664855715
2001 British Silver Britannia NGC MS-69,381162158466,12/7/2025,$242.15,Free,Certified,goldeneaglecoin,Auction,https://www.ebay.com/itm/381162158466
2001 Great Britain 1 oz Silver Britannia Lowest Mintage,175633514860,12/9/2025,$210.42,$5.99,Uncirculated,pinehurst_coins,Auction,https://www.ebay.com/itm/175633514860
2001 Great Britain 1 oz Silver Britannia Lowest Mintage,349243798214,12/27/2025,$241.38,Free,Uncirculated,mcm_online,Buy It Now,https://www.ebay.com/itm/349243798214
