Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
"2001 Great Britain 1 oz. Silver Britannia, NGC MS69 DPL",286118583235,"Jun 26, 2026",$320.00,$0.00,,,Fixed price,https://www.ebay.com/itm/286118583235,1
2001 Great Britain 50 Pence Silver Britannia 1/4 Oz Silver *8669,137376407688,"Jun 11, 2026",$55.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137376407688,1
2001 Great Britain 2 Pound Silver Britannia 1 Oz Silver *8671,137376465641,"Jun 11, 2026",$159.95,$0.00,,,Fixed price,https://www.ebay.com/itm/137376465641,1
"2001 Silver Proof Britannia 4 Coin Set 1, 1/2, 1/4, 1/10 Oz COA",287372220252,"Jun 10, 2026",$234.38,$4.99,,,Auction,https://www.ebay.com/itm/287372220252,1
2001 Britain Britannia 1oz Silver .999 Uncirculated Coin,188454869344,"Jun 8, 2026",$125.00,$5.17,,,Auction,https://www.ebay.com/itm/188454869344,1
2001 UK Britannia Una & Lion 1oz 999 Fine Silver £2 Coin BU Elizabeth II 👑,227359797113,"Jun 3, 2026",$152.95,$0.00,,,Fixed price,https://www.ebay.com/itm/227359797113,1
"2001 2 Pnds Great Britain 1 oz. .999 Silver Britannia, ICG PR64 #7620",327181608475,"Jun 3, 2026",$109.50,$0.00,,,Auction,https://www.ebay.com/itm/327181608475,1
2001 Britannia Silver 1 Oz. £2 Coin Una and Lion Silver,157958933960,"Jun 1, 2026",$88.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157958933960,1
2001 Britannia Silver 1 Oz. £2 Coin Una and Lion Silver,168415577326,"May 31, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168415577326,1
2006 Britannia 1oz .958 fine silver - Royal British Mint in capsule Low Mintage,227248632330,"May 31, 2026",$150.00,$6.95,,,Fixed price,https://www.ebay.com/itm/227248632330,1
2001 Great Britain 2 Pounds 1oz Silver Britannia in a Littleton Coin Holder,298358846899,"May 27, 2026",$130.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298358846899,1
2001 Britannia Queen Elizabeth Proof .999 1oz. Ounce Silver Round 2 Pounds Coin,147296374266,"May 16, 2026",$154.00,$5.75,,,Fixed price,https://www.ebay.com/itm/147296374266,1
Lot of 5 2001-2004 2 Pound Britannia 1oz .999 Silver Coin,137226644144,"May 10, 2026",$595.95,$0.00,,,Fixed price,https://www.ebay.com/itm/137226644144,1
Lot of 4 1998 2001 2003 2004 2 Pound Britannia 1oz .999 Silver Coin,147259099092,"May 10, 2026",$439.95,$0.00,,,Fixed price,https://www.ebay.com/itm/147259099092,1
"2001 GB Britannia -w/Lion 1 Oz 2,Pd Silver - RARE- Low Mintage - UNC- CombShip",277903750993,"May 4, 2026",$175.00,$5.00,,,Fixed price,https://www.ebay.com/itm/277903750993,1
2001 1 OZ SILVER COIN ✪ GREAT BRITAIN BRITANNIA ✪ 999 FINE SCARCE C ◢TRUSTED◣,257460519696,"Apr 29, 2026",$139.95,$0.00,,,Fixed price,https://www.ebay.com/itm/257460519696,1
2001 Britannia Silver 1 Oz. £2 Coin Una and Lion in New Capsule BU Condition,377107396361,"Apr 29, 2026",$159.95,$0.00,,,Fixed price,https://www.ebay.com/itm/377107396361,1
"RARE 2001 1 oz Silver Britannia .958 Fine BU ""Una and the Lion"" [y8]",157848381706,"Apr 28, 2026",$127.50,$5.40,,,Auction,https://www.ebay.com/itm/157848381706,1
1999 2000 2001 2002 BRITANNIA TWO POUNDS £2 COINS IN CAPSULE,287193317397,"Mar 31, 2026",$380.00,$9.00,,,Fixed price,https://www.ebay.com/itm/287193317397,1
2001 Great Britain Britannia and the Lion 1 oz Silver Coin -PF69 ULTRA CAMEO,168267346101,"Mar 30, 2026",$151.20,$4.99,,,Auction,https://www.ebay.com/itm/168267346101,1
2001 Great Britain BRITANNIA Silver 1 Troy oz. 2 Pounds Coin~ High-Contrast,257418483261,"Mar 28, 2026",$109.50,$4.98,,,Auction,https://www.ebay.com/itm/257418483261,1
2001 £2 Great Britain Britannia .999 Silver Round - South Wales Littleton Holder,267609832149,"Mar 28, 2026",$112.50,$4.25,,,Auction,https://www.ebay.com/itm/267609832149,1
,,"Mar 28, 2026",$109.50,$4.98,,,Auction,,1
,,"Mar 28, 2026",$112.50,$4.25,,,Auction,,1
2001 1oz Silver Proof British Britannia & Lion 2 Pounds in Capsule,188142620145,"Mar 12, 2026",$174.99,$0.00,,,Fixed price,https://www.ebay.com/itm/188142620145,1
,,"Mar 12, 2026",$174.99,$0.00,,,Fixed price,,1
2001 Britannia 1oz .958 fine silver - Royal British Mint in capsule,327035294618,"Mar 11, 2026",$158.05,$5.95,,,Fixed price,https://www.ebay.com/itm/327035294618,1
,,"Mar 11, 2026",$158.05,$5.95,,,Fixed price,,1
2001 BRITANNIA 1 OZ SILVER - GEM BU,147196078547,"Mar 10, 2026",$139.95,$0.00,,,Fixed price,https://www.ebay.com/itm/147196078547,1
,,"Mar 10, 2026",$139.95,$0.00,,,Fixed price,,1
2001 Britannia Silver Proof Coin 1oz Fine Silver .958 British 2 Pounds,366238735083,"Mar 7, 2026",$119.95,$0.00,,,Fixed price,https://www.ebay.com/itm/366238735083,1
2001 Silver BRITANNIA 1oz Coin UK Royal Mint Bullion coin,117066497500,"Mar 6, 2026",$115.00,$6.22,,,Fixed price,https://www.ebay.com/itm/117066497500,1
,,"Mar 6, 2026",$115.00,$6.22,,,Fixed price,,1
"Lot of (5) - 1oz silver Britannia coins. Year - 2001, 2002, 2003, 2004, 2005.",287148574745,"Feb 17, 2026",$500.00,$5.78,,,Fixed price,https://www.ebay.com/itm/287148574745,1
