Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2004 $1 1-oz American Silver Eagle NGC MS70 Brown Label,135124701336,"May 30, 2026",$149.82,$0.00,,,Fixed price,https://www.ebay.com/itm/135124701336,4
2004 American Silver Eagle Coin 1 oz $1 - BU,404858114179,"May 29, 2026",$86.25,$0.00,,,Fixed price,https://www.ebay.com/itm/404858114179,26
2004- *W* $1 AMERICAN SILVER PROOF EAGLE w/OGP & COA - FREE SHIPPING!,157841613717,"May 24, 2026",$108.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157841613717,2
2004 American Silver Eagle NGC MS 69 1 oz US Mint $1 Coin,147284513650,"May 12, 2026",$95.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147284513650,2
2004 $1 1-oz American Silver Eagle NGC MS69 Brown Label,135203975006,"May 6, 2026",$104.05,$0.00,,,Fixed price,https://www.ebay.com/itm/135203975006,5
2004 American Silver Eagle MS70 PCGS Blue Label,136440310468,"May 6, 2026",$144.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136440310468,5
2004-W Proof $1 American Silver Eagle NGC PF70UC Brown Label,204379539247,"May 4, 2026",$140.11,$0.00,,,Fixed price,https://www.ebay.com/itm/204379539247,9
Set of 2 Whitman American Silver Eagle Coin Folder 2-3 2004-2028 Album Book,358141130458,"May 3, 2026",$17.99,$0.00,,,Fixed price,https://www.ebay.com/itm/358141130458,4
2004 $1 American Silver Eagle NGC MS70 Brown Label,315487577691,"May 2, 2026",$149.05,$0.00,,,Fixed price,https://www.ebay.com/itm/315487577691,18
2004-W $1 PROOF AMERICAN SILVER EAGLE (Brown Label) NGC PF 70 UCAM,167782723444,"May 1, 2026",$92.50,$5.37,,,Fixed price,https://www.ebay.com/itm/167782723444,2
2004 $1 American Silver Eagle NGC MS69 Brown Label,204953873019,"Apr 29, 2026",$100.78,$0.00,,,Fixed price,https://www.ebay.com/itm/204953873019,23
2004 $1 American Silver Eagle 1 oz Brilliant Uncirculated,315337628671,"Apr 29, 2026",$94.88,$0.00,,,Fixed price,https://www.ebay.com/itm/315337628671,10
2004 American Silver Eagle 1 oz $1 - 1 Roll - Twenty 20 BU Coins in Mint Tube,406873551304,"Apr 29, 2026","$1,648.06",$0.00,,,Fixed price,https://www.ebay.com/itm/406873551304,3
2004 W American Silver Eagle Choice Proof Bullion $1 Coin OGP COA,365978731507,"Apr 25, 2026",$116.24,$0.00,,,Fixed price,https://www.ebay.com/itm/365978731507,4
2004 WALKING LIBERTY AMERICAN EAGLE .999 FINE SILVER DOLLAR COIN 1oz. $1 USA,117161103996,"Apr 25, 2026",$74.36,$0.00,,,Fixed price,https://www.ebay.com/itm/117161103996,14
2004 1 oz American Silver Eagle BU,142549311083,"Apr 22, 2026",$118.66,$0.00,,,Fixed price,https://www.ebay.com/itm/142549311083,4
2004 American Silver Eagle Coin - NGC MS69,306314316491,"Apr 16, 2026",$98.57,$0.00,,,Fixed price,https://www.ebay.com/itm/306314316491,8
2004-W American Silver Eagle Dollar PR70DCAM PCGS Proof 70 Deep Cameo,365968013751,"Apr 14, 2026",$149.80,$0.00,,,Fixed price,https://www.ebay.com/itm/365968013751,5
2004 PCGS MS69 MS 69 AMERICAN SILVER EAGLE .999 FINE SILVER ROUND COIN,157750256831,"Apr 9, 2026",$109.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157750256831,2
2004 American Silver Eagle NGC MS70 Early Production,204952204372,"Apr 8, 2026",$318.56,$0.00,,,Fixed price,https://www.ebay.com/itm/204952204372,4
2004 Proof $1 American Silver Eagle Box & COA | No Coin,274647563503,"Apr 7, 2026",$5.95,$4.96,,,Fixed price,https://www.ebay.com/itm/274647563503,5
"2004-W Proof $1 American Silver Eagle Box, OGP & COA",205499336995,"Apr 6, 2026",$103.26,$0.00,,,Fixed price,https://www.ebay.com/itm/205499336995,20
Silver 2004 American Eagle 1 oz. Fine Silver .999 US Mint Silver Eagles 1oz Coin,197813199790,"Apr 4, 2026",$101.15,$0.00,,,Fixed price,https://www.ebay.com/itm/197813199790,17
2004-W Proof $1 American Silver Eagle NGC PF69UC Brown Label,175791335353,"Mar 30, 2026",$111.16,$0.00,,,Fixed price,https://www.ebay.com/itm/175791335353,28
2004-W $1 1-oz Proof American Silver Eagle NGC PF69UC Brown Label,389629957456,"Mar 24, 2026",$105.83,$0.00,,,Fixed price,https://www.ebay.com/itm/389629957456,13
"2004-W $1 1-oz Proof American Silver Eagle w/ Box, OGP &COA",145639012222,"Mar 24, 2026",$95.63,$0.00,,,Fixed price,https://www.ebay.com/itm/145639012222,3
2004-W $1 1-oz Proof American Silver Eagle NGC PF69UC Brown Label,134659136673,"Mar 17, 2026",$108.23,$0.00,,,Fixed price,https://www.ebay.com/itm/134659136673,12
2004-W Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,145620054262,"Mar 15, 2026",$108.16,$0.00,,,Fixed price,https://www.ebay.com/itm/145620054262,7
