Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
,,"Feb 10, 2026",$399.99,$0.00,,,Fixed price,,2
2007 US Mint American Legacy Collection Proof Set Complete in OGP/COA,137328232760,"May 27, 2026",$119.50,$5.97,,,Auction,https://www.ebay.com/itm/137328232760,1
2007 US Mint American Legacy Collection Proof Set Complete in OGP/COA,157895595964,"Jun 4, 2026",$199.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157895595964,1
,,"Jan 17, 2026",$130.01,$9.99,,,Auction,,1
,,"Feb 19, 2026",$99.00,$6.60,,,Fixed price,,1
,,"Feb 28, 2026",$239.99,$14.99,,,Auction,,1
2016 S Code Talkers Native American & 2013 $1 Note Coin & Currency Set ~PRISTINE,198391808416,"Jun 16, 2026",$20.85,$2.50,,,Fixed price,https://www.ebay.com/itm/198391808416,1
2007-W US Proof Silver Eagle $1 Silver $1 Set NGC PF69UC First Releases,206185521361,"May 4, 2026",$94.51,$4.39,,,Auction,https://www.ebay.com/itm/206185521361,1
2010-W US Proof Silver Eagle $1 Silver $1 Set NGC PF69UC First Releases,206185525429,"May 4, 2026",$96.00,$4.39,,,Auction,https://www.ebay.com/itm/206185525429,1
2007 US Mint American Legacy Collection Proof Set Complete in OGP/COA LOT Z-483,206242660223,"May 1, 2026",$199.99,$0.00,,,Fixed price,https://www.ebay.com/itm/206242660223,1
,,"Feb 10, 2026",$500.00,$0.00,,,Auction,,1
,,"Mar 11, 2026",$90.00,$7.95,,,Auction,,1
1990 1 oz BU Silver American Eagle + FREE 2007-S US 5 State Quarter Proof Set,227332735321,"May 15, 2026",$81.00,$8.60,,,Auction,https://www.ebay.com/itm/227332735321,1
,,"Apr 14, 2026",$357.00,$13.45,,,Auction,,1
2007 US MINT AMERICAN LEGACY COLLECTION PROOF SET w 2 Silver Dollars * 3rd year,236900595032,"Jul 1, 2026",$97.00,$0.00,,,Auction,https://www.ebay.com/itm/236900595032,1
,,"Apr 7, 2026",$599.99,$0.00,,,Fixed price,,1
,,"Feb 4, 2026",$199.00,$0.00,,,Fixed price,,1
2007 US Mint American Legacy Collection Proof Coin Set Silver Dollar Box COA,287331711017,"Jul 6, 2026",$191.24,$10.00,,,Fixed price,https://www.ebay.com/itm/287331711017,1
2007 American Mint History of America 12 Coin Set - Each Coin 20g .999 Silver,297981582587,"Apr 30, 2026",$509.00,$12.00,,,Fixed price,https://www.ebay.com/itm/297981582587,1
,,"Feb 12, 2026",$142.50,$19.99,,,Auction,,1
,,"Feb 18, 2026",$75.00,$6.00,,,Fixed price,,1
,,"Mar 29, 2026",$300.00,$0.00,,,Fixed price,,1
,,"Jan 27, 2026",$125.00,$6.75,,,Fixed price,,1
,,"Feb 19, 2026",$96.00,$6.75,,,Auction,,1
,,"Mar 8, 2026",$14.99,$9.24,,,Auction,,1
,,"Mar 20, 2026",$555.00,$6.37,,,Auction,,1
,,"Mar 14, 2026",$199.95,$0.00,,,Fixed price,,1
