Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2009 South Africa Proof 1/10oz Gold Krugerrand NGC PF69 Ultra Cameo,147310649782,"May 21, 2026",$518.00,$0.00,,,Auction,https://www.ebay.com/itm/147310649782,1
2009 South Africa Proof 1/10oz Gold Krugerrand NGC PF69 Ultra Cameo,137306851256,"May 20, 2026",$519.66,$0.00,,,Auction,https://www.ebay.com/itm/137306851256,1
2006/2010 South Africa 1/4 oz .999 Proof Gold Coin Fifa Worldcup,188302653361,"Apr 29, 2026","$1,201.00",$0.00,,,Auction,https://www.ebay.com/itm/188302653361,1
2010 South Africa 1/4 oz .999 Proof Gold Coin Fifa Worldcup,188302670865,"Apr 29, 2026","$1,201.00",$0.00,,,Auction,https://www.ebay.com/itm/188302670865,1
"2009 South Africa 1/10 oz South African Gold Krugerrand, BU Coin",236720225731,"Apr 4, 2026",$495.00,$6.00,,,Auction,https://www.ebay.com/itm/236720225731,1
2009 South Africa 1/10 oz South African Gold Krugerrand BU Coin,177915396133,"Mar 2, 2026",$540.00,$8.30,,,Fixed price,https://www.ebay.com/itm/177915396133,1
,,"Mar 2, 2026",$540.00,$8.30,,,Fixed price,,1
"1oz Gold Krugerrand (2009) BU - Priced Below Spot! - Brilliant, Uncirculated",177819083742,"Feb 2, 2026","$4,700.00",$20.00,,,Auction,https://www.ebay.com/itm/177819083742,1
,,"Feb 2, 2026","$4,700.00",$20.00,,,Auction,,1
2009 South Africa 1/10 oz Gold Krugerrand BU,227192915422,"Jan 31, 2026",$518.88,$9.00,,,Auction,https://www.ebay.com/itm/227192915422,1
,,"Jan 31, 2026",$518.88,$9.00,,,Auction,,1
2009 South Africa 1/10 oz Gold Krugerrand,115381240638,"Jan 30, 2026",$735.22,$33.85,,,Fixed price,https://www.ebay.com/itm/115381240638,1
,,"Dec 22, 2025",$499.99,$5.00,,,Fixed price,,1
,,"Nov 14, 2025",$449.99,$0.00,,,Fixed price,,1
,,"Nov 3, 2025",$449.00,$0.00,,,Fixed price,,1
