Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1 oz American Silver Eagle Coin BU (Random Year),145163361842,"Apr 3, 2026",$91.18,$58.99,,,Fixed price,https://www.ebay.com/itm/145163361842
2010 $1 1-oz American Silver Eagle NGC MS69 Brown Label,145654929503,"Feb 20, 2026",$98.68,$0.00,,,Fixed price,https://www.ebay.com/itm/145654929503
2010 $1 American Silver Eagle NGC MS69 Brown Label,175892638624,"Feb 20, 2026",$97.30,$0.00,,,Fixed price,https://www.ebay.com/itm/175892638624
2010-W Proof $1 American Silver Eagle PCGS PR70DCAM Blue Label,176218446521,"Jan 11, 2026",$94.46,$0.00,,,Fixed price,https://www.ebay.com/itm/176218446521
"2010-W Proof $1 American Silver Eagle Box, OGP & COA",204335188126,"Apr 2, 2026",$111.39,$0.00,,,Fixed price,https://www.ebay.com/itm/204335188126
2010-W Proof $1 American Silver Eagle NGC PF69UC Brown Label,314405467889,"Apr 7, 2026",$112.68,$0.00,,,Fixed price,https://www.ebay.com/itm/314405467889
2010 1 Oz Silver American Eagle (Brilliant Uncirculated),267526968502,"Jan 25, 2026",$103.60,$0.00,,,Fixed price,https://www.ebay.com/itm/267526968502
2010-W American Silver Eagle PROOF 1 Oz Silver - Coin & Box & COA,136778276701,"Jan 12, 2026",$85.00,$10.05,,,Fixed price,https://www.ebay.com/itm/136778276701
2010 $1 American Silver Eagle NGC MS70 Brown Label,314650200015,"Mar 24, 2026",$107.00,$0.00,,,Fixed price,https://www.ebay.com/itm/314650200015
2010-W Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,358206721202,"Feb 23, 2026",$107.31,$0.00,,,Fixed price,https://www.ebay.com/itm/358206721202
2010 1 oz American Silver Eagle BU,122771621881,"Apr 7, 2026",$109.32,$0.00,,,Fixed price,https://www.ebay.com/itm/122771621881
2010 American Silver Eagle 1 oz .999 25th Year of Issue PCGS MS 70,146572173772,"Dec 25, 2025",$79.95,$0.00,,,Fixed price,https://www.ebay.com/itm/146572173772
"2010 (20) coin tube, roll of original BU Silver Eagles from just opened mint box",116979781401,"Jan 14, 2026","$1,945.83",$0.00,,,Fixed price,https://www.ebay.com/itm/116979781401
2010 $1 American Silver Eagle 1 oz Brilliant Uncirculated,314726604236,"Dec 31, 2025",$68.81,$0.00,,,Fixed price,https://www.ebay.com/itm/314726604236
,,"Dec 28, 2025",$80.00,$0.00,,,Fixed price,
2010-W Proof American Silver Eagle Dollar $1 Box & COA US Mint Bullion OGP,146500112332,"Jan 25, 2026",$110.25,$0.00,,,Fixed price,https://www.ebay.com/itm/146500112332
Roll of 20 - 2010 $1 American Silver Eagle 1 oz BU,204609606656,"Dec 2, 2025","$1,185.79",$0.00,,,Fixed price,https://www.ebay.com/itm/204609606656
,,"Dec 26, 2025",$78.95,$0.00,,,Fixed price,
2010 $1 American Silver Eagle PCGS MS 70 | 25th Year of Issue Uncirculated UNC,304867222981,"Dec 4, 2025",$69.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304867222981
2010 W American Silver Eagle Choice Proof Bullion $1 Coin OGP COA,365846544039,"Mar 31, 2026",$111.27,$0.00,,,Fixed price,https://www.ebay.com/itm/365846544039
2010 $1 1-oz American Silver Eagle NGC MS70 Brown Label,386843920863,"Mar 29, 2026",$114.54,$0.00,,,Fixed price,https://www.ebay.com/itm/386843920863
2010 Unc American Silver Eagle 1 Troy Oz .999 Fine Silver,135875502271,"Nov 15, 2025",$62.38,$0.00,,,Fixed price,https://www.ebay.com/itm/135875502271
,,"Dec 28, 2025","$1,590.77",$0.00,,,Fixed price,
,,"Dec 11, 2025",$53.78,$5.37,,,Fixed price,
"2010-W Proof $1 American Silver Eagle Box, OGP & COA",389408193409,"Jan 16, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/389408193409
2010-W American Silver Eagle 1 Oz PF70 UCAM NGC Brown Label,126237805996,"Mar 20, 2026",$124.65,$0.00,,,Fixed price,https://www.ebay.com/itm/126237805996
2010 1 oz American Silver Eagle $1 BU Coin from Mint Tube **BEAUTIFUL FROSTED**,127589676147,"Jan 22, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127589676147
2010 Silver American Eagle $1 - NGC - MS70 - Early Releases,147088744875,"Jan 23, 2026",$111.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147088744875
[Removed] Item 157421798932,157421798932,"Nov 12, 2025",$11.23,$0.00,,,Fixed price,
,,"Jan 1, 2026",$74.70,$5.39,,,Fixed price,
2010 W Proof Silver American Eagle Early Releases NGC PF-70 UCAM,185862161984,"Mar 30, 2026",$127.85,$0.00,,,Fixed price,https://www.ebay.com/itm/185862161984
,,"Dec 26, 2025",$79.95,$4.95,,,Fixed price,
2010 American Silver Eagle Coin - NGC MS69,306314316365,"Apr 2, 2026",$105.65,$0.00,,,Fixed price,https://www.ebay.com/itm/306314316365
