Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2011 $5 1/10 oz American Gold Eagle Coin (BU) “Not Random”,376902215842,"Jan 26, 2026",$558.99,$0.00,,,Fixed price,https://www.ebay.com/itm/376902215842,4
2011 1/10 oz American Gold Eagle BU,112615798936,"Mar 21, 2026",$570.42,$0.00,,,Fixed price,https://www.ebay.com/itm/112615798936,3
2011 1 oz American Gold Eagle BU,141637585741,"Mar 31, 2026","$4,553.67",$0.00,,,Fixed price,https://www.ebay.com/itm/141637585741,4
2011 American Gold Eagle Liberty 1oz 24K Proof Like Coin In Protective Slab Case,177743670156,"Jan 22, 2026",$67.95,$5.70,,,Fixed price,https://www.ebay.com/itm/177743670156,5
2011 Proof 1/10 oz Gold American Eagle Box and COA - No Coin,156220992047,"Feb 18, 2026",$25.00,$0.00,,,Fixed price,https://www.ebay.com/itm/156220992047,2
,,"Jan 12, 2026",$525.00,$0.00,,,Fixed price,,2
2011 1/2 oz American Gold Eagle BU,112635578860,"Dec 22, 2025","$2,512.74",$0.00,,,Fixed price,https://www.ebay.com/itm/112635578860,1
2011 1/2 oz American Gold Eagle MS-70 NGC,116029967267,"Feb 3, 2026","$2,793.67",$0.00,,,Fixed price,https://www.ebay.com/itm/116029967267,1
2011 1/4 oz American Gold Eagle MS-70 NGC (Early Releases),116177706749,"Feb 25, 2026","$1,534.21",$0.00,,,Fixed price,https://www.ebay.com/itm/116177706749,1
2011 1/4 oz American Gold Eagle BU,122833537682,"Nov 24, 2025","$1,213.46",$0.00,,,Fixed price,https://www.ebay.com/itm/122833537682,1
,,"Nov 14, 2025",$465.00,$0.00,,,Fixed price,,1
2011 Eagle Gold $25 MS 70 PCGS 25th Anniversary 19943946 First Strike!,127307619382,"Jan 22, 2026","$2,545.92",$5.00,,,Fixed price,https://www.ebay.com/itm/127307619382,1
2011 Eagle Gold $25 MS 70 PCGS 25th Anniversary 19943947 First Strike!,127307620947,"Jan 22, 2026","$2,540.00",$5.00,,,Fixed price,https://www.ebay.com/itm/127307620947,1
2011-W $10 American Gold Eagle - 1/4 Oz Gold PF70 UCAM NGC,127361254892,"Nov 17, 2025","$1,198.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127361254892,1
,,"Dec 29, 2025","$2,950.00",$9.25,,,Fixed price,,1
,,"Nov 19, 2025",$445.00,$7.50,,,Auction,,1
,,"Jan 14, 2026","$1,249.95",$0.00,,,Fixed price,,1
2011-W $5 GOLD AMERICAN EAGLE 1/10 oz. PROOF GOLD BULLION : NGC PF70 MOY : 10409,127619677343,"Jan 18, 2026",$625.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127619677343,1
2011 1/10 Oz Gold American Eagle NGC MS69,127655227975,"Jan 30, 2026",$550.00,$10.00,,,Fixed price,https://www.ebay.com/itm/127655227975,1
2011 W $5 Gold Eagle NGC PF 70 Ultra Cameo With Original Packaging Included,127662107441,"Mar 1, 2026",$598.49,$0.00,,,Fixed price,https://www.ebay.com/itm/127662107441,1
