Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2011 Topps American Pie ~ Choose Your Card,388939968080,"Jun 3, 2026",$1.71,$0.81,,,Fixed price,https://www.ebay.com/itm/388939968080,53
2011 Topps American Pie BASE Trading Cards HOLEFILLERS/UPGRADES *UPICK*,275609950823,"Jan 21, 2026",$0.85,$0.46,,,Fixed price,https://www.ebay.com/itm/275609950823,35
#6105 2026 American Icons Singles set/13 - MNH,366417595028,"Jun 19, 2026",$16.48,$1.05,,,Fixed price,https://www.ebay.com/itm/366417595028,29
2026USA Forever Figures of the American Revolution - Set of 25 Singles Mint,178043128538,"Jun 16, 2026",$27.26,$1.49,,,Fixed price,https://www.ebay.com/itm/178043128538,23
2011 P REVERSE PROOF SILVER EAGLE 5 COIN 25TH ANNIVERSARY SET W BOX/COA S W,384760373294,"May 27, 2026",$712.67,$0.00,,,Fixed price,https://www.ebay.com/itm/384760373294,19
2011 D Sacagawea Native American Dollar Coin Uncirculated From US Mint Set,366053172639,"Mar 5, 2026",$3.90,$0.00,,,Fixed price,https://www.ebay.com/itm/366053172639,18
2011 P +D Native American / Sacagawea Golden Dollar BU 2-Coin Set,257388301493,"Jun 16, 2026",$7.57,$1.11,,,Fixed price,https://www.ebay.com/itm/257388301493,9
2025USA #5958-5959 10c American Vistas Presorted Coil Pair & Set 2 Singles Mint,267187199871,"Apr 26, 2026",$1.70,$0.69,,,Fixed price,https://www.ebay.com/itm/267187199871,9
2011 S BURNISHED SILVER EAGLE NGC MS70 25TH ANNIVERSARY SET EARLY RELEASES,287012478771,"May 7, 2026",$259.38,$0.00,,,Fixed price,https://www.ebay.com/itm/287012478771,8
Native American POWWOWS Forever Stamp set of 4 Scott #5978-5981 - FREE SHIPPING!,277677925959,"Apr 10, 2026",$5.75,$0.00,,,Fixed price,https://www.ebay.com/itm/277677925959,6
2011 25th Anniversary American Proof Silver Eagle Set Mint Issued COA (NO Coins),326167956970,"Apr 19, 2026",$4.99,$0.00,,,Fixed price,https://www.ebay.com/itm/326167956970,6
2011 P Sacagawea Native American Dollar Coin Uncirculated From US Mint Set,366053174947,"Feb 26, 2026",$4.10,$0.00,,,Fixed price,https://www.ebay.com/itm/366053174947,7
,,"Jan 14, 2026",$577.95,$0.00,,,Fixed price,,5
2011 S Proof Sacagawea Native American Dollar -Wampanoag Treaty-From a Proof Set,146785362567,"May 20, 2026",$4.04,$0.00,,,Fixed price,https://www.ebay.com/itm/146785362567,5
2025USA #5977a-o Forever Battlefields of American Revolution Set 15 Mint Singles,177040902703,"Jun 18, 2026",$16.02,$0.94,,,Fixed price,https://www.ebay.com/itm/177040902703,5
2025USA Forever #5978-5981 Powwows Native American Indian Culture Set 4 Singles,177054720513,"Jun 9, 2026",$4.76,$0.20,,,Fixed price,https://www.ebay.com/itm/177054720513,5
"MARSHALL ISLANDS, SCOTT # 937, 960 & 987, SET 3 MNH SHEETS AMERICAN INDIANS 2011",236087433076,"Jun 11, 2026",$18.75,$2.04,,,Fixed price,https://www.ebay.com/itm/236087433076,5
2011-S American Silver Eagle $1 one Dollar coin 25th Anniversary Set PCGS MS70,358109021685,"May 24, 2026",$254.25,$0.00,,,Fixed price,https://www.ebay.com/itm/358109021685,5
#5871 - 5890 2024 Old Glory Flag set/20 - MNH,364903857138,"Apr 28, 2026",$23.95,$0.00,,,Fixed price,https://www.ebay.com/itm/364903857138,5
Bobcat 4672 4672a 4802 Complete 1c American Wildlife Coil Set of 3 MNH - Buy Now,372097836020,"Apr 9, 2026",$1.50,$0.00,,,Fixed price,https://www.ebay.com/itm/372097836020,5
2011 Silver Eagle 25th Anniversary 5-Coin Set NGC PR70-MS70 Early Releases OGP,287204396188,"Jun 12, 2026",$900.00,$22.50,,,Fixed price,https://www.ebay.com/itm/287204396188,6
4857-58 4858 Hummingbird 34c USA American Wildlife Set of 2 2014 MNH - Buy Now,311978787137,"Jun 17, 2026",$2.95,$0.00,,,Fixed price,https://www.ebay.com/itm/311978787137,4
2011 Topps American Pie - Hollywood Walk Of Fame ~ Choose Your Card,389039543721,"May 18, 2026",$1.99,$1.00,,,Fixed price,https://www.ebay.com/itm/389039543721,4
,,"Jan 25, 2026",$682.79,$8.87,,,Fixed price,,3
,,"Feb 10, 2026",$696.67,$0.00,,,Fixed price,,3
Darrell Mansfield BOX SET 5-CDs NEW Shrinkwrapped Jewel Case & Cover Art,195638094939,"Jun 16, 2026",$52.00,$4.47,,,Fixed price,https://www.ebay.com/itm/195638094939,3
2011 PGCS MS-70 AMERICAN SILVER EAGLE 25TH ANNIVERSARY SET,236212843382,"Jan 15, 2026",$99.50,$0.00,,,Fixed price,https://www.ebay.com/itm/236212843382,3
2026USA Forever American Icons by Ralph Lauren - Set of 13 Mint Singles,267700483849,"Jun 21, 2026",$15.15,$1.04,,,Fixed price,https://www.ebay.com/itm/267700483849,3
,,"Mar 22, 2026",$448.63,$5.82,,,Fixed price,,3
2019 Scott #5395-5398 - Forever - NORTH AMERICAN TREE FROGS - Set of 4 Singles,284178022648,"Jun 14, 2026",$3.99,$0.00,,,Fixed price,https://www.ebay.com/itm/284178022648,3
2011 American Eagle 5 Coin 25th Anniversary Set - OMP COA - U3005 STOCK,318432416300,"Jun 13, 2026",$598.50,$12.50,,,Fixed price,https://www.ebay.com/itm/318432416300,3
2011 S 25th Anniversary Set American Silver Eagle one Dollar Coin NGC MS69,336036384352,"Apr 18, 2026",$211.25,$0.00,,,Fixed price,https://www.ebay.com/itm/336036384352,3
2011 American Silver Eagle 25th Anniversary Dollar 5-Coin Set w/ OGP & COA,397845065838,"May 11, 2026",$668.85,$0.00,,,Fixed price,https://www.ebay.com/itm/397845065838,3
Scott #5461-70 American Gardens (Singles Set of 10) 2020 Mint NH,405244478402,"Jun 13, 2026",$13.95,$0.00,,,Fixed price,https://www.ebay.com/itm/405244478402,3
,,"Dec 27, 2025",$89.50,$0.00,,,Fixed price,,2
,,"Jan 1, 2026",$544.17,$0.00,,,Fixed price,,2
,,"Mar 14, 2026",$829.88,$0.00,,,Fixed price,,2
,,"Jan 18, 2026","$1,370.00",$12.00,,,Fixed price,,2
US SC# 6105 a-m American Icons set of 13singles from 2026. MNH,137405369219,"Jun 19, 2026",$15.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137405369219,2
,,"Mar 19, 2026",$5.28,$1.95,,,Fixed price,,2
,,"Jan 18, 2026",$528.07,$10.61,,,Fixed price,,4
,,"Dec 27, 2025",$548.75,$0.00,,,Fixed price,,3
"2013 US SC 4731-4734 33c American Apples, Coil Set of 4, Singles - MNH S/A",166742900303,"May 31, 2026",$3.88,$0.00,,,Fixed price,https://www.ebay.com/itm/166742900303,2
2025USA #5958-5959 10c American Vistas Presorted - Coil Set of 2 Singles Mint,176917874591,"Mar 12, 2026",$1.09,$0.20,,,Fixed price,https://www.ebay.com/itm/176917874591,2
2025USA #5977 Forever Battlefields of American Revolution - Set of 5 (15) mint,177020707155,"Mar 19, 2026",$16.56,$0.46,,,Fixed price,https://www.ebay.com/itm/177020707155,2
2011 $1 American Silver Eagle 25th Anniversary Set NGC MS70 ER 25th Anniversary,205647338451,"Jan 31, 2026",$112.81,$0.00,,,Fixed price,https://www.ebay.com/itm/205647338451,2
2011 P & D GETTYSBURG ATB American The Beautiful 25c 2Coins BU from Mint Set,205896972638,"Apr 8, 2026",$3.89,$0.00,,,Fixed price,https://www.ebay.com/itm/205896972638,3
A8429- 2011-12 ITG Heroes and Prospects Hockey Cards -You Pick- 15+ FREE US SHIP,236178629801,"Jun 15, 2026",$0.90,$0.10,,,Fixed price,https://www.ebay.com/itm/236178629801,2
,,"Dec 25, 2025",$5.00,$1.10,,,Fixed price,,2
,,"Jan 9, 2026",$652.50,$8.00,,,Fixed price,,2
