Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2011 Proof & Uncirculated Annual US Mint Coin Sets PDS 42 Coins,206035906435,"Mar 6, 2026",$46.95,$0.00,,,Fixed price,https://www.ebay.com/itm/206035906435
2011 US Mint America The Beautiful Quarters Silver Proof Set OGP & COA,298160326112,"Apr 2, 2026",$65.50,$8.34,,,Fixed price,https://www.ebay.com/itm/298160326112
2011 S SILVER Proof Set Original Box & COA 14 Coins 90% Silver‼️FROM US MINT‼️,327065831540,"Mar 29, 2026",$108.95,$0.00,,,Fixed price,https://www.ebay.com/itm/327065831540
37 Silver Proof Sets US Mint 2000-2013 $68.45 FV In 90% Silver,117071794627,"Mar 10, 2026","$4,350.00",$0.00,,,Auction,https://www.ebay.com/itm/117071794627
2011 (TWO SETS) America The Beautiful Quarters SILVER Proof Sets US Mint OGP/COA,117079952888,"Mar 17, 2026",$132.50,$8.79,,,Auction,https://www.ebay.com/itm/117079952888
03/00006 L#4639 2011 US Mint Silver Proof Set- H.7,157728874130,"Mar 6, 2026",$110.00,$0.00,,,Auction,https://www.ebay.com/itm/157728874130
03/023 L#5117 2011 US Mint Proof Set- H.5,157778974127,"Mar 23, 2026",$66.00,$0.00,,,Auction,https://www.ebay.com/itm/157778974127
03/0026 L#6703 2011 US Mint Proof Set -H.5,157784638384,"Mar 26, 2026",$58.00,$0.00,,,Auction,https://www.ebay.com/itm/157784638384
"Partial 2011 US Mint Silver Proof Set, 5 coins-2 silver, US Mint acrylic holder",168205948991,"Mar 18, 2026",$30.00,$7.89,,,Auction,https://www.ebay.com/itm/168205948991
2011 US Mint Clad Proof Set (not gold or silver) w/ Box & COA for you!!,168259480852,"Apr 3, 2026",$20.50,$4.00,,,Auction,https://www.ebay.com/itm/168259480852
NICE! US Mint 2011 S Silver Proof 14 Coin Set COA & Original Box FREE SHIPPING!,168264219125,"Mar 26, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/168264219125
2011 S US Silver Proof Set Original Box & Papers (14) Coins.,188106689184,"Mar 7, 2026",$107.50,$4.99,,,Auction,https://www.ebay.com/itm/188106689184
2011 S US Silver Proof Set Original Box & Papers (14) Coins..,188124839117,"Mar 12, 2026",$102.50,$1.02,,,Auction,https://www.ebay.com/itm/188124839117
2011 S US Silver Proof Set Original Box & Papers (14) Coins.,188179768190,"Mar 25, 2026",$83.62,$6.51,,,Auction,https://www.ebay.com/itm/188179768190
2011-S US Mint Silver Proof Set OGP & COA / NO RESERVE!!,188201384868,"Mar 30, 2026",$78.00,$6.00,,,Auction,https://www.ebay.com/itm/188201384868
2010 & 2011 US Mint Silver Proof Quarter sets with COA -no boxes -Some toning,206111994368,"Apr 5, 2026",$129.99,$0.00,,,Fixed price,https://www.ebay.com/itm/206111994368
2011-S US Mint Silver Proof Set in Original Packaging with COA 90% Silver,227255092212,"Mar 26, 2026",$91.00,$6.00,,,Auction,https://www.ebay.com/itm/227255092212
2011 S SILVER Proof Set Original Box & COA 14 Coins 90% Silver‼️FROM US MINT‼️,236729472886,"Apr 4, 2026",$90.00,$6.09,,,Fixed price,https://www.ebay.com/itm/236729472886
Private Bundle Listing 2007 2008 2010 2011 US Mint Silver Proof Sets OGP COA,257395691348,"Mar 7, 2026",$399.00,$7.19,,,Fixed price,https://www.ebay.com/itm/257395691348
2011 US Mint 10 Coin & 4-$1 Presidential Silver Proof Set-San Francisco Mint,257398105872,"Mar 19, 2026",$93.00,$5.52,,,Auction,https://www.ebay.com/itm/257398105872
2011-S Silver US Mint 14 Coin Proof Set Complete with Box & COA,267595329470,"Mar 10, 2026",$108.50,$3.99,,,Auction,https://www.ebay.com/itm/267595329470
2011-S US Mint Silver Proof Set with COA & Box 14 Coins 90% United States,277827598389,"Mar 30, 2026",$89.00,$6.51,,,Auction,https://www.ebay.com/itm/277827598389
2011 S United States US Mint 90% Silver Proof Set 10 Coins Box OGP READ DESC,277855166914,"Apr 1, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277855166914
US Mint 2011 American Silver Eagle 25th Anniversary 5 Coin Set with w/Box & COA,287204219337,"Mar 16, 2026",$625.00,$18.50,,,Fixed price,https://www.ebay.com/itm/287204219337
2011-P American Eagle S$1 Official US Mint 25th Anniversary Set NGC Reverse PF69,287247297888,"Apr 2, 2026",$180.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287247297888
2011-S US Mint Silver Proof Set 14 Coins No Box No COA San Francisco,298174022835,"Mar 30, 2026",$94.95,$0.00,,,Fixed price,https://www.ebay.com/itm/298174022835
2011-S America the Beautiful (ATB) Silver Quarter Proof Set 5 Coins COA US Mint,306814744178,"Mar 11, 2026",$82.28,$0.00,,,Fixed price,https://www.ebay.com/itm/306814744178
2011-S US Mint Silver Proof Set with COA & Box 14 Coins 90% United States,318019918764,"Mar 25, 2026",$81.00,$4.99,,,Auction,https://www.ebay.com/itm/318019918764
"2011 US Mint SILVER PROOF Set with Original Box & COA - 14 Coins, 1.34 oz Silver",326980887415,"Mar 31, 2026",$98.98,$13.18,,,Fixed price,https://www.ebay.com/itm/326980887415
4 US Mint Silver Proof Sets 1999 2009 2010 2011 w/ogp L24229,336465661718,"Mar 12, 2026",$540.00,$0.00,,,Auction,https://www.ebay.com/itm/336465661718
4 US Mint Silver Proof Sets 1999 2003 2011 2017 w/ogp L24282,336474752219,"Mar 18, 2026",$316.11,$0.00,,,Auction,https://www.ebay.com/itm/336474752219
2011-S US Mint Silver Proof Set with COA & Box 14 Coins 90% United States,336487197940,"Mar 26, 2026",$91.00,$4.99,,,Auction,https://www.ebay.com/itm/336487197940
2011-S US Mint Silver Proof Set with COA & Box 14 Coins 90% United States,336500310838,"Mar 30, 2026",$76.80,$6.51,,,Auction,https://www.ebay.com/itm/336500310838
