Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2012-W $50 American Gold Buffalo First Strike 1 Oz Gold PR70 DCAM PCGS,137456650119,"Jun 29, 2026","$5,050.00",$0.00,,,Fixed price,https://www.ebay.com/itm/137456650119,1
"2012-W $50 American Gold Buffalo Proof Box, OGP & COA",206223948659,"Jun 28, 2026","$4,369.56",$0.00,,,Fixed price,https://www.ebay.com/itm/206223948659,1
2012 Gold Buffalo $50 .9999 Fine Gold Sealed U.S. Mint,127902202215,"Jun 4, 2026","$4,699.99",$0.00,,,Fixed price,https://www.ebay.com/itm/127902202215,1
2012 Gold Buffalo $50 .9999 Fine Gold Sealed U.S. Mint,127898201412,"Jun 3, 2026","$4,599.99",$0.00,,,Fixed price,https://www.ebay.com/itm/127898201412,1
2012-W $50 American Gold Buffalo 1 Oz Gold PF70 UCAM NGC,127846382114,"May 29, 2026","$5,275.00",$0.00,,,Fixed price,https://www.ebay.com/itm/127846382114,1
U.S. Mint 2012-W American Buffalo $50 1 oz Gold .9999 Proof NGC PF70 UC,188375314216,"May 12, 2026","$5,000.00",$5.72,,,Fixed price,https://www.ebay.com/itm/188375314216,1
2012 W American Gold Buffalo Proof 1 oz $50 in OGP,374070286007,"Apr 12, 2026","$5,093.48",$0.00,,,Fixed price,https://www.ebay.com/itm/374070286007,1
2012 W US Proof Buffalo $50 1 oz .9999 Gold Coin Gem!!,188242272601,"Apr 11, 2026","$4,989.00",$4.99,,,Auction,https://www.ebay.com/itm/188242272601,1
,,"Mar 23, 2026",$15.68,$0.00,,,Fixed price,,2
2012-W Proof $50 American Gold Buffalo PCGS PR70DCAM Blue Label,205353553809,"Feb 3, 2026","$5,097.50",$0.00,,,Fixed price,https://www.ebay.com/itm/205353553809,2
2012 $50 American Gold Buffalo NGC MS70 Brown Label,317619968990,"Jan 30, 2026","$5,567.16",$0.00,,,Fixed price,https://www.ebay.com/itm/317619968990,1
,,"Jan 25, 2026","$5,425.00",$0.00,,,Fixed price,,1
,,"Jan 24, 2026","$5,295.00",$0.00,,,Fixed price,,1
,,"Jan 17, 2026","$4,995.95",$0.00,,,Fixed price,,1
,,"Jan 13, 2026",$40.00,$5.24,,,Auction,,1
,,"Dec 8, 2025","$4,600.00",$0.00,,,Fixed price,,1
2012-W Proof $50 American Gold Buffalo PCGS PR70DCAM FS Blue Label,205797562352,"Dec 5, 2025","$4,766.94",$0.00,,,Fixed price,https://www.ebay.com/itm/205797562352,1
,,"Dec 1, 2025","$5,150.00",$0.00,,,Fixed price,,1
,,"Nov 25, 2025",$25.00,$8.00,,,Fixed price,,1
