Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
05/0015 L#2542 2012 1oz American Silver Eagle,800014334899,"May 15, 2026",$83.00,$0.00,,,Auction,https://www.ebay.com/itm/800014334899,1
05/0014 L#1766 2012 1oz American Silver Eagle,157905958604,"May 14, 2026",$80.00,$0.00,,,Auction,https://www.ebay.com/itm/157905958604,1
2012 American Silver Eagle 1oz 99.9 Silver Coin,306937115212,"May 13, 2026",$83.00,$5.89,,,Fixed price,https://www.ebay.com/itm/306937115212,2
2012 Walking Liberty American Eagle Silver Dollar Coin 1oz,377153095751,"May 13, 2026",$80.00,$5.48,,,Fixed price,https://www.ebay.com/itm/377153095751,1
"2012 ANACS MS 67 Eagle Silver Dollar, 1oz .999 Fine Silver, Golden Color Tone",336509370040,"May 12, 2026",$131.96,$0.00,,,Fixed price,https://www.ebay.com/itm/336509370040,1
2012 1oz American Silver Eagle. 999,236813479538,"May 12, 2026",$75.00,$5.28,,,Fixed price,https://www.ebay.com/itm/236813479538,1
2012 American Silver Eagle 1oz .999 Silver PCGS MS70,198335426339,"May 11, 2026",$96.51,$5.00,,,Auction,https://www.ebay.com/itm/198335426339,1
2012 1oz. American Silver Eagle. 999,236810543909,"May 11, 2026",$75.00,$6.36,,,Fixed price,https://www.ebay.com/itm/236810543909,1
2012 American Silver Eagle 1oz. 999 silver #19,397761767691,"May 10, 2026",$75.00,$5.17,,,Fixed price,https://www.ebay.com/itm/397761767691,1
2012 Silver Eagle NGC PF69 UC 1oz |43201,137279080616,"May 10, 2026",$85.00,$5.89,,,Auction,https://www.ebay.com/itm/137279080616,1
2012 American Silver Eagle 1oz 99.9 Silver Coin,800001756066,"May 10, 2026",$70.00,$5.62,,,Fixed price,https://www.ebay.com/itm/800001756066,1
2012 American Silver Eagle 1oz 99.9 Silcer Coin,800001751816,"May 10, 2026",$70.00,$5.62,,,Fixed price,https://www.ebay.com/itm/800001751816,1
"2012-W Proof $1 American Silver Eagle, OGP & COA 1oz Bullion Coin",267660924260,"May 10, 2026",$99.99,$0.00,,,Auction,https://www.ebay.com/itm/267660924260,1
2012-S San Francisco Proof American Silver Eagle 1 oz 1oz Ounce Fine .999 Silver,287216851792,"May 10, 2026",$94.99,$6.00,,,Fixed price,https://www.ebay.com/itm/287216851792,1
U.S. Mint American Eagle 2012 Silver $1 1oz .999 Business Strike MS 69 NGC,277957050313,"May 10, 2026",$89.00,$5.97,,,Fixed price,https://www.ebay.com/itm/277957050313,1
2012 American Silver Eagle ASE 1oz 999 Fine Silver - NGC MS 69 FR First Releases,336550533703,"May 10, 2026",$102.45,$4.95,,,Fixed price,https://www.ebay.com/itm/336550533703,11
2012 American Silver Eagle 1oz 99.9 Silver Coin,306927008838,"May 8, 2026",$77.00,$5.62,,,Fixed price,https://www.ebay.com/itm/306927008838,1
2012 1oz Proof American Silver Eagle Box/CoA Navy Blue Box,137215205174,"May 8, 2026",$91.00,$5.70,,,Fixed price,https://www.ebay.com/itm/137215205174,1
2012 S 1oz Silver Eagle .999 Fine Dollar Coin Bullion Graded by ANACS as MS69,298288937016,"May 8, 2026",$93.00,$2.95,,,Fixed price,https://www.ebay.com/itm/298288937016,1
,,"May 7, 2026",$120.00,$0.00,,,Auction,,1
2012 American Silver Eagle 1oz 99.9 Silver Coin,306923027388,"May 6, 2026",$75.00,$5.62,,,Fixed price,https://www.ebay.com/itm/306923027388,1
2012 American Silver Eagle 1oz 99.9 Silver Coin,306920499150,"May 5, 2026",$72.00,$6.37,,,Fixed price,https://www.ebay.com/itm/306920499150,4
2012 American Eagle Silver Dollar 1oz 99.9 Silver,389980868238,"May 5, 2026",$70.00,$5.97,,,Fixed price,https://www.ebay.com/itm/389980868238,1
05/00004 L#4724 2012-W 1oz American Silver Eagle NGC PF69UC -B.4,389975095610,"May 4, 2026",$110.00,$0.00,,,Auction,https://www.ebay.com/itm/389975095610,1
05/00004 L#4714 2012 1oz American Silver Eagle NGC MS69 -B.4,157884182394,"May 4, 2026",$97.00,$0.00,,,Auction,https://www.ebay.com/itm/157884182394,1
NobleSpirit 2012 S American Eagle Deep Mirror Cameo Proof 1oz .999 Silver,389945655490,"May 4, 2026",$76.01,$1.82,,,Auction,https://www.ebay.com/itm/389945655490,1
2012 American Silver Eagle 1oz 99.9 Silver Coin,306918091158,"May 4, 2026",$72.00,$5.59,,,Fixed price,https://www.ebay.com/itm/306918091158,3
2012 Walking Liberty American Eagle Silver Dollar Coin 1oz,127832515980,"May 4, 2026",$78.00,$0.00,,,Auction,https://www.ebay.com/itm/127832515980,1
2012-W Silver Eagle Uncirculated $1 1oz. OGP ** Starting bid @ Spot **,117164935629,"May 4, 2026",$79.03,$6.50,,,Auction,https://www.ebay.com/itm/117164935629,1
2012 American Silver Eagle 1oz 99.9 Silver Coin,389975039111,"May 4, 2026",$70.00,$5.24,,,Fixed price,https://www.ebay.com/itm/389975039111,1
U.S. Mint American Eagle 2012 Silver $1 1oz .999 Business Strike MS 69 NGC,227318802670,"May 4, 2026",$85.00,$6.18,,,Auction,https://www.ebay.com/itm/227318802670,1
2012 Silver Eagle 1oz NGC MS70 Early Release $1 American Coin Bullion US Dollar,157853726796,"May 2, 2026",$99.00,$5.48,,,Auction,https://www.ebay.com/itm/157853726796,1
2012(W) Silver American Eagle 1oz Coin NGC MS-69 First Releases,147231817068,"Apr 30, 2026",$82.00,$4.39,,,Auction,https://www.ebay.com/itm/147231817068,1
2012(S) Silver American Eagle 1oz Coin NGC MS-69 First Releases,147231816325,"Apr 30, 2026",$80.00,$1.68,,,Auction,https://www.ebay.com/itm/147231816325,1
2012 Silver American Eagle 1oz Coin NGC MS-69 First Releases,147231815762,"Apr 30, 2026",$82.00,$2.19,,,Auction,https://www.ebay.com/itm/147231815762,1
2012 WALKING LIBERTY AMERICAN EAGLE .999 FINE SILVER DOLLAR COIN 1oz. $1 USA,236775056799,"Apr 30, 2026",$64.11,$5.52,,,Auction,https://www.ebay.com/itm/236775056799,1
2012 American Eagle Fine Silver 1oz Dollar ANACS MS70 First Day of Issue,306898397348,"Apr 30, 2026",$90.00,$5.00,,,Auction,https://www.ebay.com/itm/306898397348,1
2012 1oz American Silver Eagle (Brilliant Uncirculated),178043311333,"Apr 25, 2026",$85.79,$19.65,,,Fixed price,https://www.ebay.com/itm/178043311333,2
2012-(S) $1 1oz Silver American Eagle MS69 NGC 3565371-339 Early Releases,336547204203,"Apr 25, 2026",$88.00,$0.00,,,Auction,https://www.ebay.com/itm/336547204203,1
04/000023 L#6464 2012-W 1oz American Silver Eagle NGC PF70UC -B.4,389916976516,"Apr 23, 2026",$96.00,$0.00,,,Auction,https://www.ebay.com/itm/389916976516,1
U.S. Mint 2012 $1 American Eagle 1oz .999 Silver MS69 NGC Early Releases,257460000406,"Apr 23, 2026",$83.00,$5.96,,,Auction,https://www.ebay.com/itm/257460000406,1
U.S. Mint 2012 American Eagle $1 1oz .999 Silver MS 69 NGC 3566407-099,257460003546,"Apr 23, 2026",$84.00,$5.39,,,Auction,https://www.ebay.com/itm/257460003546,1
2012 American Silver Eagle Uncirculated .999 1oz SKU:EL30739,366364657543,"Apr 23, 2026",$74.00,$0.00,,,Auction,https://www.ebay.com/itm/366364657543,1
2012 Walking Liberty American Eagle Silver Dollar Coin 1oz,406860579265,"Apr 22, 2026",$86.50,$0.00,,,Auction,https://www.ebay.com/itm/406860579265,1
Silver 2012 American Eagle 1 oz. Fine Silver .999 US Mint Silver Eagles 1oz Coin,406878975523,"Apr 22, 2026",$98.80,$0.00,,,Fixed price,https://www.ebay.com/itm/406878975523,1
2012 American Silver Eagle Dollar 1oz PCGS MS70,137229568854,"Apr 22, 2026",$100.00,$7.95,,,Auction,https://www.ebay.com/itm/137229568854,1
2012 Silver Eagle $1 Dollar 1oz Uncirculated .999 -MS-Brilliant Uncirculated-,318001181283,"Apr 20, 2026",$84.51,$5.49,,,Fixed price,https://www.ebay.com/itm/318001181283,1
PCGS MS70 2012 United States American Silver Eagle 1oz Fine Silver Coin S$1,178036031590,"Apr 19, 2026",$97.00,$0.00,,,Auction,https://www.ebay.com/itm/178036031590,1
2012-S Silver American Eagle NGC MS70 First Releases 1oz $1,358440502895,"Apr 19, 2026",$100.00,$1.85,,,Auction,https://www.ebay.com/itm/358440502895,1
Lot of 12 - 2010-2012 American Silver Eagles 1oz - NGC MS70 - FREE Shipping,206215084409,"Apr 19, 2026","$1,225.00",$0.00,,,Auction,https://www.ebay.com/itm/206215084409,1
